time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-07-31 15:28:00,1690797480,887.3,889.9,881.35,883.7,885.66,5478,0,144666,0,2043
2023-07-31 15:27:00,1690797420,890.0,890.0,887.25,888.8,888.57,812,0,139188,0,2043
2023-07-31 15:26:00,1690797360,888.3,890.0,887.6,889.75,888.57,1890,0,138376,0,2043
2023-07-31 15:25:00,1690797300,887.05,887.95,887.0,887.95,887.6,1402,0,136486,0,2043
2023-07-31 15:24:00,1690797240,886.1,887.9,885.95,887.0,887.08,1787,0,135084,0,2043
2023-07-31 15:23:00,1690797180,885.1,886.05,885.1,886.05,885.73,1379,0,133297,0,2043
2023-07-31 15:22:00,1690797120,885.0,885.9,885.0,885.9,884.89,1052,0,131918,0,2043
2023-07-31 15:21:00,1690797060,884.6,884.95,884.6,884.9,884.22,587,0,130866,0,2043
2023-07-31 15:20:00,1690797000,885.1,885.15,884.6,885.05,884.41,1210,0,130279,0,2043
2023-07-31 15:19:00,1690796940,884.85,885.75,884.6,885.15,885.14,1427,0,129069,0,2043
2023-07-31 15:18:00,1690796880,885.05,885.45,884.85,884.9,885.47,772,0,127642,0,2043
2023-07-31 15:17:00,1690796820,885.75,885.95,885.1,885.1,885.13,692,0,126870,0,2043
2023-07-31 15:16:00,1690796760,886.2,886.25,885.95,885.95,885.96,1754,0,126178,0,2043
2023-07-31 15:15:00,1690796700,886.5,886.5,886.2,886.4,887.06,699,0,124424,0,2043
2023-07-31 15:14:00,1690796640,886.25,886.25,885.8,886.2,886.23,471,0,123725,0,2043
2023-07-31 15:13:00,1690796580,886.35,886.35,885.8,885.8,885.56,1842,0,123254,0,2043
2023-07-31 15:12:00,1690796520,886.45,886.45,885.95,886.0,887.26,735,0,121412,0,2043
2023-07-31 15:11:00,1690796460,886.4,886.45,885.9,886.4,885.24,653,0,120677,0,2043
2023-07-31 15:10:00,1690796400,886.45,886.45,885.9,885.9,886.74,544,0,120024,0,2043
2023-07-31 15:09:00,1690796340,885.9,886.4,885.9,886.4,885.91,393,0,119480,0,2043
2023-07-31 15:08:00,1690796280,885.9,886.45,885.9,886.4,886.14,421,0,119087,0,2043
2023-07-31 15:07:00,1690796220,886.0,886.6,885.65,885.95,886.23,432,0,118666,0,2043
2023-07-31 15:06:00,1690796160,885.65,886.05,885.65,885.65,885.63,703,0,118234,0,2043
2023-07-31 15:05:00,1690796100,886.0,886.1,885.45,885.8,885.12,903,0,117531,0,2043
2023-07-31 15:04:00,1690796040,886.25,886.25,885.5,885.6,886.09,396,0,116628,0,2043
2023-07-31 15:03:00,1690795980,887.3,887.3,885.65,885.65,886.24,414,0,116232,0,2043
2023-07-31 15:02:00,1690795920,887.6,887.6,886.85,886.85,886.88,1059,0,115818,0,2043
2023-07-31 15:01:00,1690795860,887.6,887.8,887.25,887.25,889.07,447,0,114759,0,2043
2023-07-31 15:00:00,1690795800,886.8,887.6,886.8,887.25,886.38,1263,0,114312,0,2043
2023-07-31 14:59:00,1690795740,886.55,886.85,886.55,886.85,887.02,541,0,113049,0,2043
2023-07-31 14:58:00,1690795680,886.85,886.85,886.85,886.85,889.11,169,0,112508,0,2043
2023-07-31 14:57:00,1690795620,887.05,887.05,886.75,886.95,887.18,581,0,112339,0,2043
2023-07-31 14:56:00,1690795560,886.05,886.9,886.05,886.75,882.78,176,0,111758,0,2043
2023-07-31 14:55:00,1690795500,886.6,886.7,885.25,886.25,885.94,1726,0,111582,0,2043
2023-07-31 14:54:00,1690795440,887.4,887.6,885.65,886.4,887.19,3231,0,109856,0,2043
2023-07-31 14:53:00,1690795380,887.2,887.2,887.0,887.0,885.36,548,0,106625,0,2043
2023-07-31 14:52:00,1690795320,886.45,886.5,886.35,886.5,889.26,175,0,106077,0,2043
2023-07-31 14:51:00,1690795260,886.6,886.6,886.25,886.25,885.91,629,0,105902,0,2043
2023-07-31 14:50:00,1690795200,886.0,886.1,885.95,885.95,889.28,191,0,105273,0,2043
2023-07-31 14:49:00,1690795140,885.45,886.05,885.3,885.95,884.79,234,0,105082,0,2043
2023-07-31 14:48:00,1690795080,885.85,885.95,885.25,885.25,885.72,1162,0,104848,0,2043
2023-07-31 14:47:00,1690795020,886.0,886.0,885.95,886.0,884.33,207,0,103686,0,2043
2023-07-31 14:46:00,1690794960,886.5,886.55,886.1,886.1,885.09,243,0,103479,0,2043
2023-07-31 14:45:00,1690794900,886.8,886.9,886.65,886.65,887.7,623,0,103236,0,2043
2023-07-31 14:44:00,1690794840,887.1,887.1,886.85,886.85,886.9,829,0,102613,0,2043
2023-07-31 14:43:00,1690794780,886.95,887.35,886.95,887.15,887.24,944,0,101784,0,2043
2023-07-31 14:42:00,1690794720,887.4,887.65,886.9,887.05,886.97,1231,0,100840,0,2043
2023-07-31 14:41:00,1690794660,886.95,886.95,886.95,886.95,889.43,1,0,99609,0,2043
2023-07-31 14:40:00,1690794600,887.3,887.4,887.0,887.0,886.97,404,0,99608,0,2043
2023-07-31 14:39:00,1690794540,887.05,887.35,886.65,887.25,887.65,552,0,99204,0,2043
2023-07-31 14:38:00,1690794480,887.2,887.2,886.55,887.0,884.98,440,0,98652,0,2043
2023-07-31 14:37:00,1690794420,885.9,886.85,885.9,886.85,889.47,262,0,98212,0,2043
2023-07-31 14:36:00,1690794360,884.85,885.0,884.85,885.0,884.67,204,0,97950,0,2043
2023-07-31 14:35:00,1690794300,883.95,885.0,883.95,885.0,884.15,910,0,97746,0,2043
2023-07-31 14:34:00,1690794240,886.25,886.25,884.65,884.75,885.52,4611,0,96836,0,2043
2023-07-31 14:33:00,1690794180,887.25,887.25,887.25,887.25,889.73,3,0,92225,0,2043
2023-07-31 14:32:00,1690794120,887.35,887.45,887.3,887.3,889.73,307,0,92222,0,2043
2023-07-31 14:31:00,1690794060,887.45,887.45,887.45,887.45,0.0,0,0,91915,0,2043
2023-07-31 14:30:00,1690794000,887.5,887.5,887.2,887.45,858.04,29,0,91915,0,2043
2023-07-31 14:29:00,1690793940,887.45,887.45,887.45,887.45,889.74,21,0,91886,0,2043
2023-07-31 14:28:00,1690793880,887.35,887.7,887.0,887.7,889.74,140,0,91865,0,2043
2023-07-31 14:27:00,1690793820,885.75,887.6,885.75,887.0,885.11,787,0,91725,0,2043
2023-07-31 14:26:00,1690793760,885.5,885.85,884.9,885.65,884.85,914,0,90938,0,2043
2023-07-31 14:25:00,1690793700,886.2,886.2,885.65,885.65,889.83,133,0,90024,0,2043
2023-07-31 14:24:00,1690793640,886.65,886.75,886.25,886.55,884.45,167,0,89891,0,2043
2023-07-31 14:23:00,1690793580,886.65,886.7,886.25,886.55,886.38,772,0,89724,0,2043
2023-07-31 14:22:00,1690793520,887.15,887.15,887.15,887.15,889.87,1,0,88952,0,2043
2023-07-31 14:21:00,1690793460,888.15,888.15,887.15,887.15,886.53,266,0,88951,0,2043
2023-07-31 14:20:00,1690793400,887.95,888.25,887.95,888.25,889.88,73,0,88685,0,2043
2023-07-31 14:19:00,1690793340,887.75,887.75,887.75,887.75,0.0,0,0,88612,0,2043
2023-07-31 14:18:00,1690793280,887.65,887.95,887.2,887.75,889.88,120,0,88612,0,2043
2023-07-31 14:17:00,1690793220,887.25,887.35,887.25,887.35,889.88,34,0,88492,0,2043
2023-07-31 14:16:00,1690793160,886.3,886.95,886.3,886.95,889.88,47,0,88458,0,2043
2023-07-31 14:15:00,1690793100,886.3,886.7,885.65,886.15,883.69,285,0,88411,0,2043
2023-07-31 14:14:00,1690793040,886.0,886.4,885.4,886.05,886.28,965,0,88126,0,2043
2023-07-31 14:13:00,1690792980,885.1,885.65,885.0,885.2,889.94,76,0,87161,0,2043
2023-07-31 14:12:00,1690792920,885.95,886.0,885.35,885.35,884.02,147,0,87085,0,2043
2023-07-31 14:11:00,1690792860,886.75,886.75,885.2,885.25,883.32,131,0,86938,0,2043
2023-07-31 14:10:00,1690792800,886.25,886.25,886.25,886.25,889.96,3,0,86807,0,2043
2023-07-31 14:09:00,1690792740,886.95,886.95,886.45,886.7,889.96,128,0,86804,0,2043
2023-07-31 14:08:00,1690792680,886.1,886.55,886.1,886.55,889.96,37,0,86676,0,2043
2023-07-31 14:07:00,1690792620,884.95,886.0,884.95,886.0,882.96,247,0,86639,0,2043
2023-07-31 14:06:00,1690792560,884.7,884.85,884.4,884.85,889.98,120,0,86392,0,2043
2023-07-31 14:05:00,1690792500,884.65,884.65,884.65,884.65,872.01,48,0,86272,0,2043
2023-07-31 14:04:00,1690792440,884.7,884.7,884.7,884.7,889.99,42,0,86224,0,2043
