time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-07-28 15:28:00,1690538280,233.35,233.75,233.3,233.6,238.12,60131,0,34039870,0,18391
2023-07-28 15:27:00,1690538220,233.1,233.35,233.1,233.3,233.2,68936,0,33979739,0,18391
2023-07-28 15:26:00,1690538160,233.25,233.25,233.1,233.15,229.24,76179,0,33910803,0,18391
2023-07-28 15:25:00,1690538100,233.25,233.3,233.2,233.2,238.15,44800,0,33834624,0,18391
2023-07-28 15:24:00,1690538040,233.3,233.3,233.0,233.3,232.25,57223,0,33789824,0,18391
2023-07-28 15:23:00,1690537980,233.4,233.45,233.1,233.25,229.98,41202,0,33732601,0,18391
2023-07-28 15:22:00,1690537920,233.7,233.7,233.25,233.35,238.17,34037,0,33691399,0,18391
2023-07-28 15:21:00,1690537860,233.6,233.95,233.55,233.6,232.05,54906,0,33657362,0,18391
2023-07-28 15:20:00,1690537800,233.85,234.0,233.4,233.75,233.38,278126,0,33602456,0,18391
2023-07-28 15:19:00,1690537740,234.3,234.4,233.85,234.0,235.94,145705,0,33324330,0,18391
2023-07-28 15:18:00,1690537680,234.35,234.45,234.2,234.2,232.46,114770,0,33178625,0,18391
2023-07-28 15:17:00,1690537620,234.4,234.45,234.2,234.3,238.25,47076,0,33063855,0,18391
2023-07-28 15:16:00,1690537560,234.75,234.75,234.3,234.3,232.38,112299,0,33016779,0,18391
2023-07-28 15:15:00,1690537500,234.7,234.85,234.55,234.65,235.43,115640,0,32904480,0,18391
2023-07-28 15:14:00,1690537440,234.45,234.8,234.45,234.6,233.88,74357,0,32788840,0,18391
2023-07-28 15:13:00,1690537380,234.35,234.6,234.2,234.5,234.04,76884,0,32714483,0,18391
2023-07-28 15:12:00,1690537320,234.45,234.45,234.3,234.3,238.3,22284,0,32637599,0,18391
2023-07-28 15:11:00,1690537260,234.6,234.7,234.4,234.4,238.3,43240,0,32615315,0,18391
2023-07-28 15:10:00,1690537200,234.7,234.8,234.55,234.55,231.7,49345,0,32572075,0,18391
2023-07-28 15:09:00,1690537140,234.65,234.65,234.45,234.65,238.31,39504,0,32522730,0,18391
2023-07-28 15:08:00,1690537080,234.5,234.7,234.5,234.6,230.41,41077,0,32483226,0,18391
2023-07-28 15:07:00,1690537020,234.35,234.5,234.35,234.45,238.32,18832,0,32442149,0,18391
2023-07-28 15:06:00,1690536960,234.4,234.4,234.25,234.4,228.75,33866,0,32423317,0,18391
2023-07-28 15:05:00,1690536900,234.45,234.55,234.3,234.45,238.33,34188,0,32389451,0,18391
2023-07-28 15:04:00,1690536840,234.5,234.5,234.3,234.4,238.33,28257,0,32355263,0,18391
2023-07-28 15:03:00,1690536780,234.55,234.7,234.35,234.35,231.04,44324,0,32327006,0,18391
2023-07-28 15:02:00,1690536720,234.7,234.75,234.55,234.65,238.34,18603,0,32282682,0,18391
2023-07-28 15:01:00,1690536660,234.6,234.7,234.5,234.65,238.34,28790,0,32264079,0,18391
2023-07-28 15:00:00,1690536600,234.75,234.75,234.25,234.5,231.91,50055,0,32235289,0,18391
2023-07-28 14:59:00,1690536540,234.5,234.8,234.3,234.8,232.5,54926,0,32185234,0,18391
2023-07-28 14:58:00,1690536480,234.85,234.85,234.5,234.6,238.36,31600,0,32130308,0,18391
2023-07-28 14:57:00,1690536420,234.85,234.95,234.65,234.8,234.65,86431,0,32098708,0,18391
2023-07-28 14:56:00,1690536360,235.15,235.15,234.7,234.9,234.48,82198,0,32012277,0,18391
2023-07-28 14:55:00,1690536300,234.0,235.0,233.9,234.9,234.36,236629,0,31930079,0,18391
2023-07-28 14:54:00,1690536240,233.65,234.05,233.6,233.9,238.41,55747,0,31693450,0,18391
2023-07-28 14:53:00,1690536180,233.9,233.9,233.6,233.7,228.9,33240,0,31637703,0,18391
2023-07-28 14:52:00,1690536120,234.25,234.3,233.75,233.95,232.48,53164,0,31604463,0,18391
2023-07-28 14:51:00,1690536060,234.3,234.3,234.15,234.2,238.43,12505,0,31551299,0,18391
2023-07-28 14:50:00,1690536000,234.15,234.35,234.15,234.25,238.43,6541,0,31538794,0,18391
2023-07-28 14:49:00,1690535940,234.25,234.4,234.15,234.25,238.43,31367,0,31532253,0,18391
2023-07-28 14:48:00,1690535880,234.1,234.35,233.9,234.35,231.51,45506,0,31500886,0,18391
2023-07-28 14:47:00,1690535820,233.9,234.1,233.8,234.0,232.11,49682,0,31455380,0,18391
2023-07-28 14:46:00,1690535760,233.75,234.0,233.7,233.95,238.45,47928,0,31405698,0,18391
2023-07-28 14:45:00,1690535700,233.45,233.75,233.35,233.7,233.76,66775,0,31357770,0,18391
2023-07-28 14:44:00,1690535640,233.25,233.3,233.1,233.3,229.59,35276,0,31290995,0,18391
2023-07-28 14:43:00,1690535580,233.4,233.45,233.15,233.35,238.47,13737,0,31255719,0,18391
2023-07-28 14:42:00,1690535520,233.65,233.65,233.3,233.45,238.47,7549,0,31241982,0,18391
2023-07-28 14:41:00,1690535460,233.65,233.7,233.5,233.7,209.87,10920,0,31234433,0,18391
2023-07-28 14:40:00,1690535400,233.4,233.7,233.3,233.6,238.48,25417,0,31223513,0,18391
2023-07-28 14:39:00,1690535340,233.65,233.7,233.35,233.45,238.48,9706,0,31198096,0,18391
2023-07-28 14:38:00,1690535280,233.7,233.8,233.45,233.6,230.81,40653,0,31188390,0,18391
2023-07-28 14:37:00,1690535220,233.8,233.85,233.6,233.8,238.49,37839,0,31147737,0,18391
2023-07-28 14:36:00,1690535160,233.35,233.95,233.35,233.85,234.16,71807,0,31109898,0,18391
2023-07-28 14:35:00,1690535100,233.1,233.5,232.85,233.4,232.76,215112,0,31038091,0,18391
2023-07-28 14:34:00,1690535040,233.4,233.5,233.25,233.25,238.54,8940,0,30822979,0,18391
2023-07-28 14:33:00,1690534980,233.3,233.45,233.25,233.45,226.15,24858,0,30814039,0,18391
2023-07-28 14:32:00,1690534920,233.55,233.55,233.2,233.4,233.14,56871,0,30789181,0,18391
2023-07-28 14:31:00,1690534860,233.65,233.65,233.45,233.5,238.56,26197,0,30732310,0,18391
2023-07-28 14:30:00,1690534800,233.5,233.8,233.45,233.6,229.51,33908,0,30706113,0,18391
2023-07-28 14:29:00,1690534740,233.6,233.7,233.4,233.55,233.56,61196,0,30672205,0,18391
2023-07-28 14:28:00,1690534680,233.9,234.0,233.6,233.7,233.71,62746,0,30611009,0,18391
2023-07-28 14:27:00,1690534620,234.05,234.15,233.9,234.0,238.59,38240,0,30548263,0,18391
2023-07-28 14:26:00,1690534560,234.05,234.15,234.05,234.15,238.59,5883,0,30510023,0,18391
2023-07-28 14:25:00,1690534500,234.1,234.2,234.0,234.1,210.62,10903,0,30504140,0,18391
2023-07-28 14:24:00,1690534440,234.15,234.2,234.05,234.2,238.6,3776,0,30493237,0,18391
2023-07-28 14:23:00,1690534380,234.0,234.2,233.85,234.1,235.32,92843,0,30489461,0,18391
2023-07-28 14:22:00,1690534320,233.85,234.0,233.8,233.95,238.61,8382,0,30396618,0,18391
2023-07-28 14:21:00,1690534260,233.9,234.0,233.8,233.95,238.61,11249,0,30388236,0,18391
2023-07-28 14:20:00,1690534200,233.95,234.0,233.8,233.8,238.61,11382,0,30376987,0,18391
2023-07-28 14:19:00,1690534140,233.95,234.0,233.85,234.0,209.29,10354,0,30365605,0,18391
2023-07-28 14:18:00,1690534080,234.05,234.15,234.0,234.1,238.62,4480,0,30355251,0,18391
2023-07-28 14:17:00,1690534020,234.1,234.3,233.95,234.15,238.62,11356,0,30350771,0,18391
2023-07-28 14:16:00,1690533960,234.3,234.45,233.95,234.0,238.62,14559,0,30339415,0,18391
2023-07-28 14:15:00,1690533900,234.4,234.55,234.2,234.45,232.2,47219,0,30324856,0,18391
2023-07-28 14:14:00,1690533840,234.0,234.45,234.0,234.45,238.63,15358,0,30277637,0,18391
2023-07-28 14:13:00,1690533780,233.85,234.15,233.6,234.15,238.63,22343,0,30262279,0,18391
2023-07-28 14:12:00,1690533720,233.75,233.9,233.6,233.65,229.73,33965,0,30239936,0,18391
2023-07-28 14:11:00,1690533660,234.25,234.25,233.65,233.65,233.37,57285,0,30205971,0,18391
2023-07-28 14:10:00,1690533600,234.7,234.8,234.1,234.2,234.32,69611,0,30148686,0,18391
2023-07-28 14:09:00,1690533540,234.6,235.0,234.45,234.6,234.68,75392,0,30079075,0,18391
2023-07-28 14:08:00,1690533480,234.95,235.0,234.5,234.55,238.67,44073,0,30003683,0,18391
2023-07-28 14:07:00,1690533420,234.9,235.15,234.8,235.0,229.55,32835,0,29959610,0,18391
2023-07-28 14:06:00,1690533360,235.15,235.2,234.95,234.95,238.68,25748,0,29926775,0,18391
2023-07-28 14:05:00,1690533300,234.9,235.35,234.9,235.1,236.0,111537,0,29901027,0,18391
2023-07-28 14:04:00,1690533240,234.85,234.9,234.85,234.85,238.69,13117,0,29789490,0,18391
2023-07-28 14:03:00,1690533180,234.9,234.95,234.8,234.9,203.1,8366,0,29776373,0,18391
2023-07-28 14:02:00,1690533120,234.95,235.0,234.8,234.95,238.7,4814,0,29768007,0,18391
2023-07-28 14:01:00,1690533060,234.85,235.0,234.8,235.0,238.7,22546,0,29763193,0,18391
2023-07-28 14:00:00,1690533000,235.05,235.05,234.7,234.8,238.7,22639,0,29740647,0,18391
