time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-07 15:28:00,1691402280,211.7,211.9,211.6,211.7,212.31,100387,0,43783680,0,15355
2023-08-07 15:27:00,1691402220,211.85,211.9,211.6,211.85,207.95,69774,0,43683293,0,15355
2023-08-07 15:26:00,1691402160,211.6,211.95,211.5,211.9,212.68,92004,0,43613519,0,15355
2023-08-07 15:25:00,1691402100,211.85,211.85,211.45,211.5,211.7,115252,0,43521515,0,15355
2023-08-07 15:24:00,1691402040,211.85,212.0,211.75,211.95,211.34,126880,0,43406263,0,15355
2023-08-07 15:23:00,1691401980,212.0,212.1,211.85,211.9,213.97,71385,0,43279383,0,15355
2023-08-07 15:22:00,1691401920,212.0,212.1,211.95,212.1,212.33,97428,0,43207998,0,15355
2023-08-07 15:21:00,1691401860,212.15,212.3,211.9,211.95,211.86,108474,0,43110570,0,15355
2023-08-07 15:20:00,1691401800,212.15,212.45,211.95,212.05,211.57,461785,0,43002096,0,15355
2023-08-07 15:19:00,1691401740,212.1,212.2,212.0,212.1,211.74,108803,0,42540311,0,15355
2023-08-07 15:18:00,1691401680,212.05,212.2,212.0,212.05,213.76,142689,0,42431508,0,15355
2023-08-07 15:17:00,1691401620,211.9,212.1,211.9,212.1,211.71,108195,0,42288819,0,15355
2023-08-07 15:16:00,1691401560,212.05,212.1,211.9,212.0,211.92,102186,0,42180624,0,15355
2023-08-07 15:15:00,1691401500,212.15,212.25,211.9,212.1,212.37,182999,0,42078438,0,15355
2023-08-07 15:14:00,1691401440,212.35,212.45,212.0,212.1,210.54,150986,0,41895439,0,15355
2023-08-07 15:13:00,1691401380,212.3,212.45,212.2,212.45,216.92,45568,0,41744453,0,15355
2023-08-07 15:12:00,1691401320,212.15,212.3,211.95,212.25,212.68,84513,0,41698885,0,15355
2023-08-07 15:11:00,1691401260,212.3,212.35,212.15,212.25,213.14,77020,0,41614372,0,15355
2023-08-07 15:10:00,1691401200,212.55,212.6,212.15,212.2,210.93,129578,0,41537352,0,15355
2023-08-07 15:09:00,1691401140,212.5,212.7,212.5,212.6,212.7,83094,0,41407774,0,15355
2023-08-07 15:08:00,1691401080,212.25,212.75,212.25,212.55,216.71,137316,0,41324680,0,15355
2023-08-07 15:07:00,1691401020,212.4,212.5,212.25,212.35,207.69,73954,0,41187364,0,15355
2023-08-07 15:06:00,1691400960,212.15,212.45,212.05,212.3,211.81,198184,0,41113410,0,15355
2023-08-07 15:05:00,1691400900,212.05,212.2,212.0,212.1,207.67,43743,0,40915226,0,15355
2023-08-07 15:04:00,1691400840,212.1,212.2,212.0,212.0,212.1,91885,0,40871483,0,15355
2023-08-07 15:03:00,1691400780,211.85,212.15,211.75,212.15,213.86,65599,0,40779598,0,15355
2023-08-07 15:02:00,1691400720,211.85,211.95,211.65,211.9,207.65,55596,0,40713999,0,15355
2023-08-07 15:01:00,1691400660,211.85,212.0,211.85,211.95,215.95,48870,0,40658403,0,15355
2023-08-07 15:00:00,1691400600,211.65,211.95,211.65,211.9,215.05,54692,0,40609533,0,15355
2023-08-07 14:59:00,1691400540,211.65,211.7,211.4,211.6,207.63,36458,0,40554841,0,15355
2023-08-07 14:58:00,1691400480,211.2,211.75,211.2,211.6,207.63,56677,0,40518383,0,15355
2023-08-07 14:57:00,1691400420,211.2,211.35,211.1,211.25,216.88,43686,0,40461706,0,15355
2023-08-07 14:56:00,1691400360,211.25,211.35,211.05,211.15,212.35,85267,0,40418020,0,15355
2023-08-07 14:55:00,1691400300,211.4,211.5,211.1,211.15,207.61,61835,0,40332753,0,15355
2023-08-07 14:54:00,1691400240,211.4,211.55,211.3,211.45,217.36,41231,0,40270918,0,15355
2023-08-07 14:53:00,1691400180,211.65,211.65,211.3,211.45,210.22,152606,0,40229687,0,15355
2023-08-07 14:52:00,1691400120,211.6,211.7,211.6,211.6,207.59,31820,0,40077081,0,15355
2023-08-07 14:51:00,1691400060,211.9,212.0,211.6,211.7,212.01,90237,0,40045261,0,15355
2023-08-07 14:50:00,1691400000,212.0,212.0,211.85,212.0,219.98,32186,0,39955024,0,15355
2023-08-07 14:49:00,1691399940,211.9,212.0,211.85,211.95,207.57,41812,0,39922838,0,15355
2023-08-07 14:48:00,1691399880,211.95,212.25,211.85,211.85,212.42,82038,0,39881026,0,15355
2023-08-07 14:47:00,1691399820,212.05,212.1,211.95,212.0,207.56,23406,0,39798988,0,15355
