time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
2023-07-27 15:29:00,1690451940,2516.0,2517.65,2511.7,2515.0,2513.34,20654,0,8612030,0
2023-07-27 15:28:00,1690451880,2514.55,2516.75,2512.6,2516.55,2515.68,39465,0,8591376,0
2023-07-27 15:27:00,1690451820,2511.0,2514.95,2510.25,2514.35,2512.92,67456,0,8551911,0
2023-07-27 15:26:00,1690451760,2509.0,2512.0,2508.6,2510.85,2510.75,51646,0,8484455,0
2023-07-27 15:25:00,1690451700,2506.3,2511.25,2505.05,2508.15,2508.03,77471,0,8432809,0
2023-07-27 15:24:00,1690451640,2503.15,2507.0,2501.85,2506.35,2504.86,77820,0,8355338,0
2023-07-27 15:23:00,1690451580,2501.95,2503.2,2500.25,2503.2,2500.83,107951,0,8277518,0
2023-07-27 15:22:00,1690451520,2503.9,2505.45,2501.85,2502.0,2504.56,68877,0,8169567,0
2023-07-27 15:21:00,1690451460,2501.8,2506.9,2500.5,2503.5,2503.78,86990,0,8100690,0
2023-07-27 15:20:00,1690451400,2500.9,2503.3,2499.15,2501.45,2501.9,105871,0,8013700,0
2023-07-27 15:19:00,1690451340,2499.75,2501.15,2498.35,2501.05,2499.68,72086,0,7907829,0
2023-07-27 15:18:00,1690451280,2499.35,2500.0,2498.1,2499.0,2499.14,74532,0,7835743,0
2023-07-27 15:17:00,1690451220,2499.2,2500.7,2499.0,2499.2,2500.12,64549,0,7761211,0
2023-07-27 15:16:00,1690451160,2500.35,2500.75,2499.0,2499.6,2500.17,71767,0,7696662,0
2023-07-27 15:15:00,1690451100,2500.05,2501.3,2498.0,2500.1,2499.12,77561,0,7624895,0
2023-07-27 15:14:00,1690451040,2501.1,2501.1,2499.15,2500.15,2500.18,91758,0,7547334,0
2023-07-27 15:13:00,1690450980,2501.95,2502.15,2500.25,2500.25,2501.39,76609,0,7455576,0
2023-07-27 15:12:00,1690450920,2501.3,2502.0,2501.0,2502.0,2501.12,64860,0,7378967,0
2023-07-27 15:11:00,1690450860,2501.1,2501.6,2501.0,2501.25,2501.06,55455,0,7314107,0
2023-07-27 15:10:00,1690450800,2503.85,2503.85,2501.0,2501.0,2503.84,88792,0,7258652,0
2023-07-27 15:09:00,1690450740,2503.05,2503.8,2503.0,2503.1,2502.79,74869,0,7169860,0
2023-07-27 15:08:00,1690450680,2502.25,2503.25,2501.3,2503.1,2502.5,105409,0,7094991,0
2023-07-27 15:07:00,1690450620,2503.1,2504.1,2502.0,2502.3,2503.77,81255,0,6989582,0
2023-07-27 15:06:00,1690450560,2498.8,2503.1,2498.8,2503.05,2500.7,115970,0,6908327,0
2023-07-27 15:05:00,1690450500,2500.85,2501.0,2498.25,2498.7,2499.77,78919,0,6792357,0
2023-07-27 15:04:00,1690450440,2500.95,2501.35,2500.05,2500.7,2501.06,47139,0,6713438,0
2023-07-27 15:03:00,1690450380,2501.85,2501.9,2500.9,2500.9,2500.49,56477,0,6666299,0
2023-07-27 15:02:00,1690450320,2501.9,2503.0,2500.6,2501.4,2502.4,52663,0,6609822,0
2023-07-27 15:01:00,1690450260,2500.45,2502.0,2499.7,2501.5,2500.11,52873,0,6557159,0
2023-07-27 15:00:00,1690450200,2498.7,2500.3,2498.15,2500.3,2499.69,44593,0,6504286,0
2023-07-27 14:59:00,1690450140,2498.6,2499.45,2497.35,2498.05,2499.44,10829,0,6459693,0
2023-07-27 14:58:00,1690450080,2499.45,2499.9,2497.5,2499.35,2499.64,16441,0,6448864,0
2023-07-27 14:57:00,1690450020,2499.25,2499.65,2498.05,2499.55,2494.3,7514,0,6432423,0
2023-07-27 14:56:00,1690449960,2499.0,2499.9,2498.6,2499.45,2500.67,17880,0,6424909,0
2023-07-27 14:55:00,1690449900,2498.35,2498.85,2497.05,2498.85,2495.25,15775,0,6407029,0
2023-07-27 14:54:00,1690449840,2497.7,2499.0,2496.65,2497.8,2499.09,25649,0,6391254,0
2023-07-27 14:53:00,1690449780,2498.0,2499.45,2497.85,2498.0,2499.68,10713,0,6365605,0
2023-07-27 14:52:00,1690449720,2498.15,2499.0,2497.55,2498.15,2498.81,9952,0,6354892,0
2023-07-27 14:51:00,1690449660,2497.8,2498.25,2497.1,2498.25,2497.65,18160,0,6344940,0
2023-07-27 14:50:00,1690449600,2498.25,2498.35,2497.1,2498.15,2497.87,22909,0,6326780,0
2023-07-27 14:49:00,1690449540,2498.25,2498.25,2497.0,2498.2,2495.86,11932,0,6303871,0
2023-07-27 14:48:00,1690449480,2497.45,2498.55,2496.65,2497.8,2498.65,33559,0,6291939,0
2023-07-27 14:47:00,1690449420,2497.95,2498.0,2496.75,2497.55,2497.44,21759,0,6258380,0
2023-07-27 14:46:00,1690449360,2497.85,2498.6,2496.1,2498.25,2494.97,25798,0,6236621,0
2023-07-27 14:45:00,1690449300,2497.4,2498.7,2497.05,2497.5,2498.53,27756,0,6210823,0
2023-07-27 14:44:00,1690449240,2494.05,2497.45,2494.05,2497.45,2498.81,9391,0,6183067,0
2023-07-27 14:43:00,1690449180,2494.4,2496.2,2494.0,2494.25,2494.88,14413,0,6173676,0
