time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
2023-07-28 15:29:00,1690538340,92.7,92.75,92.6,92.75,92.46,31472,0,9714745,0
2023-07-28 15:28:00,1690538280,92.75,92.75,92.6,92.75,92.46,50663,0,9683273,0
2023-07-28 15:27:00,1690538220,92.75,92.75,92.7,92.7,92.46,34842,0,9632610,0
2023-07-28 15:26:00,1690538160,92.65,92.7,92.65,92.7,92.46,32630,0,9597768,0
2023-07-28 15:25:00,1690538100,92.65,92.7,92.65,92.7,92.46,51523,0,9565138,0
2023-07-28 15:24:00,1690538040,92.65,92.7,92.65,92.7,92.46,35220,0,9513615,0
2023-07-28 15:23:00,1690537980,92.65,92.7,92.65,92.7,92.46,7836,0,9478395,0
2023-07-28 15:22:00,1690537920,92.7,92.7,92.65,92.7,92.46,10330,0,9470559,0
2023-07-28 15:21:00,1690537860,92.65,92.7,92.65,92.65,92.46,24642,0,9460229,0
2023-07-28 15:20:00,1690537800,92.75,92.75,92.6,92.7,93.13,138467,0,9435587,0
2023-07-28 15:19:00,1690537740,92.8,92.8,92.7,92.7,92.45,48046,0,9297120,0
2023-07-28 15:18:00,1690537680,92.75,92.8,92.75,92.75,92.45,66622,0,9249074,0
2023-07-28 15:17:00,1690537620,92.8,92.8,92.75,92.8,92.45,30031,0,9182452,0
2023-07-28 15:16:00,1690537560,92.8,92.8,92.7,92.75,92.45,31376,0,9152421,0
2023-07-28 15:15:00,1690537500,92.75,92.8,92.7,92.75,93.31,103965,0,9121045,0
2023-07-28 15:14:00,1690537440,92.75,92.75,92.7,92.7,92.44,21572,0,9017080,0
2023-07-28 15:13:00,1690537380,92.7,92.75,92.65,92.7,92.44,47233,0,8995508,0
2023-07-28 15:12:00,1690537320,92.7,92.75,92.7,92.75,92.44,10852,0,8948275,0
2023-07-28 15:11:00,1690537260,92.8,92.8,92.7,92.75,92.44,18582,0,8937423,0
2023-07-28 15:10:00,1690537200,92.85,92.85,92.7,92.7,92.44,47772,0,8918841,0
2023-07-28 15:09:00,1690537140,92.8,92.85,92.75,92.8,92.44,30213,0,8871069,0
2023-07-28 15:08:00,1690537080,92.75,92.85,92.7,92.75,92.44,54806,0,8840856,0
2023-07-28 15:07:00,1690537020,92.8,92.85,92.7,92.85,94.49,42589,0,8786050,0
2023-07-28 15:06:00,1690536960,92.8,92.8,92.7,92.7,92.43,20854,0,8743461,0
2023-07-28 15:05:00,1690536900,92.75,92.75,92.7,92.75,92.43,23618,0,8722607,0
2023-07-28 15:04:00,1690536840,92.7,92.8,92.6,92.7,92.43,70863,0,8698989,0
2023-07-28 15:03:00,1690536780,92.7,92.7,92.65,92.65,92.43,7286,0,8628126,0
2023-07-28 15:02:00,1690536720,92.7,92.7,92.65,92.65,92.43,6432,0,8620840,0
2023-07-28 15:01:00,1690536660,92.65,92.7,92.65,92.65,92.43,28714,0,8614408,0
2023-07-28 15:00:00,1690536600,92.65,92.7,92.6,92.7,92.43,59952,0,8585694,0
2023-07-28 14:59:00,1690536540,92.65,92.65,92.5,92.6,92.43,22011,0,8525742,0
2023-07-28 14:58:00,1690536480,92.7,92.7,92.55,92.6,92.43,65653,0,8503731,0
2023-07-28 14:57:00,1690536420,92.65,92.7,92.65,92.65,92.43,10985,0,8438078,0
2023-07-28 14:56:00,1690536360,92.65,92.7,92.65,92.7,92.43,3637,0,8427093,0
2023-07-28 14:55:00,1690536300,92.65,92.7,92.65,92.7,92.43,6469,0,8423456,0
2023-07-28 14:54:00,1690536240,92.7,92.7,92.6,92.7,99.01,12760,0,8416987,0
2023-07-28 14:53:00,1690536180,92.7,92.7,92.6,92.65,92.42,13381,0,8404227,0
2023-07-28 14:52:00,1690536120,92.75,92.8,92.65,92.65,92.42,12815,0,8390846,0
2023-07-28 14:51:00,1690536060,92.8,92.9,92.8,92.8,92.42,11048,0,8378031,0
2023-07-28 14:50:00,1690536000,92.8,92.85,92.8,92.85,92.42,31701,0,8366983,0
2023-07-28 14:49:00,1690535940,92.9,92.9,92.8,92.85,92.42,79107,0,8335282,0
2023-07-28 14:48:00,1690535880,92.65,92.9,92.65,92.8,92.97,146017,0,8256175,0
2023-07-28 14:47:00,1690535820,92.65,92.7,92.65,92.7,92.41,6815,0,8110158,0
2023-07-28 14:46:00,1690535760,92.6,92.7,92.55,92.7,92.41,43487,0,8103343,0
2023-07-28 14:45:00,1690535700,92.55,92.6,92.5,92.55,92.41,83958,0,8059856,0
2023-07-28 14:44:00,1690535640,92.5,92.5,92.45,92.5,92.41,12871,0,7975898,0
2023-07-28 14:43:00,1690535580,92.5,92.5,92.45,92.45,92.41,27652,0,7963027,0
2023-07-28 14:42:00,1690535520,92.4,92.5,92.35,92.45,92.41,55174,0,7935375,0
2023-07-28 14:41:00,1690535460,92.35,92.4,92.35,92.35,92.41,2852,0,7880201,0
2023-07-28 14:40:00,1690535400,92.3,92.4,92.3,92.4,92.41,5240,0,7877349,0
2023-07-28 14:39:00,1690535340,92.35,92.35,92.3,92.35,92.41,1758,0,7872109,0
2023-07-28 14:38:00,1690535280,92.35,92.35,92.25,92.25,92.41,9459,0,7870351,0
2023-07-28 14:37:00,1690535220,92.35,92.4,92.3,92.3,92.41,7546,0,7860892,0
2023-07-28 14:36:00,1690535160,92.3,92.4,92.25,92.4,92.41,16029,0,7853346,0
2023-07-28 14:35:00,1690535100,92.25,92.3,92.25,92.25,92.41,15324,0,7837317,0
2023-07-28 14:34:00,1690535040,92.15,92.3,92.15,92.3,92.41,62667,0,7821993,0
2023-07-28 14:33:00,1690534980,92.3,92.35,92.15,92.2,92.41,117060,0,7759326,0
2023-07-28 14:32:00,1690534920,92.4,92.4,92.3,92.35,92.41,3991,0,7642266,0
2023-07-28 14:31:00,1690534860,92.4,92.45,92.3,92.3,92.41,20380,0,7638275,0
2023-07-28 14:30:00,1690534800,92.45,92.45,92.4,92.45,92.41,9879,0,7617895,0
2023-07-28 14:29:00,1690534740,92.45,92.5,92.4,92.4,92.41,10034,0,7608016,0
2023-07-28 14:28:00,1690534680,92.5,92.5,92.45,92.5,92.41,7543,0,7597982,0
2023-07-28 14:27:00,1690534620,92.45,92.45,92.4,92.45,92.41,11671,0,7590439,0
2023-07-28 14:26:00,1690534560,92.45,92.45,92.4,92.4,92.41,6994,0,7578768,0
2023-07-28 14:25:00,1690534500,92.45,92.45,92.4,92.4,92.41,2219,0,7571774,0
2023-07-28 14:24:00,1690534440,92.45,92.45,92.4,92.4,92.41,6286,0,7569555,0
2023-07-28 14:23:00,1690534380,92.4,92.45,92.35,92.4,92.41,25926,0,7563269,0
2023-07-28 14:22:00,1690534320,92.4,92.4,92.35,92.35,92.41,2572,0,7537343,0
2023-07-28 14:21:00,1690534260,92.4,92.4,92.35,92.35,92.41,1528,0,7534771,0
2023-07-28 14:20:00,1690534200,92.35,92.4,92.35,92.35,92.41,2701,0,7533243,0
2023-07-28 14:19:00,1690534140,92.3,92.35,92.3,92.3,92.41,3651,0,7530542,0
2023-07-28 14:18:00,1690534080,92.3,92.4,92.3,92.35,92.41,1486,0,7526891,0
2023-07-28 14:17:00,1690534020,92.4,92.4,92.3,92.4,92.41,540,0,7525405,0
2023-07-28 14:16:00,1690533960,92.4,92.4,92.3,92.35,92.41,4006,0,7524865,0
2023-07-28 14:15:00,1690533900,92.35,92.4,92.3,92.35,92.41,11388,0,7520859,0
2023-07-28 14:14:00,1690533840,92.3,92.35,92.3,92.3,92.41,2827,0,7509471,0
2023-07-28 14:13:00,1690533780,92.25,92.35,92.25,92.25,92.41,5642,0,7506644,0
2023-07-28 14:12:00,1690533720,92.3,92.35,92.3,92.3,92.41,17410,0,7501002,0
2023-07-28 14:11:00,1690533660,92.4,92.4,92.3,92.35,92.41,3915,0,7483592,0
2023-07-28 14:10:00,1690533600,92.3,92.4,92.3,92.3,92.41,4077,0,7479677,0
2023-07-28 14:09:00,1690533540,92.3,92.35,92.3,92.35,92.41,3774,0,7475600,0
2023-07-28 14:08:00,1690533480,92.35,92.4,92.3,92.4,92.41,3198,0,7471826,0
2023-07-28 14:07:00,1690533420,92.4,92.4,92.3,92.3,92.41,4479,0,7468628,0
2023-07-28 14:06:00,1690533360,92.35,92.4,92.35,92.35,92.41,1912,0,7464149,0
2023-07-28 14:05:00,1690533300,92.35,92.4,92.35,92.4,92.41,1724,0,7462237,0
2023-07-28 14:04:00,1690533240,92.4,92.4,92.35,92.4,92.41,1389,0,7460513,0
2023-07-28 14:03:00,1690533180,92.4,92.4,92.35,92.35,92.41,314,0,7459124,0
2023-07-28 14:02:00,1690533120,92.4,92.45,92.4,92.45,92.41,483,0,7458810,0
2023-07-28 14:01:00,1690533060,92.35,92.45,92.35,92.45,92.41,1052,0,7458327,0
2023-07-28 14:00:00,1690533000,92.3,92.4,92.3,92.4,92.41,11713,0,7457275,0
2023-07-28 13:59:00,1690532940,92.35,92.35,92.25,92.35,92.41,4495,0,7445562,0
2023-07-28 13:58:00,1690532880,92.25,92.35,92.25,92.25,80.42,6203,0,7441067,0
2023-07-28 13:57:00,1690532820,92.35,92.35,92.25,92.35,92.42,1310,0,7434864,0
2023-07-28 13:56:00,1690532760,92.45,92.45,92.25,92.25,92.42,10741,0,7433554,0
2023-07-28 13:55:00,1690532700,92.45,92.5,92.4,92.4,92.42,1515,0,7422813,0
2023-07-28 13:54:00,1690532640,92.4,92.5,92.4,92.5,92.42,2711,0,7421298,0
2023-07-28 13:53:00,1690532580,92.25,92.5,92.25,92.45,92.42,37786,0,7418587,0
2023-07-28 13:52:00,1690532520,92.25,92.35,92.25,92.35,92.42,6494,0,7380801,0
2023-07-28 13:51:00,1690532460,92.3,92.35,92.25,92.3,92.42,8596,0,7374307,0
2023-07-28 13:50:00,1690532400,92.25,92.35,92.25,92.35,92.42,20556,0,7365711,0
2023-07-28 13:49:00,1690532340,92.25,92.3,92.25,92.3,92.42,1274,0,7345155,0
2023-07-28 13:48:00,1690532280,92.25,92.3,92.25,92.3,92.42,6551,0,7343881,0
2023-07-28 13:47:00,1690532220,92.2,92.3,92.2,92.2,92.42,5498,0,7337330,0
2023-07-28 13:46:00,1690532160,92.3,92.3,92.2,92.3,92.42,19199,0,7331832,0
2023-07-28 13:45:00,1690532100,92.2,92.3,92.2,92.25,92.42,14938,0,7312633,0
2023-07-28 13:44:00,1690532040,92.35,92.35,92.25,92.25,92.42,31036,0,7297695,0
2023-07-28 13:43:00,1690531980,92.3,92.4,92.3,92.4,92.42,24954,0,7266659,0
2023-07-28 13:42:00,1690531920,92.5,92.5,92.35,92.35,92.42,1210,0,7241705,0
2023-07-28 13:41:00,1690531860,92.45,92.5,92.4,92.4,92.42,18674,0,7240495,0
2023-07-28 13:40:00,1690531800,92.45,92.5,92.45,92.5,92.42,9783,0,7221821,0
2023-07-28 13:39:00,1690531740,92.45,92.5,92.45,92.5,92.42,883,0,7212038,0
2023-07-28 13:38:00,1690531680,92.5,92.55,92.45,92.5,92.42,22953,0,7211155,0
2023-07-28 13:37:00,1690531620,92.6,92.65,92.55,92.55,92.42,18499,0,7188202,0
2023-07-28 13:36:00,1690531560,92.55,92.6,92.55,92.55,92.42,4181,0,7169703,0
2023-07-28 13:35:00,1690531500,92.55,92.65,92.55,92.6,92.42,3360,0,7165522,0
2023-07-28 13:34:00,1690531440,92.65,92.65,92.55,92.6,92.42,2280,0,7162162,0
2023-07-28 13:33:00,1690531380,92.6,92.65,92.55,92.55,92.42,5919,0,7159882,0
2023-07-28 13:32:00,1690531320,92.65,92.65,92.55,92.55,92.42,2480,0,7153963,0
2023-07-28 13:31:00,1690531260,92.6,92.65,92.55,92.6,92.42,8475,0,7151483,0
2023-07-28 13:30:00,1690531200,92.45,92.6,92.45,92.5,92.42,4055,0,7143008,0
2023-07-28 13:29:00,1690531140,92.5,92.55,92.45,92.55,92.42,3672,0,7138953,0
2023-07-28 13:28:00,1690531080,92.55,92.55,92.5,92.55,92.42,1328,0,7135281,0
2023-07-28 13:27:00,1690531020,92.5,92.55,92.5,92.5,92.42,736,0,7133953,0
2023-07-28 13:26:00,1690530960,92.5,92.6,92.45,92.55,92.42,15784,0,7133217,0
2023-07-28 13:25:00,1690530900,92.55,92.6,92.5,92.55,92.42,21787,0,7117433,0
2023-07-28 13:24:00,1690530840,92.55,92.55,92.5,92.5,92.42,2614,0,7095646,0
2023-07-28 13:23:00,1690530780,92.55,92.6,92.5,92.5,92.42,1590,0,7093032,0
2023-07-28 13:22:00,1690530720,92.55,92.6,92.5,92.6,92.42,4969,0,7091442,0
2023-07-28 13:21:00,1690530660,92.6,92.6,92.5,92.5,92.42,4191,0,7086473,0
2023-07-28 13:20:00,1690530600,92.55,92.6,92.55,92.55,92.42,2592,0,7082282,0
2023-07-28 13:19:00,1690530540,92.55,92.65,92.55,92.65,92.42,5311,0,7079690,0
2023-07-28 13:18:00,1690530480,92.6,92.65,92.5,92.65,110.83,3839,0,7074379,0
2023-07-28 13:17:00,1690530420,92.55,92.6,92.5,92.5,92.41,14091,0,7070540,0
2023-07-28 13:16:00,1690530360,92.6,92.65,92.55,92.6,92.41,16058,0,7056449,0
2023-07-28 13:15:00,1690530300,92.7,92.7,92.65,92.65,92.41,3461,0,7040391,0
2023-07-28 13:14:00,1690530240,92.7,92.75,92.65,92.65,92.41,4818,0,7036930,0
2023-07-28 13:13:00,1690530180,92.8,92.8,92.65,92.65,92.41,15998,0,7032112,0
2023-07-28 13:12:00,1690530120,92.65,92.8,92.65,92.75,92.41,74254,0,7016114,0
2023-07-28 13:11:00,1690530060,92.55,92.6,92.5,92.6,92.41,11145,0,6941860,0
2023-07-28 13:10:00,1690530000,92.6,92.6,92.5,92.5,92.41,2380,0,6930715,0
2023-07-28 13:09:00,1690529940,92.55,92.6,92.5,92.55,92.41,10316,0,6928335,0
2023-07-28 13:08:00,1690529880,92.5,92.6,92.5,92.5,92.41,22108,0,6918019,0
2023-07-28 13:07:00,1690529820,92.5,92.6,92.5,92.6,92.41,11785,0,6895911,0
2023-07-28 13:06:00,1690529760,92.6,92.6,92.5,92.6,92.41,685,0,6884126,0
2023-07-28 13:05:00,1690529700,92.5,92.6,92.45,92.55,92.41,27432,0,6883441,0
2023-07-28 13:04:00,1690529640,92.5,92.5,92.45,92.45,92.41,4331,0,6856009,0
2023-07-28 13:03:00,1690529580,92.45,92.55,92.45,92.55,92.41,9067,0,6851678,0
2023-07-28 13:02:00,1690529520,92.55,92.55,92.45,92.55,92.41,4177,0,6842611,0
2023-07-28 13:01:00,1690529460,92.5,92.6,92.45,92.5,92.41,20232,0,6838434,0
2023-07-28 13:00:00,1690529400,92.45,92.5,92.4,92.45,92.41,3571,0,6818202,0
2023-07-28 12:59:00,1690529340,92.45,92.5,92.4,92.4,92.41,10392,0,6814631,0
2023-07-28 12:58:00,1690529280,92.45,92.5,92.4,92.5,92.41,7256,0,6804239,0
2023-07-28 12:57:00,1690529220,92.3,92.4,92.3,92.4,92.41,3460,0,6796983,0
2023-07-28 12:56:00,1690529160,92.3,92.4,92.3,92.4,92.41,33700,0,6793523,0
2023-07-28 12:55:00,1690529100,92.35,92.4,92.35,92.35,92.41,5942,0,6759823,0
2023-07-28 12:54:00,1690529040,92.5,92.5,92.35,92.4,92.41,30271,0,6753881,0
2023-07-28 12:53:00,1690528980,92.5,92.5,92.45,92.45,92.41,793,0,6723610,0
2023-07-28 12:52:00,1690528920,92.45,92.55,92.45,92.45,92.41,20300,0,6722817,0
2023-07-28 12:51:00,1690528860,92.5,92.5,92.4,92.5,92.41,11835,0,6702517,0
2023-07-28 12:50:00,1690528800,92.4,92.5,92.4,92.45,92.41,2592,0,6690682,0
2023-07-28 12:49:00,1690528740,92.4,92.5,92.35,92.5,92.41,13023,0,6688090,0
2023-07-28 12:48:00,1690528680,92.45,92.5,92.4,92.45,92.41,18296,0,6675067,0
2023-07-28 12:47:00,1690528620,92.45,92.6,92.45,92.5,92.41,12669,0,6656771,0
2023-07-28 12:46:00,1690528560,92.45,92.55,92.45,92.55,92.41,16889,0,6644102,0
2023-07-28 12:45:00,1690528500,92.5,92.55,92.45,92.5,92.41,27065,0,6627213,0
2023-07-28 12:44:00,1690528440,92.6,92.6,92.5,92.55,92.41,10403,0,6600148,0
2023-07-28 12:43:00,1690528380,92.6,92.6,92.5,92.5,92.41,53875,0,6589745,0
2023-07-28 12:42:00,1690528320,92.4,92.55,92.4,92.55,92.41,8820,0,6535870,0
2023-07-28 12:41:00,1690528260,92.45,92.45,92.4,92.45,92.41,7356,0,6527050,0
2023-07-28 12:40:00,1690528200,92.6,92.65,92.4,92.5,92.41,34518,0,6519694,0
2023-07-28 12:39:00,1690528140,92.6,92.7,92.6,92.65,95.63,20063,0,6485176,0
2023-07-28 12:38:00,1690528080,92.65,92.65,92.55,92.65,92.4,24660,0,6465113,0
2023-07-28 12:37:00,1690528020,92.65,92.7,92.6,92.6,92.4,20315,0,6440453,0
2023-07-28 12:36:00,1690527960,92.7,92.8,92.65,92.7,92.4,24750,0,6420138,0
2023-07-28 12:35:00,1690527900,92.6,92.8,92.55,92.75,92.4,64059,0,6395388,0
2023-07-28 12:34:00,1690527840,93.0,93.0,92.65,92.7,93.12,86595,0,6331329,0
2023-07-28 12:33:00,1690527780,93.0,93.15,93.0,93.05,93.0,292066,0,6244734,0
2023-07-28 12:32:00,1690527720,92.85,92.9,92.75,92.9,92.81,126955,0,5952668,0
2023-07-28 12:31:00,1690527660,92.65,92.85,92.6,92.8,92.6,219410,0,5825713,0
2023-07-28 12:30:00,1690527600,92.4,92.7,92.4,92.7,92.65,170324,0,5606303,0
2023-07-28 12:29:00,1690527540,92.35,92.4,92.3,92.35,92.33,119629,0,5435979,0
2023-07-28 12:28:00,1690527480,92.45,92.5,92.3,92.3,92.33,279239,0,5316350,0
2023-07-28 12:27:00,1690527420,92.3,92.45,92.3,92.35,92.33,98256,0,5037111,0
2023-07-28 12:26:00,1690527360,92.2,92.35,92.15,92.35,92.33,73806,0,4938855,0
2023-07-28 12:25:00,1690527300,92.2,92.2,92.1,92.15,92.33,9192,0,4865049,0
2023-07-28 12:24:00,1690527240,92.05,92.1,92.0,92.1,92.33,25588,0,4855857,0
2023-07-28 12:23:00,1690527180,92.05,92.15,92.0,92.0,92.33,15102,0,4830269,0
2023-07-28 12:22:00,1690527120,92.15,92.2,92.05,92.1,92.33,22084,0,4815167,0
2023-07-28 12:21:00,1690527060,92.2,92.2,92.1,92.1,92.33,2045,0,4793083,0
2023-07-28 12:20:00,1690527000,92.15,92.15,92.05,92.1,92.33,2567,0,4791038,0
2023-07-28 12:19:00,1690526940,92.1,92.2,92.05,92.05,92.33,14217,0,4788471,0
2023-07-28 12:18:00,1690526880,92.15,92.15,92.05,92.05,86.82,8655,0,4774254,0
2023-07-28 12:17:00,1690526820,92.15,92.2,92.05,92.05,92.34,19361,0,4765599,0
2023-07-28 12:16:00,1690526760,92.1,92.2,92.1,92.1,92.34,16218,0,4746238,0
2023-07-28 12:15:00,1690526700,92.15,92.2,92.1,92.2,92.34,17811,0,4730020,0
2023-07-28 12:14:00,1690526640,92.15,92.15,92.05,92.1,92.34,3822,0,4712209,0
2023-07-28 12:13:00,1690526580,92.05,92.15,92.0,92.05,92.34,11250,0,4708387,0
2023-07-28 12:12:00,1690526520,92.05,92.15,92.0,92.0,92.34,58518,0,4697137,0
2023-07-28 12:11:00,1690526460,92.15,92.15,92.1,92.1,92.34,528,0,4638619,0
2023-07-28 12:10:00,1690526400,92.2,92.2,92.1,92.1,92.34,6398,0,4638091,0
2023-07-28 12:09:00,1690526340,92.1,92.2,92.05,92.1,92.34,11897,0,4631693,0
2023-07-28 12:08:00,1690526280,92.1,92.15,92.0,92.05,91.71,73294,0,4619796,0
2023-07-28 12:07:00,1690526220,92.1,92.1,92.05,92.05,92.35,1936,0,4546502,0
2023-07-28 12:06:00,1690526160,92.2,92.2,92.05,92.05,92.35,19178,0,4544566,0
2023-07-28 12:05:00,1690526100,92.2,92.2,92.15,92.15,92.35,1049,0,4525388,0
2023-07-28 12:04:00,1690526040,92.15,92.2,92.1,92.15,92.35,3854,0,4524339,0
2023-07-28 12:03:00,1690525980,92.15,92.15,92.1,92.1,92.35,2769,0,4520485,0
2023-07-28 12:02:00,1690525920,92.15,92.25,92.1,92.1,92.35,13754,0,4517716,0
2023-07-28 12:01:00,1690525860,92.25,92.25,92.2,92.2,92.35,460,0,4503962,0
2023-07-28 12:00:00,1690525800,92.2,92.25,92.15,92.2,92.35,2115,0,4503502,0
2023-07-28 11:59:00,1690525740,92.25,92.25,92.15,92.25,92.35,2239,0,4501387,0
2023-07-28 11:58:00,1690525680,92.15,92.25,92.15,92.15,92.35,3829,0,4499148,0
2023-07-28 11:57:00,1690525620,92.2,92.2,92.1,92.2,92.35,18791,0,4495319,0
2023-07-28 11:56:00,1690525560,92.15,92.25,92.15,92.15,92.35,4139,0,4476528,0
2023-07-28 11:55:00,1690525500,92.15,92.25,92.15,92.2,92.35,2318,0,4472389,0
2023-07-28 11:54:00,1690525440,92.25,92.25,92.15,92.25,92.35,737,0,4470071,0
2023-07-28 11:53:00,1690525380,92.2,92.25,92.15,92.15,92.35,2673,0,4469334,0
2023-07-28 11:52:00,1690525320,92.25,92.25,92.1,92.1,92.35,11784,0,4466661,0
2023-07-28 11:51:00,1690525260,92.3,92.3,92.2,92.2,92.35,24589,0,4454877,0
2023-07-28 11:50:00,1690525200,92.25,92.3,92.25,92.25,92.35,29847,0,4430288,0
2023-07-28 11:49:00,1690525140,92.15,92.25,92.1,92.2,92.35,18260,0,4400441,0
2023-07-28 11:48:00,1690525080,92.1,92.15,92.1,92.1,91.99,119794,0,4382181,0
2023-07-28 11:47:00,1690525020,92.2,92.25,92.15,92.15,92.36,4208,0,4262387,0
2023-07-28 11:46:00,1690524960,92.25,92.25,92.25,92.25,92.36,15663,0,4258179,0
2023-07-28 11:45:00,1690524900,92.2,92.25,92.15,92.2,92.36,12833,0,4242516,0
2023-07-28 11:44:00,1690524840,92.25,92.25,92.15,92.15,92.36,30337,0,4229683,0
2023-07-28 11:43:00,1690524780,92.25,92.25,92.2,92.2,92.36,6989,0,4199346,0
2023-07-28 11:42:00,1690524720,92.25,92.25,92.2,92.2,92.36,4325,0,4192357,0
2023-07-28 11:41:00,1690524660,92.25,92.25,92.2,92.2,92.36,9919,0,4188032,0
2023-07-28 11:40:00,1690524600,92.2,92.25,92.2,92.2,92.36,3729,0,4178113,0
2023-07-28 11:39:00,1690524540,92.3,92.3,92.2,92.25,92.36,8678,0,4174384,0
2023-07-28 11:38:00,1690524480,92.3,92.35,92.25,92.25,92.36,8947,0,4165706,0
2023-07-28 11:37:00,1690524420,92.2,92.35,92.2,92.35,92.36,4142,0,4156759,0
2023-07-28 11:36:00,1690524360,92.2,92.25,92.15,92.25,90.01,17626,0,4152617,0
2023-07-28 11:35:00,1690524300,92.2,92.2,92.15,92.15,92.37,10148,0,4134991,0
2023-07-28 11:34:00,1690524240,92.2,92.2,92.15,92.15,92.37,18642,0,4124843,0
2023-07-28 11:33:00,1690524180,92.2,92.2,92.15,92.15,92.37,15379,0,4106201,0
2023-07-28 11:32:00,1690524120,92.1,92.2,92.1,92.15,92.37,17152,0,4090822,0
2023-07-28 11:31:00,1690524060,92.1,92.15,92.1,92.15,92.37,5609,0,4073670,0
2023-07-28 11:30:00,1690524000,92.15,92.15,92.1,92.15,92.37,4880,0,4068061,0
2023-07-28 11:29:00,1690523940,92.15,92.2,92.1,92.1,92.37,59678,0,4063181,0
2023-07-28 11:28:00,1690523880,92.25,92.3,92.15,92.2,92.37,52253,0,4003503,0
2023-07-28 11:27:00,1690523820,92.2,92.35,92.2,92.3,92.37,35442,0,3951250,0
2023-07-28 11:26:00,1690523760,92.15,92.3,92.15,92.3,92.37,8400,0,3915808,0
2023-07-28 11:25:00,1690523700,92.3,92.35,92.15,92.2,91.76,63457,0,3907408,0
2023-07-28 11:24:00,1690523640,92.35,92.45,92.3,92.35,92.38,16538,0,3843951,0
2023-07-28 11:23:00,1690523580,92.4,92.4,92.35,92.4,92.38,809,0,3827413,0
2023-07-28 11:22:00,1690523520,92.4,92.4,92.35,92.35,92.38,10589,0,3826604,0
2023-07-28 11:21:00,1690523460,92.3,92.4,92.3,92.35,92.38,9001,0,3816015,0
2023-07-28 11:20:00,1690523400,92.3,92.4,92.25,92.4,92.38,18170,0,3807014,0
2023-07-28 11:19:00,1690523340,92.35,92.4,92.25,92.25,92.38,33828,0,3788844,0
2023-07-28 11:18:00,1690523280,92.35,92.45,92.35,92.4,92.38,12314,0,3755016,0
2023-07-28 11:17:00,1690523220,92.4,92.5,92.35,92.45,92.38,64787,0,3742702,0
2023-07-28 11:16:00,1690523160,92.55,92.55,92.45,92.5,92.38,8512,0,3677915,0
2023-07-28 11:15:00,1690523100,92.5,92.55,92.5,92.5,92.38,4531,0,3669403,0
2023-07-28 11:14:00,1690523040,92.55,92.55,92.5,92.55,92.38,4799,0,3664872,0
2023-07-28 11:13:00,1690522980,92.5,92.55,92.45,92.5,92.38,3837,0,3660073,0
