time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-08 15:28:00,1691488680,3773.65,3779.9,3770.0,3779.6,3774.1,2414,0,379291,0,3150
2023-08-08 15:27:00,1691488620,3775.9,3777.0,3772.0,3773.4,3775.73,2034,0,376877,0,3150
2023-08-08 15:26:00,1691488560,3772.6,3777.0,3772.15,3774.7,3775.71,1346,0,374843,0,3150
2023-08-08 15:25:00,1691488500,3776.8,3776.95,3772.0,3772.8,3776.12,1290,0,373497,0,3150
2023-08-08 15:24:00,1691488440,3775.1,3776.95,3772.9,3775.05,3775.87,1959,0,372207,0,3150
2023-08-08 15:23:00,1691488380,3772.4,3776.95,3770.55,3774.95,3775.04,1744,0,370248,0,3150
2023-08-08 15:22:00,1691488320,3773.3,3774.6,3770.0,3772.25,3771.82,2474,0,368504,0,3150
2023-08-08 15:21:00,1691488260,3771.5,3774.7,3771.05,3774.25,3772.43,1358,0,366030,0,3150
2023-08-08 15:20:00,1691488200,3775.95,3777.8,3770.7,3772.5,3774.88,3088,0,364672,0,3150
2023-08-08 15:19:00,1691488140,3771.05,3775.0,3771.0,3775.0,3772.36,1334,0,361584,0,3150
2023-08-08 15:18:00,1691488080,3772.9,3775.0,3770.0,3771.9,3773.29,2761,0,360250,0,3150
2023-08-08 15:17:00,1691488020,3775.0,3775.25,3770.05,3772.85,3772.05,1802,0,357489,0,3150
2023-08-08 15:16:00,1691487960,3773.45,3775.1,3770.0,3773.5,3772.65,1660,0,355687,0,3150
2023-08-08 15:15:00,1691487900,3774.55,3776.65,3770.05,3772.8,3773.4,2637,0,354027,0,3150
2023-08-08 15:14:00,1691487840,3775.45,3777.25,3770.85,3775.85,3775.06,1896,0,351390,0,3150
2023-08-08 15:13:00,1691487780,3777.35,3779.95,3775.05,3776.9,3777.28,1565,0,349494,0,3150
2023-08-08 15:12:00,1691487720,3777.75,3783.6,3775.5,3777.3,3778.38,1672,0,347929,0,3150
2023-08-08 15:11:00,1691487660,3779.0,3779.95,3775.7,3779.0,3777.17,1549,0,346257,0,3150
2023-08-08 15:10:00,1691487600,3778.7,3782.0,3777.3,3779.8,3780.28,1454,0,344708,0,3150
2023-08-08 15:09:00,1691487540,3771.8,3780.0,3771.8,3780.0,3775.36,3203,0,343254,0,3150
2023-08-08 15:08:00,1691487480,3783.8,3785.0,3778.0,3778.0,3781.43,2645,0,340051,0,3150
2023-08-08 15:07:00,1691487420,3786.3,3787.15,3783.25,3785.0,3785.13,1394,0,337406,0,3150
2023-08-08 15:06:00,1691487360,3787.25,3790.25,3784.3,3787.25,3787.81,3264,0,336012,0,3150
2023-08-08 15:05:00,1691487300,3788.0,3791.0,3785.0,3787.1,3789.06,1785,0,332748,0,3150
2023-08-08 15:04:00,1691487240,3787.9,3788.95,3780.7,3787.55,3784.59,3333,0,330963,0,3150
2023-08-08 15:03:00,1691487180,3787.0,3790.15,3783.05,3788.0,3787.75,2729,0,327630,0,3150
2023-08-08 15:02:00,1691487120,3787.0,3787.0,3781.65,3783.55,3784.48,2352,0,324901,0,3150
2023-08-08 15:01:00,1691487060,3782.1,3790.7,3782.1,3787.05,3787.07,8520,0,322549,0,3150
2023-08-08 15:00:00,1691487000,3777.7,3782.05,3777.7,3782.05,3779.49,1930,0,314029,0,3150
2023-08-08 14:59:00,1691486940,3778.35,3779.8,3778.35,3779.0,3778.92,898,0,312099,0,3150
2023-08-08 14:58:00,1691486880,3778.8,3779.0,3774.95,3778.45,3777.36,981,0,311201,0,3150
2023-08-08 14:57:00,1691486820,3776.0,3778.1,3776.0,3778.1,3777.76,1707,0,310220,0,3150
2023-08-08 14:56:00,1691486760,3776.0,3776.0,3774.0,3775.6,3773.42,1024,0,308513,0,3150
2023-08-08 14:55:00,1691486700,3776.4,3776.6,3774.95,3776.1,3775.31,2190,0,307489,0,3150
2023-08-08 14:54:00,1691486640,3772.9,3774.95,3770.85,3774.95,3774.06,2133,0,305299,0,3150
2023-08-08 14:53:00,1691486580,3773.0,3774.0,3768.0,3772.05,3771.61,1158,0,303166,0,3150
2023-08-08 14:52:00,1691486520,3770.4,3774.0,3769.0,3773.8,3771.75,1979,0,302008,0,3150
2023-08-08 14:51:00,1691486460,3768.9,3770.7,3768.0,3770.5,3769.35,1800,0,300029,0,3150
2023-08-08 14:50:00,1691486400,3765.8,3769.0,3765.55,3769.0,3766.54,1076,0,298229,0,3150
2023-08-08 14:49:00,1691486340,3764.9,3769.0,3764.9,3767.3,3766.24,566,0,297153,0,3150
2023-08-08 14:48:00,1691486280,3765.7,3768.0,3762.95,3766.75,3765.81,1225,0,296587,0,3150
2023-08-08 14:47:00,1691486220,3764.0,3768.9,3763.75,3766.65,3766.36,1632,0,295362,0,3150
2023-08-08 14:46:00,1691486160,3757.25,3763.75,3757.25,3763.75,3760.94,844,0,293730,0,3150
2023-08-08 14:45:00,1691486100,3762.45,3763.5,3758.85,3758.85,3760.94,998,0,292886,0,3150
2023-08-08 14:44:00,1691486040,3760.95,3763.95,3760.95,3763.75,3760.94,311,0,291888,0,3150
2023-08-08 14:43:00,1691485980,3756.0,3761.75,3756.0,3759.25,3758.4,1147,0,291577,0,3150
2023-08-08 14:42:00,1691485920,3758.95,3758.95,3755.0,3757.1,3758.24,1068,0,290430,0,3150
2023-08-08 14:41:00,1691485860,3761.0,3761.0,3758.0,3759.0,3753.77,402,0,289362,0,3150
2023-08-08 14:40:00,1691485800,3761.8,3764.0,3758.7,3758.7,3760.97,1073,0,288960,0,3150
2023-08-08 14:39:00,1691485740,3764.9,3764.9,3760.05,3763.0,3762.83,1535,0,287887,0,3150
2023-08-08 14:38:00,1691485680,3761.15,3764.8,3761.15,3764.8,3767.14,462,0,286352,0,3150
2023-08-08 14:37:00,1691485620,3761.5,3762.1,3760.7,3762.0,3760.95,401,0,285890,0,3150
2023-08-08 14:36:00,1691485560,3762.25,3762.25,3760.0,3760.7,3760.95,573,0,285489,0,3150
2023-08-08 14:35:00,1691485500,3763.5,3763.6,3760.2,3761.0,3760.95,1132,0,284916,0,3150
2023-08-08 14:34:00,1691485440,3762.6,3763.5,3762.6,3763.0,3766.69,493,0,283784,0,3150
2023-08-08 14:33:00,1691485380,3762.6,3763.95,3762.55,3762.55,3760.94,304,0,283291,0,3150
2023-08-08 14:32:00,1691485320,3762.85,3767.2,3762.0,3763.9,3764.07,899,0,282987,0,3150
2023-08-08 14:31:00,1691485260,3766.5,3767.85,3762.15,3764.75,3767.28,885,0,282088,0,3150
2023-08-08 14:30:00,1691485200,3765.9,3767.0,3765.9,3767.0,3760.91,272,0,281203,0,3150
2023-08-08 14:29:00,1691485140,3766.5,3766.5,3765.15,3765.15,3767.32,437,0,280931,0,3150
2023-08-08 14:28:00,1691485080,3766.5,3766.55,3765.0,3766.55,3766.84,471,0,280494,0,3150
2023-08-08 14:27:00,1691485020,3766.8,3766.8,3765.1,3766.45,3770.88,280,0,280023,0,3150
2023-08-08 14:26:00,1691484960,3766.35,3766.35,3764.0,3766.35,3765.84,562,0,279743,0,3150
2023-08-08 14:25:00,1691484900,3767.7,3767.7,3764.0,3764.0,3763.81,945,0,279181,0,3150
2023-08-08 14:24:00,1691484840,3767.7,3767.7,3766.95,3767.6,3769.28,659,0,278236,0,3150
2023-08-08 14:23:00,1691484780,3763.9,3767.0,3763.9,3766.95,3765.43,1202,0,277577,0,3150
2023-08-08 14:22:00,1691484720,3763.2,3764.0,3763.2,3763.5,3760.82,568,0,276375,0,3150
2023-08-08 14:21:00,1691484660,3763.0,3764.95,3762.45,3764.55,3763.58,994,0,275807,0,3150
2023-08-08 14:20:00,1691484600,3766.9,3766.9,3763.05,3765.45,3767.67,798,0,274813,0,3150
2023-08-08 14:19:00,1691484540,3767.95,3767.95,3765.65,3765.65,3764.73,693,0,274015,0,3150
2023-08-08 14:18:00,1691484480,3768.8,3769.5,3767.0,3767.05,3769.21,969,0,273322,0,3150
2023-08-08 14:17:00,1691484420,3768.3,3768.8,3767.0,3768.2,3767.34,823,0,272353,0,3150
2023-08-08 14:16:00,1691484360,3769.5,3769.5,3768.0,3768.7,3770.73,271,0,271530,0,3150
2023-08-08 14:15:00,1691484300,3766.75,3770.0,3765.35,3769.95,3767.2,1250,0,271259,0,3150
2023-08-08 14:14:00,1691484240,3772.0,3772.0,3765.0,3765.2,3767.39,1203,0,270009,0,3150
2023-08-08 14:13:00,1691484180,3772.15,3772.75,3771.35,3771.4,3770.48,546,0,268806,0,3150
2023-08-08 14:12:00,1691484120,3772.85,3772.95,3770.6,3770.6,3773.81,1418,0,268260,0,3150
2023-08-08 14:11:00,1691484060,3769.65,3772.7,3769.0,3772.7,3770.42,1079,0,266842,0,3150
