time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
2023-07-27 15:29:00,1690451940,1135.0,1137.7,1132.65,1137.6,1135.83,6272,0,6365976,0
2023-07-27 15:28:00,1690451880,1133.95,1135.95,1133.8,1134.3,1133.68,29522,0,6359704,0
2023-07-27 15:27:00,1690451820,1133.5,1134.1,1133.3,1133.9,1133.86,31911,0,6330182,0
2023-07-27 15:26:00,1690451760,1133.55,1134.1,1132.9,1133.3,1133.92,32565,0,6298271,0
2023-07-27 15:25:00,1690451700,1134.9,1135.0,1132.4,1133.65,1134.03,34214,0,6265706,0
2023-07-27 15:24:00,1690451640,1134.9,1135.55,1134.6,1134.8,1133.56,26860,0,6231492,0
2023-07-27 15:23:00,1690451580,1135.75,1136.15,1133.95,1134.75,1135.88,24043,0,6204632,0
2023-07-27 15:22:00,1690451520,1135.0,1135.7,1134.0,1135.7,1135.88,33772,0,6180589,0
2023-07-27 15:21:00,1690451460,1134.9,1135.35,1134.2,1135.3,1133.64,27415,0,6146817,0
2023-07-27 15:20:00,1690451400,1135.4,1135.5,1134.25,1134.95,1135.89,38177,0,6119402,0
2023-07-27 15:19:00,1690451340,1135.55,1135.55,1134.65,1135.15,1132.27,16793,0,6081225,0
2023-07-27 15:18:00,1690451280,1135.0,1135.7,1134.75,1135.1,1135.23,90333,0,6064432,0
2023-07-27 15:17:00,1690451220,1134.65,1135.55,1134.15,1134.5,1135.91,28109,0,5974099,0
2023-07-27 15:16:00,1690451160,1135.6,1135.7,1134.2,1135.1,1133.67,26453,0,5945990,0
2023-07-27 15:15:00,1690451100,1134.75,1135.85,1134.6,1135.25,1135.92,22379,0,5919537,0
2023-07-27 15:14:00,1690451040,1135.15,1135.4,1134.45,1135.0,1133.0,20128,0,5897158,0
2023-07-27 15:13:00,1690450980,1135.3,1135.5,1134.9,1135.25,1135.93,16201,0,5877030,0
2023-07-27 15:12:00,1690450920,1135.0,1135.75,1134.75,1135.05,1135.93,19280,0,5860829,0
2023-07-27 15:11:00,1690450860,1135.5,1136.25,1134.6,1135.45,1135.17,151662,0,5841549,0
2023-07-27 15:10:00,1690450800,1136.1,1136.4,1134.55,1135.65,1135.95,33843,0,5689887,0
2023-07-27 15:09:00,1690450740,1135.5,1136.5,1135.05,1135.45,1135.95,56028,0,5656044,0
2023-07-27 15:08:00,1690450680,1134.85,1136.0,1134.0,1135.45,1134.77,47279,0,5600016,0
2023-07-27 15:07:00,1690450620,1135.95,1137.65,1134.5,1134.8,1136.36,132605,0,5552737,0
2023-07-27 15:06:00,1690450560,1134.5,1135.7,1132.55,1135.7,1133.91,129907,0,5420132,0
2023-07-27 15:05:00,1690450500,1134.2,1134.7,1132.3,1134.55,1133.64,66496,0,5290225,0
2023-07-27 15:04:00,1690450440,1135.65,1136.3,1133.35,1134.85,1135.22,64414,0,5223729,0
2023-07-27 15:03:00,1690450380,1136.4,1136.4,1133.8,1135.5,1134.91,45544,0,5159315,0
2023-07-27 15:02:00,1690450320,1134.7,1136.55,1134.35,1136.15,1136.05,25479,0,5113771,0
2023-07-27 15:01:00,1690450260,1134.8,1134.9,1132.55,1134.65,1133.91,23681,0,5088292,0
2023-07-27 15:00:00,1690450200,1133.6,1136.6,1133.6,1134.05,1134.56,66842,0,5064611,0
2023-07-27 14:59:00,1690450140,1136.0,1136.0,1133.55,1134.0,1135.02,138426,0,4997769,0
2023-07-27 14:58:00,1690450080,1136.4,1137.0,1135.5,1135.5,1136.11,16246,0,4859343,0
2023-07-27 14:57:00,1690450020,1136.85,1137.2,1136.0,1136.35,1136.11,5773,0,4843097,0
2023-07-27 14:56:00,1690449960,1135.9,1137.45,1135.9,1137.0,1136.11,2537,0,4837324,0
2023-07-27 14:55:00,1690449900,1135.95,1137.1,1135.6,1135.75,1136.11,9696,0,4834787,0
2023-07-27 14:54:00,1690449840,1134.9,1136.1,1134.9,1135.85,1136.11,3622,0,4825091,0
2023-07-27 14:53:00,1690449780,1136.8,1136.9,1134.85,1134.85,1136.11,6824,0,4821469,0
2023-07-27 14:52:00,1690449720,1137.45,1137.45,1136.3,1136.55,1138.44,20551,0,4814645,0
2023-07-27 14:51:00,1690449660,1136.25,1137.45,1134.7,1137.2,1136.1,23230,0,4794094,0
2023-07-27 14:50:00,1690449600,1136.0,1136.8,1136.0,1136.3,1136.1,5763,0,4770864,0
2023-07-27 14:49:00,1690449540,1135.4,1136.75,1134.75,1136.25,1136.1,6041,0,4765101,0
2023-07-27 14:48:00,1690449480,1137.0,1137.45,1134.75,1134.75,1136.1,22483,0,4759060,0
2023-07-27 14:47:00,1690449420,1135.15,1137.4,1135.0,1137.05,1136.1,5691,0,4736577,0
2023-07-27 14:46:00,1690449360,1135.3,1135.95,1134.5,1135.0,1136.1,12576,0,4730886,0
2023-07-27 14:45:00,1690449300,1134.25,1135.55,1134.25,1135.15,1130.91,9088,0,4718310,0
2023-07-27 14:44:00,1690449240,1135.05,1136.6,1134.2,1134.2,1136.11,10987,0,4709222,0
2023-07-27 14:43:00,1690449180,1134.9,1134.9,1133.5,1134.9,1136.11,5612,0,4698235,0
2023-07-27 14:42:00,1690449120,1133.8,1135.15,1133.75,1134.8,1136.11,5411,0,4692623,0
2023-07-27 14:41:00,1690449060,1133.15,1134.05,1133.0,1133.85,1136.11,5279,0,4687212,0
2023-07-27 14:40:00,1690449000,1132.45,1133.2,1132.0,1133.05,1127.07,5179,0,4681933,0
2023-07-27 14:39:00,1690448940,1133.15,1133.35,1132.0,1132.1,1132.97,29532,0,4676754,0
2023-07-27 14:38:00,1690448880,1133.05,1133.85,1132.25,1133.1,1128.67,6214,0,4647222,0
2023-07-27 14:37:00,1690448820,1133.45,1133.6,1132.0,1133.0,1132.74,13580,0,4641008,0
2023-07-27 14:36:00,1690448760,1133.65,1133.75,1132.45,1133.0,1136.16,7881,0,4627428,0
2023-07-27 14:35:00,1690448700,1134.95,1135.0,1133.1,1133.5,1131.24,9376,0,4619547,0
2023-07-27 14:34:00,1690448640,1133.9,1135.0,1133.0,1135.0,1133.81,19488,0,4610171,0
2023-07-27 14:33:00,1690448580,1135.4,1135.4,1133.65,1134.0,1136.18,17771,0,4590683,0
2023-07-27 14:32:00,1690448520,1136.85,1137.4,1135.0,1135.0,1134.54,27752,0,4572912,0
2023-07-27 14:31:00,1690448460,1137.95,1138.0,1136.8,1136.95,1141.07,9281,0,4545160,0
2023-07-27 14:30:00,1690448400,1138.25,1138.6,1137.65,1138.0,1136.18,8044,0,4535879,0
2023-07-27 14:29:00,1690448340,1139.6,1140.0,1138.1,1138.3,1136.18,5930,0,4527835,0
2023-07-27 14:28:00,1690448280,1139.95,1140.1,1139.35,1139.65,1146.64,4315,0,4521905,0
2023-07-27 14:27:00,1690448220,1140.0,1140.25,1139.9,1140.0,1136.17,3806,0,4517590,0
2023-07-27 14:26:00,1690448160,1139.9,1140.25,1139.45,1139.9,1141.4,8614,0,4513784,0
2023-07-27 14:25:00,1690448100,1140.0,1140.0,1138.85,1140.0,1136.16,4411,0,4505170,0
2023-07-27 14:24:00,1690448040,1139.65,1140.0,1139.25,1139.95,1144.42,5436,0,4500759,0
2023-07-27 14:23:00,1690447980,1139.15,1139.75,1138.8,1139.6,1136.15,4789,0,4495323,0
2023-07-27 14:22:00,1690447920,1139.5,1140.0,1139.0,1139.0,1136.15,4990,0,4490534,0
2023-07-27 14:21:00,1690447860,1139.75,1140.0,1139.4,1139.55,1150.02,3231,0,4485544,0
2023-07-27 14:20:00,1690447800,1139.8,1140.0,1138.65,1139.7,1136.14,6762,0,4482313,0
2023-07-27 14:19:00,1690447740,1139.55,1140.0,1139.55,1139.85,1136.14,4158,0,4475551,0
2023-07-27 14:18:00,1690447680,1139.95,1140.0,1139.35,1139.5,1146.22,4429,0,4471393,0
2023-07-27 14:17:00,1690447620,1139.8,1140.0,1138.3,1140.0,1136.13,5206,0,4466964,0
2023-07-27 14:16:00,1690447560,1139.5,1140.25,1139.5,1139.7,1140.35,31491,0,4461758,0
2023-07-27 14:15:00,1690447500,1139.1,1139.9,1138.65,1139.9,1136.1,6815,0,4430267,0
