time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-07-28 15:28:00,1690538280,541.7,542.05,541.05,541.8,535.76,7886,0,3559020,0,13404
2023-07-28 15:27:00,1690538220,541.6,542.25,541.0,541.45,544.79,5089,0,3551134,0,13404
2023-07-28 15:26:00,1690538160,542.15,542.15,540.85,541.0,544.79,9541,0,3546045,0,13404
2023-07-28 15:25:00,1690538100,542.2,542.2,542.05,542.1,538.89,5993,0,3536504,0,13404
2023-07-28 15:24:00,1690538040,542.0,542.2,542.0,542.15,544.8,4597,0,3530511,0,13404
2023-07-28 15:23:00,1690537980,542.65,543.05,542.0,542.05,542.8,17626,0,3525914,0,13404
2023-07-28 15:22:00,1690537920,542.6,542.8,542.55,542.75,544.81,2148,0,3508288,0,13404
2023-07-28 15:21:00,1690537860,542.95,543.45,542.55,542.65,541.53,10657,0,3506140,0,13404
2023-07-28 15:20:00,1690537800,543.0,543.3,542.45,542.55,542.44,29167,0,3495483,0,13404
2023-07-28 15:19:00,1690537740,543.45,543.7,543.4,543.4,544.84,18934,0,3466316,0,13404
2023-07-28 15:18:00,1690537680,543.3,543.7,543.3,543.5,543.42,24270,0,3447382,0,13404
2023-07-28 15:17:00,1690537620,543.55,543.7,543.1,543.25,543.16,20158,0,3423112,0,13404
2023-07-28 15:16:00,1690537560,543.55,543.65,543.5,543.6,544.86,5148,0,3402954,0,13404
2023-07-28 15:15:00,1690537500,543.55,543.75,543.1,543.5,541.49,10080,0,3397806,0,13404
2023-07-28 15:14:00,1690537440,543.5,543.55,543.05,543.45,544.87,14401,0,3387726,0,13404
2023-07-28 15:13:00,1690537380,543.3,543.5,543.3,543.4,538.03,4929,0,3373325,0,13404
2023-07-28 15:12:00,1690537320,543.4,543.5,543.4,543.4,544.88,4220,0,3368396,0,13404
2023-07-28 15:11:00,1690537260,543.4,543.45,543.2,543.2,544.88,2992,0,3364176,0,13404
2023-07-28 15:10:00,1690537200,543.85,543.85,543.25,543.25,544.88,4679,0,3361184,0,13404
2023-07-28 15:09:00,1690537140,543.85,543.85,543.6,543.7,544.88,1779,0,3356505,0,13404
2023-07-28 15:08:00,1690537080,543.6,543.9,543.6,543.6,544.88,1126,0,3354726,0,13404
2023-07-28 15:07:00,1690537020,544.25,544.25,543.5,543.55,544.88,7752,0,3353600,0,13404
2023-07-28 15:06:00,1690536960,544.3,544.3,544.0,544.0,537.29,4404,0,3345848,0,13404
2023-07-28 15:05:00,1690536900,544.0,544.35,544.0,544.0,544.89,3502,0,3341444,0,13404
2023-07-28 15:04:00,1690536840,544.0,544.15,543.75,543.8,544.89,3581,0,3337942,0,13404
2023-07-28 15:03:00,1690536780,544.0,544.2,543.75,543.75,544.89,1292,0,3334361,0,13404
2023-07-28 15:02:00,1690536720,543.7,544.2,543.5,544.2,544.89,2873,0,3333069,0,13404
2023-07-28 15:01:00,1690536660,543.5,543.8,543.4,543.5,544.89,1249,0,3330196,0,13404
2023-07-28 15:00:00,1690536600,543.4,543.9,543.35,543.75,544.89,4158,0,3328947,0,13404
2023-07-28 14:59:00,1690536540,543.35,543.4,543.15,543.15,544.89,180,0,3324789,0,13404
2023-07-28 14:58:00,1690536480,543.85,544.25,543.35,543.5,544.89,1259,0,3324609,0,13404
2023-07-28 14:57:00,1690536420,543.35,543.9,543.35,543.8,544.89,11145,0,3323350,0,13404
2023-07-28 14:56:00,1690536360,543.5,543.5,543.25,543.25,528.48,2018,0,3312205,0,13404
2023-07-28 14:55:00,1690536300,543.75,543.8,543.2,543.75,544.9,6247,0,3310187,0,13404
2023-07-28 14:54:00,1690536240,543.55,543.9,543.3,543.9,544.9,3167,0,3303940,0,13404
2023-07-28 14:53:00,1690536180,543.1,544.15,543.1,544.0,544.9,7791,0,3300773,0,13404
2023-07-28 14:52:00,1690536120,543.15,543.45,543.15,543.2,544.9,2573,0,3292982,0,13404
2023-07-28 14:51:00,1690536060,543.15,543.4,543.05,543.4,544.9,769,0,3290409,0,13404
2023-07-28 14:50:00,1690536000,543.5,543.5,543.1,543.1,544.9,2377,0,3289640,0,13404
2023-07-28 14:49:00,1690535940,543.2,543.65,543.1,543.1,533.2,2808,0,3287263,0,13404
2023-07-28 14:48:00,1690535880,543.75,543.75,543.1,543.3,544.91,5139,0,3284455,0,13404
2023-07-28 14:47:00,1690535820,543.75,543.8,543.3,543.45,544.91,4381,0,3279316,0,13404
2023-07-28 14:46:00,1690535760,543.05,543.8,543.0,543.8,544.91,3515,0,3274935,0,13404
2023-07-28 14:45:00,1690535700,542.6,543.4,542.6,543.4,544.91,1403,0,3271420,0,13404
2023-07-28 14:44:00,1690535640,542.4,543.0,542.4,542.95,544.91,2277,0,3270017,0,13404
2023-07-28 14:43:00,1690535580,542.5,543.0,542.4,542.5,534.67,3189,0,3267740,0,13404
2023-07-28 14:42:00,1690535520,543.1,543.1,542.4,542.4,544.92,2870,0,3264551,0,13404
2023-07-28 14:41:00,1690535460,542.8,543.55,542.75,543.5,544.92,3114,0,3261681,0,13404
2023-07-28 14:40:00,1690535400,542.1,543.0,542.0,542.75,544.92,2864,0,3258567,0,13404
2023-07-28 14:39:00,1690535340,541.75,542.35,541.75,541.75,544.92,3591,0,3255703,0,13404
2023-07-28 14:38:00,1690535280,541.5,541.65,541.05,541.65,536.97,4086,0,3252112,0,13404
