time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-07-27 15:28:00,1690451880,810.1,812.85,810.0,812.0,812.79,12956,0,4645453,0,10243
2023-07-27 15:27:00,1690451820,809.05,810.45,809.05,810.35,810.07,11506,0,4632497,0,10243
2023-07-27 15:26:00,1690451760,809.55,810.85,809.0,810.85,809.03,13129,0,4620991,0,10243
2023-07-27 15:25:00,1690451700,808.95,810.0,808.85,809.6,811.49,14513,0,4607862,0,10243
2023-07-27 15:24:00,1690451640,807.2,809.0,807.15,808.9,807.18,26284,0,4593349,0,10243
2023-07-27 15:23:00,1690451580,807.3,807.45,807.0,807.45,805.62,12367,0,4567065,0,10243
2023-07-27 15:22:00,1690451520,807.0,807.85,806.5,806.5,807.83,15371,0,4554698,0,10243
2023-07-27 15:21:00,1690451460,806.95,807.2,806.1,807.05,806.69,18876,0,4539327,0,10243
2023-07-27 15:20:00,1690451400,807.35,807.7,806.0,806.9,807.17,33925,0,4520451,0,10243
2023-07-27 15:19:00,1690451340,806.2,807.5,806.1,807.3,807.37,24246,0,4486526,0,10243
2023-07-27 15:18:00,1690451280,807.75,808.0,806.05,806.9,806.84,17704,0,4462280,0,10243
2023-07-27 15:17:00,1690451220,807.9,808.7,807.05,807.9,808.19,13862,0,4444576,0,10243
2023-07-27 15:16:00,1690451160,808.3,808.85,807.8,808.4,807.35,7931,0,4430714,0,10243
2023-07-27 15:15:00,1690451100,809.5,809.7,808.05,808.75,808.52,64528,0,4422783,0,10243
2023-07-27 15:14:00,1690451040,809.2,810.2,809.2,809.7,810.07,10350,0,4358255,0,10243
2023-07-27 15:13:00,1690450980,808.75,810.0,808.5,809.75,808.98,17715,0,4347905,0,10243
2023-07-27 15:12:00,1690450920,807.8,808.6,807.45,808.6,807.39,7487,0,4330190,0,10243
2023-07-27 15:11:00,1690450860,808.0,808.0,806.6,807.85,808.21,6530,0,4322703,0,10243
2023-07-27 15:10:00,1690450800,808.05,808.5,807.5,807.75,807.26,15177,0,4316173,0,10243
2023-07-27 15:09:00,1690450740,807.65,809.0,807.65,808.5,810.77,9331,0,4300996,0,10243
2023-07-27 15:08:00,1690450680,806.0,808.05,805.85,808.05,805.2,11729,0,4291665,0,10243
2023-07-27 15:07:00,1690450620,806.45,806.9,805.65,806.35,808.78,11800,0,4279936,0,10243
2023-07-27 15:06:00,1690450560,806.1,806.4,803.6,806.4,803.82,18477,0,4268136,0,10243
2023-07-27 15:05:00,1690450500,805.45,806.5,805.05,805.3,806.75,8108,0,4249659,0,10243
2023-07-27 15:04:00,1690450440,805.95,806.8,805.55,805.85,810.72,4596,0,4241551,0,10243
2023-07-27 15:03:00,1690450380,803.3,806.9,803.25,806.3,804.74,25924,0,4236955,0,10243
2023-07-27 15:02:00,1690450320,802.0,804.0,801.5,803.75,801.48,29271,0,4211031,0,10243
2023-07-27 15:01:00,1690450260,803.0,804.5,800.7,802.7,802.83,30622,0,4181760,0,10243
2023-07-27 15:00:00,1690450200,801.85,802.65,801.6,802.1,801.47,11329,0,4151138,0,10243
2023-07-27 14:59:00,1690450140,802.35,802.45,801.55,801.95,801.47,3797,0,4139809,0,10243
2023-07-27 14:58:00,1690450080,801.65,802.85,801.2,802.2,801.47,6545,0,4136012,0,10243
2023-07-27 14:57:00,1690450020,802.65,802.85,801.1,801.15,801.47,3317,0,4129467,0,10243
2023-07-27 14:56:00,1690449960,802.8,802.85,802.0,802.7,805.59,9973,0,4126150,0,10243
2023-07-27 14:55:00,1690449900,800.95,802.45,800.95,802.35,801.46,7414,0,4116177,0,10243
2023-07-27 14:54:00,1690449840,801.2,801.5,800.1,800.85,801.46,11776,0,4108763,0,10243
2023-07-27 14:53:00,1690449780,800.55,801.9,800.55,801.5,801.46,8530,0,4096987,0,10243
2023-07-27 14:52:00,1690449720,803.2,803.35,800.0,801.05,801.46,36196,0,4088457,0,10243
2023-07-27 14:51:00,1690449660,804.0,804.4,803.0,803.4,801.46,4917,0,4052261,0,10243
