time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-02 15:28:00,1690970280,119.2,119.2,119.0,119.05,119.88,182817,0,54822633,0,3499
2023-08-02 15:27:00,1690970220,119.05,119.2,119.05,119.15,116.27,151021,0,54639816,0,3499
2023-08-02 15:26:00,1690970160,118.95,119.1,118.95,119.1,119.89,222592,0,54488795,0,3499
2023-08-02 15:25:00,1690970100,118.9,119.0,118.9,119.0,119.89,141519,0,54266203,0,3499
2023-08-02 15:24:00,1690970040,118.9,118.95,118.8,118.95,117.92,273982,0,54124684,0,3499
2023-08-02 15:23:00,1690969980,118.85,118.95,118.85,118.95,119.9,171532,0,53850702,0,3499
2023-08-02 15:22:00,1690969920,118.85,118.9,118.85,118.9,119.9,171037,0,53679170,0,3499
2023-08-02 15:21:00,1690969860,118.8,118.9,118.75,118.9,116.82,173428,0,53508133,0,3499
2023-08-02 15:20:00,1690969800,119.0,119.0,118.65,118.75,119.19,740682,0,53334705,0,3499
2023-08-02 15:19:00,1690969740,118.95,119.0,118.9,118.95,118.36,335259,0,52594023,0,3499
2023-08-02 15:18:00,1690969680,118.9,119.0,118.8,119.0,118.83,471420,0,52258764,0,3499
2023-08-02 15:17:00,1690969620,118.85,118.95,118.85,118.95,119.94,168055,0,51787344,0,3499
2023-08-02 15:16:00,1690969560,118.95,119.0,118.85,118.9,117.29,194637,0,51619289,0,3499
2023-08-02 15:15:00,1690969500,119.05,119.1,118.9,119.0,119.95,340183,0,51424652,0,3499
2023-08-02 15:14:00,1690969440,119.0,119.1,119.0,119.1,117.88,246362,0,51084469,0,3499
2023-08-02 15:13:00,1690969380,119.05,119.1,119.0,119.05,119.96,155114,0,50838107,0,3499
2023-08-02 15:12:00,1690969320,119.0,119.1,119.0,119.1,119.96,175177,0,50682993,0,3499
2023-08-02 15:11:00,1690969260,119.05,119.05,119.0,119.05,117.88,242560,0,50507816,0,3499
2023-08-02 15:10:00,1690969200,118.9,119.0,118.9,119.0,119.97,212466,0,50265256,0,3499
2023-08-02 15:09:00,1690969140,119.05,119.05,118.9,119.0,116.57,147183,0,50052790,0,3499
2023-08-02 15:08:00,1690969080,119.1,119.1,119.0,119.0,119.98,219031,0,49905607,0,3499
2023-08-02 15:07:00,1690969020,119.0,119.1,119.0,119.05,119.98,171976,0,49686576,0,3499
2023-08-02 15:06:00,1690968960,119.0,119.05,119.0,119.05,116.5,142078,0,49514600,0,3499
2023-08-02 15:05:00,1690968900,119.0,119.05,119.0,119.05,119.99,196660,0,49372522,0,3499
2023-08-02 15:04:00,1690968840,119.05,119.05,119.0,119.05,119.99,126153,0,49175862,0,3499
2023-08-02 15:03:00,1690968780,119.05,119.1,119.0,119.0,117.46,193118,0,49049709,0,3499
2023-08-02 15:02:00,1690968720,119.05,119.1,119.0,119.1,120.0,148601,0,48856591,0,3499
