time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-07-27 15:28:00,1690451880,1100.05,1100.7,1099.55,1099.85,1102.58,45265,0,17563861,0,13538
2023-07-27 15:27:00,1690451820,1099.9,1100.5,1099.5,1100.0,1098.28,40665,0,17518596,0,13538
2023-07-27 15:26:00,1690451760,1099.95,1100.0,1099.8,1100.0,1100.09,69665,0,17477931,0,13538
2023-07-27 15:25:00,1690451700,1099.95,1100.0,1099.8,1100.0,1099.05,48935,0,17408266,0,13538
2023-07-27 15:24:00,1690451640,1099.95,1100.0,1099.95,1100.0,1102.61,35899,0,17359331,0,13538
2023-07-27 15:23:00,1690451580,1099.95,1100.0,1099.9,1100.0,1099.96,65152,0,17323432,0,13538
2023-07-27 15:22:00,1690451520,1099.05,1100.0,1098.95,1100.0,1098.69,43842,0,17258280,0,13538
2023-07-27 15:21:00,1690451460,1099.4,1099.4,1098.95,1099.0,1097.06,61647,0,17214438,0,13538
2023-07-27 15:20:00,1690451400,1098.55,1099.3,1098.15,1099.0,1100.45,77944,0,17152791,0,13538
2023-07-27 15:19:00,1690451340,1099.0,1099.5,1098.35,1098.9,1099.12,48227,0,17074847,0,13538
2023-07-27 15:18:00,1690451280,1099.0,1099.45,1098.2,1098.95,1097.93,71687,0,17026620,0,13538
2023-07-27 15:17:00,1690451220,1099.55,1099.9,1098.8,1099.05,1099.5,53051,0,16954933,0,13538
2023-07-27 15:16:00,1690451160,1099.8,1100.0,1099.35,1099.6,1097.44,32108,0,16901882,0,13538
2023-07-27 15:15:00,1690451100,1099.75,1100.65,1099.2,1099.9,1100.34,141386,0,16869774,0,13538
2023-07-27 15:14:00,1690451040,1099.95,1100.4,1099.4,1099.5,1099.56,361808,0,16728388,0,13538
2023-07-27 15:13:00,1690450980,1099.9,1100.0,1099.55,1099.85,1100.77,80594,0,16366580,0,13538
2023-07-27 15:12:00,1690450920,1100.0,1100.0,1099.85,1100.0,1100.23,63029,0,16285986,0,13538
2023-07-27 15:11:00,1690450860,1099.95,1100.0,1099.5,1099.95,1100.37,66087,0,16222957,0,13538
2023-07-27 15:10:00,1690450800,1100.0,1100.0,1099.85,1100.0,1100.06,58187,0,16156870,0,13538
2023-07-27 15:09:00,1690450740,1099.85,1100.0,1099.8,1099.95,1099.84,53641,0,16098683,0,13538
2023-07-27 15:08:00,1690450680,1099.85,1100.0,1099.65,1099.9,1098.36,71179,0,16045042,0,13538
2023-07-27 15:07:00,1690450620,1100.95,1101.5,1099.8,1099.9,1101.21,96113,0,15973863,0,13538
2023-07-27 15:06:00,1690450560,1101.15,1101.6,1100.4,1101.3,1102.88,20825,0,15877750,0,13538
2023-07-27 15:05:00,1690450500,1100.95,1101.85,1099.9,1101.25,1097.9,31787,0,15856925,0,13538
2023-07-27 15:04:00,1690450440,1100.6,1101.0,1100.0,1100.8,1102.89,19235,0,15825138,0,13538
2023-07-27 15:03:00,1690450380,1101.65,1101.95,1099.8,1100.75,1099.08,41481,0,15805903,0,13538
2023-07-27 15:02:00,1690450320,1101.45,1102.25,1100.95,1101.8,1102.9,28678,0,15764422,0,13538
2023-07-27 15:01:00,1690450260,1101.95,1102.7,1101.15,1101.15,1102.9,56978,0,15735744,0,13538
