time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-07-31 15:28:00,1690797480,1999.25,2006.7,1994.05,2006.25,1999.4,2378,0,324401,0,3518
2023-07-31 15:27:00,1690797420,2003.7,2005.05,1998.05,1999.4,2002.75,1575,0,322023,0,3518
2023-07-31 15:26:00,1690797360,2004.45,2004.45,2001.1,2003.1,2004.35,1080,0,320448,0,3518
2023-07-31 15:25:00,1690797300,2003.15,2005.05,2001.1,2004.6,2002.59,1572,0,319368,0,3518
2023-07-31 15:24:00,1690797240,2005.95,2007.5,2002.65,2005.05,2004.94,2270,0,317796,0,3518
2023-07-31 15:23:00,1690797180,2005.85,2007.0,2002.75,2007.0,2004.72,2279,0,315526,0,3518
2023-07-31 15:22:00,1690797120,2004.7,2006.85,2002.25,2006.25,2005.28,1675,0,313247,0,3518
2023-07-31 15:21:00,1690797060,2007.35,2007.6,2001.55,2004.75,2005.38,2575,0,311572,0,3518
2023-07-31 15:20:00,1690797000,2002.85,2007.25,2002.85,2007.25,2003.91,1817,0,308997,0,3518
2023-07-31 15:19:00,1690796940,2004.0,2005.8,2002.8,2002.9,2004.1,2269,0,307180,0,3518
2023-07-31 15:18:00,1690796880,2003.95,2005.95,2001.0,2004.8,2003.48,3132,0,304911,0,3518
2023-07-31 15:17:00,1690796820,2003.7,2004.4,2001.8,2003.85,2003.81,1251,0,301779,0,3518
2023-07-31 15:16:00,1690796760,2001.95,2004.4,2001.95,2004.4,2005.29,885,0,300528,0,3518
2023-07-31 15:15:00,1690796700,2003.5,2004.75,2000.5,2002.95,2002.21,1701,0,299643,0,3518
2023-07-31 15:14:00,1690796640,2004.35,2005.25,2002.1,2004.9,2003.71,1474,0,297942,0,3518
2023-07-31 15:13:00,1690796580,2007.7,2007.9,2002.15,2004.4,2005.17,3238,0,296468,0,3518
2023-07-31 15:12:00,1690796520,2004.4,2007.55,2001.55,2007.55,2005.86,3017,0,293230,0,3518
2023-07-31 15:11:00,1690796460,2001.45,2005.05,2000.9,2004.95,2002.12,2391,0,290213,0,3518
2023-07-31 15:10:00,1690796400,2000.0,2001.75,1996.7,2000.8,2000.2,1905,0,287822,0,3518
