time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-01 15:28:00,1690883880,1589.6,1592.6,1589.3,1590.6,1589.87,2621,0,1435180,0,16713
2023-08-01 15:27:00,1690883820,1590.7,1591.9,1589.6,1591.0,1588.17,8401,0,1432559,0,16713
2023-08-01 15:26:00,1690883760,1592.85,1593.15,1590.6,1590.95,1592.48,5439,0,1424158,0,16713
2023-08-01 15:25:00,1690883700,1592.0,1592.0,1591.55,1591.8,1589.87,1284,0,1418719,0,16713
2023-08-01 15:24:00,1690883640,1591.95,1593.0,1590.45,1593.0,1589.87,4074,0,1417435,0,16713
2023-08-01 15:23:00,1690883580,1592.0,1593.25,1590.6,1592.0,1592.43,5491,0,1413361,0,16713
2023-08-01 15:22:00,1690883520,1592.5,1592.5,1591.2,1591.5,1589.86,2197,0,1407870,0,16713
2023-08-01 15:21:00,1690883460,1591.0,1593.3,1591.0,1592.0,1593.36,3994,0,1405673,0,16713
2023-08-01 15:20:00,1690883400,1591.25,1593.95,1590.8,1591.05,1592.17,11934,0,1401679,0,16713
2023-08-01 15:19:00,1690883340,1591.25,1591.25,1590.25,1591.2,1589.83,875,0,1389745,0,16713
2023-08-01 15:18:00,1690883280,1591.75,1592.5,1589.7,1590.65,1589.83,4098,0,1388870,0,16713
2023-08-01 15:17:00,1690883220,1591.8,1592.3,1590.0,1591.15,1589.83,2479,0,1384772,0,16713
2023-08-01 15:16:00,1690883160,1592.0,1592.0,1590.55,1591.0,1594.79,2776,0,1382293,0,16713
2023-08-01 15:15:00,1690883100,1592.0,1592.0,1589.35,1591.05,1589.82,5365,0,1379517,0,16713
2023-08-01 15:14:00,1690883040,1590.0,1592.0,1589.3,1591.95,1589.82,2806,0,1374152,0,16713
2023-08-01 15:13:00,1690882980,1591.0,1591.5,1589.25,1589.25,1596.29,2114,0,1371346,0,16713
2023-08-01 15:12:00,1690882920,1590.85,1591.9,1590.3,1590.5,1589.81,1544,0,1369232,0,16713
2023-08-01 15:11:00,1690882860,1591.45,1591.45,1590.15,1590.3,1589.81,778,0,1367688,0,16713
2023-08-01 15:10:00,1690882800,1589.75,1591.45,1589.75,1590.15,1589.81,573,0,1366910,0,16713
2023-08-01 15:09:00,1690882740,1589.9,1590.8,1589.5,1590.0,1589.81,906,0,1366337,0,16713
2023-08-01 15:08:00,1690882680,1591.5,1591.5,1588.8,1590.45,1589.81,1060,0,1365431,0,16713
2023-08-01 15:07:00,1690882620,1591.95,1592.8,1591.0,1591.0,1589.81,3187,0,1364371,0,16713
2023-08-01 15:06:00,1690882560,1592.0,1592.0,1591.85,1592.0,1595.48,2393,0,1361184,0,16713
2023-08-01 15:05:00,1690882500,1591.65,1592.0,1591.65,1591.85,1589.8,2935,0,1358791,0,16713
2023-08-01 15:04:00,1690882440,1591.95,1592.0,1591.0,1592.0,1589.8,913,0,1355856,0,16713
2023-08-01 15:03:00,1690882380,1592.55,1592.7,1591.95,1592.0,1598.2,1611,0,1354943,0,16713
2023-08-01 15:02:00,1690882320,1591.95,1592.0,1591.95,1591.95,1592.2,5589,0,1353332,0,16713
2023-08-01 15:01:00,1690882260,1591.95,1592.8,1591.95,1592.0,1589.78,1665,0,1347743,0,16713
2023-08-01 15:00:00,1690882200,1590.5,1592.5,1590.5,1592.0,1591.99,6058,0,1346078,0,16713
2023-08-01 14:59:00,1690882140,1591.05,1591.2,1590.4,1591.15,1589.77,1293,0,1340020,0,16713
2023-08-01 14:58:00,1690882080,1591.65,1591.65,1590.55,1591.2,1611.56,614,0,1338727,0,16713
2023-08-01 14:57:00,1690882020,1591.6,1592.1,1590.55,1591.6,1589.76,1925,0,1338113,0,16713
2023-08-01 14:56:00,1690881960,1591.0,1592.0,1590.3,1592.0,1589.76,2276,0,1336188,0,16713
2023-08-01 14:55:00,1690881900,1590.95,1591.9,1590.45,1591.9,1589.76,1274,0,1333912,0,16713
2023-08-01 14:54:00,1690881840,1591.75,1592.0,1590.05,1590.45,1589.76,1483,0,1332638,0,16713
2023-08-01 14:53:00,1690881780,1591.65,1591.9,1590.65,1590.8,1589.76,401,0,1331155,0,16713
2023-08-01 14:52:00,1690881720,1591.95,1592.0,1591.4,1591.95,1589.76,416,0,1330754,0,16713
2023-08-01 14:51:00,1690881660,1592.5,1592.5,1590.95,1591.5,1601.68,1115,0,1330338,0,16713
2023-08-01 14:50:00,1690881600,1591.05,1592.2,1591.05,1592.0,1589.75,1181,0,1329223,0,16713
2023-08-01 14:49:00,1690881540,1590.65,1592.0,1590.65,1591.25,1589.75,959,0,1328042,0,16713
2023-08-01 14:48:00,1690881480,1591.2,1591.85,1591.0,1591.45,1589.75,1062,0,1327083,0,16713
2023-08-01 14:47:00,1690881420,1590.6,1591.95,1590.6,1591.35,1589.75,931,0,1326021,0,16713
2023-08-01 14:46:00,1690881360,1590.15,1592.0,1590.15,1592.0,1589.75,1514,0,1325090,0,16713
2023-08-01 14:45:00,1690881300,1591.85,1592.0,1589.9,1591.15,1601.09,1166,0,1323576,0,16713
2023-08-01 14:44:00,1690881240,1591.85,1592.0,1591.2,1591.45,1589.74,1324,0,1322410,0,16713
2023-08-01 14:43:00,1690881180,1591.2,1592.0,1591.2,1592.0,1589.74,339,0,1321086,0,16713
2023-08-01 14:42:00,1690881120,1591.0,1592.15,1591.0,1592.0,1589.74,726,0,1320747,0,16713
2023-08-01 14:41:00,1690881060,1591.3,1592.0,1590.95,1590.95,1589.74,356,0,1320021,0,16713
2023-08-01 14:40:00,1690881000,1592.0,1592.0,1590.7,1590.7,1589.74,534,0,1319665,0,16713
2023-08-01 14:39:00,1690880940,1591.9,1592.0,1591.2,1591.5,1589.74,319,0,1319131,0,16713
2023-08-01 14:38:00,1690880880,1591.95,1592.0,1591.9,1592.0,1589.74,947,0,1318812,0,16713
2023-08-01 14:37:00,1690880820,1591.45,1592.5,1591.45,1592.0,1589.74,1256,0,1317865,0,16713
2023-08-01 14:36:00,1690880760,1591.85,1592.25,1591.85,1591.95,1601.61,1108,0,1316609,0,16713
2023-08-01 14:35:00,1690880700,1591.9,1592.0,1590.45,1592.0,1589.73,1398,0,1315501,0,16713
2023-08-01 14:34:00,1690880640,1591.45,1591.9,1591.0,1591.8,1589.73,273,0,1314103,0,16713
2023-08-01 14:33:00,1690880580,1591.9,1591.95,1590.95,1591.85,1589.73,222,0,1313830,0,16713
2023-08-01 14:32:00,1690880520,1591.4,1591.95,1590.9,1590.9,1589.73,424,0,1313608,0,16713
2023-08-01 14:31:00,1690880460,1592.0,1592.0,1590.65,1591.95,1589.73,193,0,1313184,0,16713
2023-08-01 14:30:00,1690880400,1591.9,1592.0,1591.3,1591.95,1589.73,605,0,1312991,0,16713
2023-08-01 14:29:00,1690880340,1589.95,1591.75,1589.95,1591.2,1589.73,121,0,1312386,0,16713
2023-08-01 14:28:00,1690880280,1590.8,1592.0,1589.95,1590.0,1589.73,933,0,1312265,0,16713
2023-08-01 14:27:00,1690880220,1590.25,1592.0,1590.25,1591.45,1589.73,432,0,1311332,0,16713
2023-08-01 14:26:00,1690880160,1590.7,1590.75,1589.2,1590.4,1589.73,437,0,1310900,0,16713
2023-08-01 14:25:00,1690880100,1589.75,1591.3,1589.35,1590.65,1589.73,2236,0,1310463,0,16713
2023-08-01 14:24:00,1690880040,1590.45,1590.45,1588.45,1589.45,1589.73,1028,0,1308227,0,16713
2023-08-01 14:23:00,1690879980,1590.3,1590.7,1589.35,1590.7,1589.73,469,0,1307199,0,16713
2023-08-01 14:22:00,1690879920,1590.55,1590.9,1590.0,1590.25,1589.73,504,0,1306730,0,16713
2023-08-01 14:21:00,1690879860,1589.9,1590.5,1589.35,1590.25,1589.73,1329,0,1306226,0,16713
2023-08-01 14:20:00,1690879800,1589.6,1590.6,1589.0,1589.2,1589.73,1329,0,1304897,0,16713
