time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-01 15:28:00,1690883880,626.05,626.25,625.65,625.85,625.54,53670,0,7542344,0,11287
2023-08-01 15:27:00,1690883820,625.9,626.4,625.75,626.0,626.88,40238,0,7488674,0,11287
2023-08-01 15:26:00,1690883760,626.0,626.0,625.5,625.75,625.31,55236,0,7448436,0,11287
2023-08-01 15:25:00,1690883700,626.05,626.45,626.05,626.3,628.57,20188,0,7393200,0,11287
2023-08-01 15:24:00,1690883640,625.9,626.0,625.9,626.0,625.46,52067,0,7373012,0,11287
2023-08-01 15:23:00,1690883580,625.8,626.0,625.8,625.95,624.88,19917,0,7320945,0,11287
2023-08-01 15:22:00,1690883520,625.65,626.0,625.55,625.85,626.5,27476,0,7301028,0,11287
2023-08-01 15:21:00,1690883460,625.9,625.95,625.6,625.6,625.8,15713,0,7273552,0,11287
2023-08-01 15:20:00,1690883400,625.45,626.2,625.4,625.8,625.88,61181,0,7257839,0,11287
2023-08-01 15:19:00,1690883340,625.4,625.6,625.3,625.5,625.07,36359,0,7196658,0,11287
2023-08-01 15:18:00,1690883280,625.45,625.5,625.2,625.45,625.11,35641,0,7160299,0,11287
2023-08-01 15:17:00,1690883220,625.45,625.65,625.35,625.5,624.65,39872,0,7124658,0,11287
2023-08-01 15:16:00,1690883160,625.35,625.5,625.1,625.4,625.72,45509,0,7084786,0,11287
2023-08-01 15:15:00,1690883100,625.75,625.8,625.15,625.25,626.25,53687,0,7039277,0,11287
2023-08-01 15:14:00,1690883040,625.15,625.8,625.15,625.7,624.71,37533,0,6985590,0,11287
2023-08-01 15:13:00,1690882980,625.05,625.5,625.05,625.25,624.44,39959,0,6948057,0,11287
2023-08-01 15:12:00,1690882920,625.3,625.35,625.0,625.1,627.47,21182,0,6908098,0,11287
2023-08-01 15:11:00,1690882860,625.4,625.5,625.3,625.35,623.9,23245,0,6886916,0,11287
2023-08-01 15:10:00,1690882800,625.5,625.6,625.3,625.45,624.61,18614,0,6863671,0,11287
2023-08-01 15:09:00,1690882740,625.5,625.55,625.3,625.55,627.04,33414,0,6845057,0,11287
2023-08-01 15:08:00,1690882680,625.5,625.7,625.4,625.45,624.18,20683,0,6811643,0,11287
2023-08-01 15:07:00,1690882620,625.75,625.8,625.35,625.7,626.07,39063,0,6790960,0,11287
