time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-07 15:28:00,1691402280,237.55,237.6,237.3,237.4,237.15,283736,0,34196350,0,3063
2023-08-07 15:27:00,1691402220,237.3,237.6,237.3,237.6,237.72,221450,0,33912614,0,3063
2023-08-07 15:26:00,1691402160,237.45,237.55,237.3,237.4,237.91,116608,0,33691164,0,3063
2023-08-07 15:25:00,1691402100,237.6,237.65,237.5,237.5,236.88,85528,0,33574556,0,3063
2023-08-07 15:24:00,1691402040,237.75,237.75,237.3,237.65,237.54,204142,0,33489028,0,3063
2023-08-07 15:23:00,1691401980,237.75,237.9,237.7,237.8,237.37,96093,0,33284886,0,3063
2023-08-07 15:22:00,1691401920,237.65,237.8,237.6,237.8,237.76,107750,0,33188793,0,3063
2023-08-07 15:21:00,1691401860,237.2,237.7,237.15,237.7,237.15,354314,0,33081043,0,3063
2023-08-07 15:20:00,1691401800,237.55,237.7,237.05,237.25,237.49,568852,0,32726729,0,3063
2023-08-07 15:19:00,1691401740,237.75,237.8,237.6,237.65,238.76,146209,0,32157877,0,3063
2023-08-07 15:18:00,1691401680,237.95,238.05,237.5,237.8,237.39,355367,0,32011668,0,3063
2023-08-07 15:17:00,1691401620,237.95,238.1,237.9,237.9,237.94,205920,0,31656301,0,3063
2023-08-07 15:16:00,1691401560,238.05,238.15,237.95,238.0,237.49,177428,0,31450381,0,3063
2023-08-07 15:15:00,1691401500,238.15,238.15,238.0,238.1,238.5,485410,0,31272953,0,3063
2023-08-07 15:14:00,1691401440,238.2,238.25,238.05,238.1,237.7,181438,0,30787543,0,3063
2023-08-07 15:13:00,1691401380,238.25,238.35,238.2,238.25,236.9,145223,0,30606105,0,3063
2023-08-07 15:12:00,1691401320,238.35,238.35,238.25,238.3,238.34,109463,0,30460882,0,3063
2023-08-07 15:11:00,1691401260,238.35,238.4,238.3,238.4,238.39,110542,0,30351419,0,3063
2023-08-07 15:10:00,1691401200,238.5,238.5,238.3,238.4,239.26,160135,0,30240877,0,3063
2023-08-07 15:09:00,1691401140,238.5,238.55,238.3,238.4,238.86,131116,0,30080742,0,3063
2023-08-07 15:08:00,1691401080,238.5,238.6,238.5,238.55,236.5,64208,0,29949626,0,3063
2023-08-07 15:07:00,1691401020,238.6,238.7,238.5,238.6,241.17,60656,0,29885418,0,3063
2023-08-07 15:06:00,1691400960,238.6,238.7,238.6,238.7,237.54,82014,0,29824762,0,3063
2023-08-07 15:05:00,1691400900,238.7,238.7,238.6,238.65,236.66,65663,0,29742748,0,3063
2023-08-07 15:04:00,1691400840,239.0,239.0,238.65,238.65,241.19,60536,0,29677085,0,3063
2023-08-07 15:03:00,1691400780,238.95,239.0,238.85,238.95,238.79,123361,0,29616549,0,3063
2023-08-07 15:02:00,1691400720,238.7,238.95,238.65,238.9,239.15,285968,0,29493188,0,3063
2023-08-07 15:01:00,1691400660,238.5,238.7,238.5,238.65,237.63,242249,0,29207220,0,3063
2023-08-07 15:00:00,1691400600,238.6,238.7,238.5,238.6,239.44,159612,0,28964971,0,3063
2023-08-07 14:59:00,1691400540,238.7,238.7,238.55,238.55,236.4,59219,0,28805359,0,3063
2023-08-07 14:58:00,1691400480,238.65,238.7,238.6,238.65,241.27,74182,0,28746140,0,3063
2023-08-07 14:57:00,1691400420,238.75,238.75,238.6,238.7,235.49,49558,0,28671958,0,3063
2023-08-07 14:56:00,1691400360,238.85,238.85,238.7,238.7,241.28,46221,0,28622400,0,3063
2023-08-07 14:55:00,1691400300,238.75,238.85,238.75,238.8,236.64,61510,0,28576179,0,3063
2023-08-07 14:54:00,1691400240,238.6,238.8,238.6,238.8,238.5,102085,0,28514669,0,3063
2023-08-07 14:53:00,1691400180,238.65,238.65,238.55,238.65,241.3,47896,0,28412584,0,3063
2023-08-07 14:52:00,1691400120,238.65,238.65,238.55,238.6,239.17,132718,0,28364688,0,3063
2023-08-07 14:51:00,1691400060,238.65,238.65,238.5,238.6,238.0,85154,0,28231970,0,3063
2023-08-07 14:50:00,1691400000,238.45,238.7,238.4,238.6,238.61,206788,0,28146816,0,3063
2023-08-07 14:49:00,1691399940,238.7,238.8,238.3,238.4,238.14,430376,0,27940028,0,3063
2023-08-07 14:48:00,1691399880,238.8,238.9,238.75,238.8,241.39,52236,0,27509652,0,3063
2023-08-07 14:47:00,1691399820,238.95,238.95,238.8,238.9,237.76,75540,0,27457416,0,3063
2023-08-07 14:46:00,1691399760,238.9,238.95,238.85,238.9,239.14,121016,0,27381876,0,3063
2023-08-07 14:45:00,1691399700,238.85,238.95,238.8,238.95,239.53,144718,0,27260860,0,3063
2023-08-07 14:44:00,1691399640,239.05,239.1,238.8,238.9,238.71,199234,0,27116142,0,3063
2023-08-07 14:43:00,1691399580,239.15,239.15,239.05,239.1,241.44,40046,0,26916908,0,3063
2023-08-07 14:42:00,1691399520,239.25,239.3,239.1,239.1,237.23,63809,0,26876862,0,3063
2023-08-07 14:41:00,1691399460,239.4,239.45,239.25,239.3,241.45,67374,0,26813053,0,3063
2023-08-07 14:40:00,1691399400,239.45,239.55,239.4,239.45,235.56,45373,0,26745679,0,3063
2023-08-07 14:39:00,1691399340,239.55,239.6,239.45,239.5,241.46,49882,0,26700306,0,3063
2023-08-07 14:38:00,1691399280,239.65,239.7,239.5,239.6,237.09,60900,0,26650424,0,3063
2023-08-07 14:37:00,1691399220,239.55,239.7,239.55,239.7,241.47,40305,0,26589524,0,3063
2023-08-07 14:36:00,1691399160,239.65,239.65,239.55,239.6,241.47,59279,0,26549219,0,3063
2023-08-07 14:35:00,1691399100,239.65,239.75,239.55,239.6,238.62,92808,0,26489940,0,3063
2023-08-07 14:34:00,1691399040,239.7,239.7,239.5,239.7,239.48,131908,0,26397132,0,3063
2023-08-07 14:33:00,1691398980,239.45,239.7,239.4,239.6,241.49,35768,0,26265224,0,3063
2023-08-07 14:32:00,1691398920,239.5,239.55,239.35,239.4,241.49,45001,0,26229456,0,3063
2023-08-07 14:31:00,1691398860,239.4,239.7,239.35,239.55,238.64,91632,0,26184455,0,3063
2023-08-07 14:30:00,1691398800,239.25,239.35,239.25,239.35,231.36,51379,0,26092823,0,3063
2023-08-07 14:29:00,1691398740,239.35,239.35,239.2,239.2,241.52,55608,0,26041444,0,3063
2023-08-07 14:28:00,1691398680,239.25,239.35,239.15,239.3,241.52,49530,0,25985836,0,3063
2023-08-07 14:27:00,1691398620,239.25,239.35,239.2,239.2,241.52,80337,0,25936306,0,3063
2023-08-07 14:26:00,1691398560,239.3,239.3,239.2,239.3,236.14,48005,0,25855969,0,3063
2023-08-07 14:25:00,1691398500,239.35,239.35,239.1,239.25,241.53,79355,0,25807964,0,3063
2023-08-07 14:24:00,1691398440,239.2,239.35,239.2,239.3,239.2,110239,0,25728609,0,3063
2023-08-07 14:23:00,1691398380,239.25,239.4,239.1,239.3,237.96,142326,0,25618370,0,3063
2023-08-07 14:22:00,1691398320,239.35,239.45,239.05,239.2,239.96,158925,0,25476044,0,3063
2023-08-07 14:21:00,1691398260,239.25,239.4,239.15,239.4,239.3,111450,0,25317119,0,3063
2023-08-07 14:20:00,1691398200,239.0,239.2,239.0,239.15,239.42,116452,0,25205669,0,3063
2023-08-07 14:19:00,1691398140,238.95,239.25,238.9,239.1,238.86,182747,0,25089217,0,3063
2023-08-07 14:18:00,1691398080,238.9,239.05,238.65,239.0,238.64,573511,0,24906470,0,3063
2023-08-07 14:17:00,1691398020,239.25,239.35,239.0,239.0,239.21,195900,0,24332959,0,3063
2023-08-07 14:16:00,1691397960,239.4,239.45,239.1,239.35,239.5,325734,0,24137059,0,3063
2023-08-07 14:15:00,1691397900,240.0,240.05,239.35,239.35,239.79,830684,0,23811325,0,3063
2023-08-07 14:14:00,1691397840,240.0,240.05,240.0,240.05,241.8,45595,0,22980641,0,3063
2023-08-07 14:13:00,1691397780,240.0,240.05,240.0,240.05,238.29,65177,0,22935046,0,3063
2023-08-07 14:12:00,1691397720,240.1,240.15,240.0,240.05,240.64,194128,0,22869869,0,3063
2023-08-07 14:11:00,1691397660,240.1,240.15,240.1,240.15,234.11,29388,0,22675741,0,3063
2023-08-07 14:10:00,1691397600,240.2,240.2,240.05,240.15,241.83,14645,0,22646353,0,3063
2023-08-07 14:09:00,1691397540,240.15,240.25,240.1,240.1,241.83,24669,0,22631708,0,3063
2023-08-07 14:08:00,1691397480,240.05,240.25,240.05,240.2,241.83,62748,0,22607039,0,3063
2023-08-07 14:07:00,1691397420,240.05,240.15,240.05,240.1,234.64,31333,0,22544291,0,3063
2023-08-07 14:06:00,1691397360,240.2,240.25,240.1,240.1,241.84,33801,0,22512958,0,3063
2023-08-07 14:05:00,1691397300,240.2,240.25,240.1,240.25,241.84,37487,0,22479157,0,3063
2023-08-07 14:04:00,1691397240,240.15,240.2,240.1,240.15,241.84,27793,0,22441670,0,3063
2023-08-07 14:03:00,1691397180,240.2,240.3,240.15,240.2,236.46,41644,0,22413877,0,3063
2023-08-07 14:02:00,1691397120,240.1,240.3,240.1,240.25,240.49,164098,0,22372233,0,3063
2023-08-07 14:01:00,1691397060,240.1,240.25,240.05,240.2,241.86,56736,0,22208135,0,3063
2023-08-07 14:00:00,1691397000,240.1,240.15,240.05,240.15,236.84,44121,0,22151399,0,3063
2023-08-07 13:59:00,1691396940,240.15,240.2,240.1,240.15,241.87,58974,0,22107278,0,3063
2023-08-07 13:58:00,1691396880,240.15,240.2,240.15,240.2,241.87,13760,0,22048304,0,3063
2023-08-07 13:57:00,1691396820,240.15,240.25,240.15,240.2,241.87,44983,0,22034544,0,3063
2023-08-07 13:56:00,1691396760,240.2,240.25,240.15,240.2,220.33,10206,0,21989561,0,3063
2023-08-07 13:55:00,1691396700,240.1,240.2,240.1,240.15,241.88,74745,0,21979355,0,3063
2023-08-07 13:54:00,1691396640,240.1,240.15,240.1,240.15,239.51,92238,0,21904610,0,3063
2023-08-07 13:53:00,1691396580,240.3,240.3,240.15,240.15,241.89,18644,0,21812372,0,3063
2023-08-07 13:52:00,1691396520,240.25,240.3,240.25,240.25,241.89,17311,0,21793728,0,3063
2023-08-07 13:51:00,1691396460,240.2,240.3,240.2,240.3,237.22,46548,0,21776417,0,3063
2023-08-07 13:50:00,1691396400,240.2,240.25,240.15,240.25,241.9,35594,0,21729869,0,3063
2023-08-07 13:49:00,1691396340,240.3,240.3,240.2,240.25,241.9,16564,0,21694275,0,3063
2023-08-07 13:48:00,1691396280,240.35,240.35,240.2,240.2,241.9,29229,0,21677711,0,3063
2023-08-07 13:47:00,1691396220,240.35,240.4,240.3,240.3,241.9,17964,0,21648482,0,3063
2023-08-07 13:46:00,1691396160,240.4,240.5,240.35,240.4,241.9,21997,0,21630518,0,3063
2023-08-07 13:45:00,1691396100,240.4,240.45,240.35,240.45,234.41,28828,0,21608521,0,3063
2023-08-07 13:44:00,1691396040,240.35,240.45,240.3,240.35,241.91,18568,0,21579693,0,3063
2023-08-07 13:43:00,1691395980,240.3,240.4,240.3,240.4,241.91,24578,0,21561125,0,3063
2023-08-07 13:42:00,1691395920,240.25,240.35,240.25,240.35,241.91,19756,0,21536547,0,3063
2023-08-07 13:41:00,1691395860,240.3,240.4,240.2,240.3,241.91,40748,0,21516791,0,3063
2023-08-07 13:40:00,1691395800,240.3,240.4,240.3,240.4,238.72,67182,0,21476043,0,3063
2023-08-07 13:39:00,1691395740,240.25,240.3,240.2,240.25,241.92,25038,0,21408861,0,3063
2023-08-07 13:38:00,1691395680,240.25,240.3,240.2,240.3,241.92,28783,0,21383823,0,3063
2023-08-07 13:37:00,1691395620,240.25,240.3,240.25,240.3,241.92,17478,0,21355040,0,3063
2023-08-07 13:36:00,1691395560,240.2,240.3,240.2,240.3,224.62,12327,0,21337562,0,3063
2023-08-07 13:35:00,1691395500,240.2,240.3,240.15,240.3,241.93,53251,0,21325235,0,3063
2023-08-07 13:34:00,1691395440,240.1,240.2,240.1,240.15,241.93,38929,0,21271984,0,3063
2023-08-07 13:33:00,1691395380,240.25,240.25,240.1,240.2,240.26,126405,0,21233055,0,3063
2023-08-07 13:32:00,1691395320,240.2,240.25,240.15,240.2,236.67,40049,0,21106650,0,3063
2023-08-07 13:31:00,1691395260,240.2,240.25,240.15,240.25,241.95,38621,0,21066601,0,3063
2023-08-07 13:30:00,1691395200,240.2,240.25,240.15,240.25,241.95,17818,0,21027980,0,3063
2023-08-07 13:29:00,1691395140,240.2,240.3,240.15,240.25,241.95,36974,0,21010162,0,3063
2023-08-07 13:28:00,1691395080,240.25,240.3,240.15,240.25,235.63,33159,0,20973188,0,3063
2023-08-07 13:27:00,1691395020,240.15,240.25,240.15,240.15,241.96,34299,0,20940029,0,3063
2023-08-07 13:26:00,1691394960,240.15,240.25,240.1,240.2,241.96,53601,0,20905730,0,3063
2023-08-07 13:25:00,1691394900,240.1,240.2,240.1,240.2,238.79,65613,0,20852129,0,3063
2023-08-07 13:24:00,1691394840,240.15,240.15,240.1,240.15,241.97,49953,0,20786516,0,3063
2023-08-07 13:23:00,1691394780,240.15,240.2,240.1,240.1,237.41,45466,0,20736563,0,3063
2023-08-07 13:22:00,1691394720,240.3,240.35,240.15,240.2,240.23,117939,0,20691097,0,3063
2023-08-07 13:21:00,1691394660,240.35,240.4,240.3,240.35,241.99,26194,0,20573158,0,3063
2023-08-07 13:20:00,1691394600,240.35,240.4,240.35,240.4,241.99,22789,0,20546964,0,3063
2023-08-07 13:19:00,1691394540,240.35,240.4,240.35,240.4,241.99,19347,0,20524175,0,3063
2023-08-07 13:18:00,1691394480,240.35,240.4,240.3,240.4,230.54,17895,0,20504828,0,3063
2023-08-07 13:17:00,1691394420,240.35,240.4,240.3,240.4,242.0,47935,0,20486933,0,3063
2023-08-07 13:16:00,1691394360,240.4,240.45,240.35,240.4,242.0,26104,0,20438998,0,3063
2023-08-07 13:15:00,1691394300,240.4,240.45,240.4,240.45,242.0,11810,0,20412894,0,3063
2023-08-07 13:14:00,1691394240,240.5,240.5,240.4,240.45,242.0,29741,0,20401084,0,3063
2023-08-07 13:13:00,1691394180,240.5,240.55,240.4,240.45,231.0,18510,0,20371343,0,3063
2023-08-07 13:12:00,1691394120,240.45,240.55,240.4,240.45,242.01,43582,0,20352833,0,3063
2023-08-07 13:11:00,1691394060,240.45,240.5,240.4,240.5,242.01,14808,0,20309251,0,3063
2023-08-07 13:10:00,1691394000,240.4,240.5,240.4,240.5,239.41,77869,0,20294443,0,3063
2023-08-07 13:09:00,1691393940,240.4,240.45,240.4,240.45,242.02,31292,0,20216574,0,3063
2023-08-07 13:08:00,1691393880,240.4,240.45,240.4,240.45,242.02,26848,0,20185282,0,3063
2023-08-07 13:07:00,1691393820,240.4,240.45,240.4,240.45,242.02,14709,0,20158434,0,3063
2023-08-07 13:06:00,1691393760,240.4,240.5,240.4,240.45,242.02,27087,0,20143725,0,3063
2023-08-07 13:05:00,1691393700,240.5,240.55,240.4,240.45,239.78,178083,0,20116638,0,3063
2023-08-07 13:04:00,1691393640,240.5,240.55,240.5,240.55,242.04,32445,0,19938555,0,3063
2023-08-07 13:03:00,1691393580,240.5,240.55,240.5,240.55,242.04,17992,0,19906110,0,3063
2023-08-07 13:02:00,1691393520,240.5,240.55,240.5,240.55,242.04,18081,0,19888118,0,3063
2023-08-07 13:01:00,1691393460,240.5,240.55,240.5,240.55,242.04,17523,0,19870037,0,3063
2023-08-07 13:00:00,1691393400,240.55,240.6,240.5,240.55,234.88,27718,0,19852514,0,3063
2023-08-07 12:59:00,1691393340,240.6,240.65,240.55,240.6,242.05,46327,0,19824796,0,3063
2023-08-07 12:58:00,1691393280,240.6,240.65,240.6,240.65,242.05,15083,0,19778469,0,3063
2023-08-07 12:57:00,1691393220,240.65,240.65,240.6,240.65,242.05,27311,0,19763386,0,3063
2023-08-07 12:56:00,1691393160,240.55,240.6,240.55,240.6,236.97,38831,0,19736075,0,3063
2023-08-07 12:55:00,1691393100,240.6,240.6,240.55,240.6,242.06,32916,0,19697244,0,3063
2023-08-07 12:54:00,1691393040,240.6,240.65,240.55,240.55,242.06,41350,0,19664328,0,3063
2023-08-07 12:53:00,1691392980,240.6,240.7,240.6,240.65,239.19,68201,0,19622978,0,3063
2023-08-07 12:52:00,1691392920,240.75,240.75,240.7,240.7,242.07,24793,0,19554777,0,3063
2023-08-07 12:51:00,1691392860,240.7,240.75,240.7,240.7,242.07,16337,0,19529984,0,3063
2023-08-07 12:50:00,1691392800,240.75,240.8,240.65,240.75,242.07,30436,0,19513647,0,3063
2023-08-07 12:49:00,1691392740,240.7,240.75,240.65,240.7,242.07,45370,0,19483211,0,3063
2023-08-07 12:48:00,1691392680,240.7,240.75,240.7,240.75,230.91,17407,0,19437841,0,3063
2023-08-07 12:47:00,1691392620,240.7,240.75,240.7,240.75,242.08,10467,0,19420434,0,3063
2023-08-07 12:46:00,1691392560,240.7,240.75,240.7,240.75,242.08,15661,0,19409967,0,3063
2023-08-07 12:45:00,1691392500,240.7,240.75,240.7,240.75,242.08,14666,0,19394306,0,3063
2023-08-07 12:44:00,1691392440,240.9,240.9,240.65,240.75,242.08,29622,0,19379640,0,3063
2023-08-07 12:43:00,1691392380,240.7,240.85,240.65,240.85,240.58,128453,0,19350018,0,3063
2023-08-07 12:42:00,1691392320,240.75,240.75,240.65,240.65,242.09,44784,0,19221565,0,3063
2023-08-07 12:41:00,1691392260,240.9,240.9,240.7,240.7,242.09,28631,0,19176781,0,3063
2023-08-07 12:40:00,1691392200,240.9,240.95,240.85,240.85,233.73,22904,0,19148150,0,3063
2023-08-07 12:39:00,1691392140,241.0,241.05,240.95,240.95,242.1,49554,0,19125246,0,3063
2023-08-07 12:38:00,1691392080,241.05,241.05,241.0,241.05,242.1,14804,0,19075692,0,3063
2023-08-07 12:37:00,1691392020,241.0,241.05,241.0,241.0,242.1,14101,0,19060888,0,3063
2023-08-07 12:36:00,1691391960,241.0,241.05,241.0,241.05,242.1,17756,0,19046787,0,3063
2023-08-07 12:35:00,1691391900,241.05,241.1,241.0,241.05,242.1,33913,0,19029031,0,3063
2023-08-07 12:34:00,1691391840,241.05,241.1,241.0,241.1,235.4,28334,0,18995118,0,3063
2023-08-07 12:33:00,1691391780,241.15,241.15,241.0,241.1,242.11,34990,0,18966784,0,3063
2023-08-07 12:32:00,1691391720,241.15,241.2,241.1,241.1,242.11,18498,0,18931794,0,3063
2023-08-07 12:31:00,1691391660,241.2,241.25,241.1,241.2,242.11,17170,0,18913296,0,3063
2023-08-07 12:30:00,1691391600,241.15,241.25,241.15,241.25,242.11,30456,0,18896126,0,3063
2023-08-07 12:29:00,1691391540,241.2,241.2,241.1,241.1,242.11,24541,0,18865670,0,3063
2023-08-07 12:28:00,1691391480,241.25,241.25,241.1,241.1,242.11,31232,0,18841129,0,3063
2023-08-07 12:27:00,1691391420,241.25,241.25,241.2,241.2,242.11,23192,0,18809897,0,3063
2023-08-07 12:26:00,1691391360,241.25,241.3,241.2,241.2,235.72,29400,0,18786705,0,3063
2023-08-07 12:25:00,1691391300,241.3,241.35,241.25,241.3,242.12,16345,0,18757305,0,3063
2023-08-07 12:24:00,1691391240,241.3,241.35,241.3,241.35,242.12,35356,0,18740960,0,3063
2023-08-07 12:23:00,1691391180,241.15,241.4,241.15,241.35,242.12,46620,0,18705604,0,3063
2023-08-07 12:22:00,1691391120,241.05,241.25,240.95,241.2,242.12,38458,0,18658984,0,3063
2023-08-07 12:21:00,1691391060,240.95,241.0,240.9,241.0,242.12,19909,0,18620526,0,3063
2023-08-07 12:20:00,1691391000,241.0,241.0,240.9,241.0,242.12,27451,0,18600617,0,3063
2023-08-07 12:19:00,1691390940,240.9,241.0,240.9,240.95,226.3,11736,0,18573166,0,3063
2023-08-07 12:18:00,1691390880,241.0,241.0,240.9,240.95,242.13,18102,0,18561430,0,3063
2023-08-07 12:17:00,1691390820,240.9,241.0,240.85,240.95,242.13,15057,0,18543328,0,3063
2023-08-07 12:16:00,1691390760,240.8,240.95,240.75,240.8,242.13,17538,0,18528271,0,3063
2023-08-07 12:15:00,1691390700,240.75,240.95,240.75,240.95,242.13,12178,0,18510733,0,3063
2023-08-07 12:14:00,1691390640,240.75,240.85,240.7,240.85,242.13,20183,0,18498555,0,3063
2023-08-07 12:13:00,1691390580,240.7,240.8,240.65,240.65,242.13,25191,0,18478372,0,3063
2023-08-07 12:12:00,1691390520,240.85,240.85,240.7,240.75,242.13,22001,0,18453181,0,3063
2023-08-07 12:11:00,1691390460,240.85,240.9,240.75,240.75,236.56,33051,0,18431180,0,3063
2023-08-07 12:10:00,1691390400,240.9,240.95,240.85,240.9,242.14,20635,0,18398129,0,3063
2023-08-07 12:09:00,1691390340,240.9,241.0,240.9,240.95,242.14,27093,0,18377494,0,3063
2023-08-07 12:08:00,1691390280,240.9,241.0,240.9,241.0,242.14,36586,0,18350401,0,3063
2023-08-07 12:07:00,1691390220,240.9,240.95,240.85,240.95,242.14,37011,0,18313815,0,3063
2023-08-07 12:06:00,1691390160,241.0,241.0,240.9,240.95,238.04,44525,0,18276804,0,3063
2023-08-07 12:05:00,1691390100,240.95,241.0,240.9,240.95,242.15,60741,0,18232279,0,3063
2023-08-07 12:04:00,1691390040,241.0,241.0,240.9,240.9,242.15,40271,0,18171538,0,3063
2023-08-07 12:03:00,1691389980,240.9,241.0,240.9,240.95,239.1,59257,0,18131267,0,3063
2023-08-07 12:02:00,1691389920,240.85,241.0,240.85,240.95,242.16,64346,0,18072010,0,3063
2023-08-07 12:01:00,1691389860,240.9,240.9,240.75,240.9,242.16,25491,0,18007664,0,3063
2023-08-07 12:00:00,1691389800,240.8,240.9,240.75,240.85,238.61,50594,0,17982173,0,3063
2023-08-07 11:59:00,1691389740,240.85,240.9,240.7,240.75,242.17,61129,0,17931579,0,3063
2023-08-07 11:58:00,1691389680,240.8,240.9,240.8,240.9,235.86,28305,0,17870450,0,3063
2023-08-07 11:57:00,1691389620,240.8,240.85,240.7,240.85,242.18,35019,0,17842145,0,3063
2023-08-07 11:56:00,1691389560,240.8,240.85,240.7,240.75,242.18,35531,0,17807126,0,3063
