,UNDERLYING,SYMBOL,tsym,token,stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,change,chperc
140,SHREE CEMENT LIMITED,SHREECEM,SHREECEM-EQ,3103,Ok,25-07-2023 09:15:00,1690256700,2044.0,2127.65,2044.0,2105.55,2091.37,815897,0,815897,0,61.55000000000018,3.011252446183962
88,INDIAN RAIL TOUR CORP LTD,IRCTC,IRCTC-EQ,13611,Ok,25-07-2023 09:15:00,1690256700,3140.0,3230.0,3140.0,3230.0,3194.27,32585,0,32585,0,90.0,2.8662420382165608
82,THE INDIA CEMENTS LIMITED,INDIACEM,INDIACEM-EQ,1515,Ok,25-07-2023 09:15:00,1690256700,208.85,214.9,208.6,214.65,213.1,939933,0,939933,0,5.800000000000011,2.777112760354327
164,ACC LIMITED,ACC,ACC-EQ,22,Ok,25-07-2023 09:15:00,1690256700,1810.15,1857.95,1810.15,1850.3,1843.3,349698,0,349698,0,40.149999999999864,2.2180482280473917
163,MANAPPURAM FINANCE LTD,MANAPPURAM,MANAPPURAM-EQ,19061,Ok,25-07-2023 09:15:00,1690256700,126.65,129.2,126.2,128.85,128.24,2679827,0,2679827,0,2.1999999999999886,1.7370706671930427
19,ADANI ENTERPRISES LIMITED,ADANIENT,ADANIENT-EQ,25,Ok,25-07-2023 09:15:00,1690256700,423.2,431.25,423.2,429.85,428.73,610054,0,610054,0,6.650000000000034,1.5713610586011422
30,ATUL LTD,ATUL,ATUL-EQ,263,Ok,25-07-2023 09:15:00,1690256700,1813.5,1842.6,1813.5,1838.7,1837.27,131798,0,131798,0,25.200000000000045,1.3895781637717146
74,HINDALCO  INDUSTRIES  LTD,HINDALCO,HINDALCO-EQ,1363,Ok,25-07-2023 09:15:00,1690256700,298.65,303.0,297.8,302.5,300.35,320855,0,320855,0,3.8500000000000227,1.2891344383057166
158,UPL LIMITED,UPL,UPL-EQ,11287,Ok,25-07-2023 09:15:00,1690256700,8245.0,8368.6,8244.75,8345.9,8317.87,86511,0,86511,0,100.89999999999964,1.2237719830200076
133,THE RAMCO CEMENTS LIMITED,RAMCOCEM,RAMCOCEM-EQ,2043,Ok,25-07-2023 09:15:00,1690256700,883.55,895.0,883.55,894.2,890.84,15201,0,15201,0,10.650000000000091,1.205364721860686
