UNDERLYING,SYMBOL,tsym,token
APOLLO TYRES LTD,APOLLOTYRE,APOLLOTYRE-EQ,163
ASTRAL LIMITED,ASTRAL,ASTRAL-EQ,14418
ADITYA BIRLA FASHION & RT,ABFRL,ABFRL-EQ,30108
ALKEM LABORATORIES LTD.,ALKEM,ALKEM-EQ,11703
AARTI INDUSTRIES LTD,AARTIIND,AARTIIND-EQ,7
ABB INDIA LIMITED,ABB,ABB-EQ,13
BHARAT ELECTRONICS LTD,BEL,BEL-EQ,383
AU SMALL FINANCE BANK LTD,AUBANK,AUBANK-EQ,21238
AXIS BANK LIMITED,AXISBANK,AXISBANK-EQ,5900
BAJAJ FINANCE LIMITED,BAJFINANCE,BAJFINANCE-EQ,317
BALKRISHNA IND. LTD,BALKRISIND,BALKRISIND-EQ,335
BATA INDIA LTD,BATAINDIA,BATAINDIA-EQ,371
BERGER PAINTS (I) LTD,BERGEPAINT,BERGEPAINT-EQ,404
ASHOK LEYLAND LTD,ASHOKLEY,ASHOKLEY-EQ,212
ABBOTT INDIA LIMITED,ABBOTINDIA,ABBOTINDIA-EQ,17903
ADITYA BIRLA CAPITAL LTD.,ABCAPITAL,ABCAPITAL-EQ,21614
COFORGE LIMITED,COFORGE,COFORGE-EQ,11543
CUMMINS INDIA LTD,CUMMINSIND,CUMMINSIND-EQ,1901
ASIAN PAINTS LIMITED,ASIANPAINT,ASIANPAINT-EQ,236
ADANI ENTERPRISES LIMITED,ADANIENT,ADANIENT-EQ,25
ADANI PORT & SEZ LTD,ADANIPORTS,ADANIPORTS-EQ,15083
BAJAJ AUTO LIMITED,BAJAJ-AUTO,BAJAJ-AUTO-EQ,16669
DIVI S LABORATORIES LTD,DIVISLAB,DIVISLAB-EQ,10940
AMBUJA CEMENTS LTD,AMBUJACEM,AMBUJACEM-EQ,1270
DIXON TECHNO (INDIA) LTD,DIXON,DIXON-EQ,21690
APOLLO HOSPITALS ENTER. L,APOLLOHOSP,APOLLOHOSP-EQ,157
EICHER MOTORS LTD,EICHERMOT,EICHERMOT-EQ,910
GODREJ CONSUMER PRODUCTS,GODREJCP,GODREJCP-EQ,10099
GRASIM INDUSTRIES LTD,GRASIM,GRASIM-EQ,1232
GUJARAT GAS LIMITED,GUJGASLTD,GUJGASLTD-EQ,10599
ATUL LTD,ATUL,ATUL-EQ,263
HCL TECHNOLOGIES LTD,HCLTECH,HCLTECH-EQ,7229
HDFC LIFE INS CO LTD,HDFCLIFE,HDFCLIFE-EQ,467
BALRAMPUR CHINI MILLS LTD,BALRAMCHIN,BALRAMCHIN-EQ,341
BANDHAN BANK LIMITED,BANDHANBNK,BANDHANBNK-EQ,2263
BHARAT FORGE LTD,BHARATFORG,BHARATFORG-EQ,422
IDFC LIMITED,IDFC,IDFC-EQ,11957
BHARTI AIRTEL LIMITED,BHARTIARTL,BHARTIARTL-EQ,10604
BHEL,BHEL,BHEL-EQ,438
BOSCH LIMITED,BOSCHLTD,BOSCHLTD-EQ,2181
BHARAT PETROLEUM CORP  LT,BPCL,BPCL-EQ,526
BRITANNIA INDUSTRIES LTD,BRITANNIA,BRITANNIA-EQ,547
BIRLASOFT LIMITED,BSOFT,BSOFT-EQ,6994
IDFC FIRST BANK LIMITED,IDFCFIRSTB,IDFCFIRSTB-EQ,11184
CAN FIN HOMES LTD,CANFINHOME,CANFINHOME-EQ,583
THE INDIAN HOTELS CO. LTD,INDHOTEL,INDHOTEL-EQ,1512
CHOLAMANDALAM IN & FIN CO,CHOLAFIN,CHOLAFIN-EQ,685
COLGATE PALMOLIVE LTD.,COLPAL,COLPAL-EQ,15141
COROMANDEL INTERNTL. LTD,COROMANDEL,COROMANDEL-EQ,739
CROMPT GREA CON ELEC LTD,CROMPTON,CROMPTON-EQ,17094
DABUR INDIA LTD,DABUR,DABUR-EQ,772
DALMIA BHARAT LIMITED,DALBHARAT,DALBHARAT-EQ,8075
INTERGLOBE AVIATION LTD,INDIGO,INDIGO-EQ,11195
DEEPAK NITRITE LTD,DEEPAKNTR,DEEPAKNTR-EQ,19943
DELTA CORP LIMITED,DELTACORP,DELTACORP-EQ,15044
BANK OF BARODA,BANKBARODA,BANKBARODA-EQ,4668
DLF LIMITED,DLF,DLF-EQ,14732
INFOSYS LIMITED,INFY,INFY-EQ,1594
DR. REDDY S LABORATORIES,DRREDDY,DRREDDY-EQ,881
ESCORTS KUBOTA LIMITED,ESCORTS,ESCORTS-EQ,958
MARUTI SUZUKI INDIA LTD.,MARUTI,MARUTI-EQ,10999
FEDERAL BANK LTD,FEDERALBNK,FEDERALBNK-EQ,1023
UNITED SPIRITS LIMITED,MCDOWELL-N,MCDOWELL-N-EQ,10447
GAIL (INDIA) LTD,GAIL,GAIL-EQ,4717
MAX FINANCIAL SERV LTD,MFSL,MFSL-EQ,2142
GLENMARK PHARMACEUTICALS,GLENMARK,GLENMARK-EQ,7406
GMR AIRPORTS INFRA LTD,GMRINFRA,GMRINFRA-EQ,13528
GUJ NAR VAL FER & CHEM L,GNFC,GNFC-EQ,1174
NATIONAL ALUMINIUM CO LTD,NATIONALUM,NATIONALUM-EQ,6364
HINDUSTAN AERONAUTICS LTD,HAL,HAL-EQ,2303
HAVELLS INDIA LIMITED,HAVELLS,HAVELLS-EQ,9819
HDFC BANK LTD,HDFCBANK,HDFCBANK-EQ,1333
INFO EDGE (I) LTD,NAUKRI,NAUKRI-EQ,13751
HERO MOTOCORP LIMITED,HEROMOTOCO,HEROMOTOCO-EQ,1348
HINDALCO  INDUSTRIES  LTD,HINDALCO,HINDALCO-EQ,1363
HINDUSTAN COPPER LTD,HINDCOPPER,HINDCOPPER-EQ,17939
HINDUSTAN PETROLEUM CORP,HINDPETRO,HINDPETRO-EQ,1406
INDIABULLS HSG FIN LTD,IBULHSGFIN,IBULHSGFIN-EQ,30125
ICICI LOMBARD GIC LIMITED,ICICIGI,ICICIGI-EQ,21770
ICICI PRU LIFE INS CO LTD,ICICIPRULI,ICICIPRULI-EQ,18652
INDIAN ENERGY EXC LTD,IEX,IEX-EQ,220
INDRAPRASTHA GAS LTD,IGL,IGL-EQ,11262
THE INDIA CEMENTS LIMITED,INDIACEM,INDIACEM-EQ,1515
INDIAMART INTERMESH LTD,INDIAMART,INDIAMART-EQ,10726
INDUS TOWERS LIMITED,INDUSTOWER,INDUSTOWER-EQ,29135
INTELLECT DESIGN ARENA,INTELLECT,INTELLECT-EQ,5926
INDIAN OIL CORP LTD,IOC,IOC-EQ,1624
