UNDERLYING,SYMBOL,tsym,token,stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
APOLLO TYRES LTD,APOLLOTYRE,APOLLOTYRE-EQ,163,Ok,25-07-2023 09:15:00,1690256700,214.50,215.30,213.50,214.00,214.43,129887,0,129887,0
ASTRAL LIMITED,ASTRAL,ASTRAL-EQ,14418,Ok,25-07-2023 09:15:00,1690256700,416.00,417.35,414.60,416.85,416.07,160165,0,160165,0
ADITYA BIRLA FASHION & RT,ABFRL,ABFRL-EQ,30108,Ok,25-07-2023 09:15:00,1690256700,1668.45,1685.45,1668.45,1681.05,1676.01,17535,0,17535,0
ALKEM LABORATORIES LTD.,ALKEM,ALKEM-EQ,11703,Ok,25-07-2023 09:15:00,1690256700,463.00,463.00,459.60,460.40,460.88,145714,0,145714,0
AARTI INDUSTRIES LTD,AARTIIND,AARTIIND-EQ,7,Ok,25-07-2023 09:15:00,1690256700,7649.35,7649.35,7605.30,7610.00,7623.98,55506,0,55506,0
ABB INDIA LIMITED,ABB,ABB-EQ,13,Ok,25-07-2023 09:15:00,1690256700,126.50,126.55,125.35,126.35,125.95,1029659,0,1029659,0
BHARAT ELECTRONICS LTD,BEL,BEL-EQ,383,Ok,25-07-2023 09:15:00,1690256700,3799.80,3870.00,3781.90,3810.90,3820.91,46955,0,46955,0
AU SMALL FINANCE BANK LTD,AUBANK,AUBANK-EQ,21238,Ok,25-07-2023 09:15:00,1690256700,976.75,976.75,971.10,971.25,973.41,526705,0,526705,0
AXIS BANK LIMITED,AXISBANK,AXISBANK-EQ,5900,Ok,25-07-2023 09:15:00,1690256700,1897.00,1903.45,1888.25,1896.45,1896.18,18173,0,18173,0
BAJAJ FINANCE LIMITED,BAJFINANCE,BAJFINANCE-EQ,317,Ok,25-07-2023 09:15:00,1690256700,740.10,745.30,739.10,739.40,741.69,170549,0,170549,0
BALKRISHNA IND. LTD,BALKRISIND,BALKRISIND-EQ,335,Ok,25-07-2023 09:15:00,1690256700,4334.30,4369.45,4309.35,4316.10,4338.43,28442,0,28442,0
BATA INDIA LTD,BATAINDIA,BATAINDIA-EQ,371,Ok,25-07-2023 09:15:00,1690256700,2383.45,2383.50,2360.10,2375.00,2367.91,16676,0,16676,0
BERGER PAINTS (I) LTD,BERGEPAINT,BERGEPAINT-EQ,404,Ok,25-07-2023 09:15:00,1690256700,3693.00,3699.00,3681.20,3695.15,3693.93,25170,0,25170,0
ASHOK LEYLAND LTD,ASHOKLEY,ASHOKLEY-EQ,212,Ok,25-07-2023 09:15:00,1690256700,185.00,185.15,181.95,182.45,183.26,2561280,0,2561280,0
ABBOTT INDIA LIMITED,ABBOTINDIA,ABBOTINDIA-EQ,17903,Ok,25-07-2023 09:15:00,1690256700,23244.95,23251.05,23100.00,23118.00,23166.19,485,0,485,0
ADITYA BIRLA CAPITAL LTD.,ABCAPITAL,ABCAPITAL-EQ,21614,Ok,25-07-2023 09:15:00,1690256700,1919.35,1921.95,1903.70,1906.55,1912.01,21961,0,21961,0
COFORGE LIMITED,COFORGE,COFORGE-EQ,11543,Ok,25-07-2023 09:15:00,1690256700,4884.85,4909.90,4879.90,4881.35,4890.36,27631,0,27631,0
CUMMINS INDIA LTD,CUMMINSIND,CUMMINSIND-EQ,1901,Ok,25-07-2023 09:15:00,1690256700,680.00,692.25,679.60,686.75,688.03,126826,0,126826,0
ASIAN PAINTS LIMITED,ASIANPAINT,ASIANPAINT-EQ,236,Ok,25-07-2023 09:15:00,1690256700,3544.90,3544.90,3508.15,3528.70,3522.94,102518,0,102518,0
ADANI ENTERPRISES LIMITED,ADANIENT,ADANIENT-EQ,25,Ok,25-07-2023 09:15:00,1690256700,423.20,431.25,423.20,429.85,428.73,610054,0,610054,0
ADANI PORT & SEZ LTD,ADANIPORTS,ADANIPORTS-EQ,15083,Ok,25-07-2023 09:15:00,1690256700,737.00,740.45,736.05,737.60,738.70,141947,0,141947,0
BAJAJ AUTO LIMITED,BAJAJ-AUTO,BAJAJ-AUTO-EQ,16669,Ok,25-07-2023 09:15:00,1690256700,2427.85,2430.50,2420.00,2424.20,2425.33,96492,0,96492,0
DIVI S LABORATORIES LTD,DIVISLAB,DIVISLAB-EQ,10940,Ok,25-07-2023 09:15:00,1690256700,189.85,191.25,189.00,190.50,190.23,560628,0,560628,0
AMBUJA CEMENTS LTD,AMBUJACEM,AMBUJACEM-EQ,1270,Ok,25-07-2023 09:15:00,1690256700,4738.85,4744.55,4702.20,4715.85,4717.99,17296,0,17296,0
DIXON TECHNO (INDIA) LTD,DIXON,DIXON-EQ,21690,Ok,25-07-2023 09:15:00,1690256700,398.65,403.30,398.00,400.80,401.55,551266,0,551266,0
APOLLO HOSPITALS ENTER. L,APOLLOHOSP,APOLLOHOSP-EQ,157,Ok,25-07-2023 09:15:00,1690256700,857.90,861.45,854.00,861.30,857.32,158647,0,158647,0
EICHER MOTORS LTD,EICHERMOT,EICHERMOT-EQ,910,Ok,25-07-2023 09:15:00,1690256700,4010.85,4044.45,4002.60,4021.70,4025.52,95154,0,95154,0
GODREJ CONSUMER PRODUCTS,GODREJCP,GODREJCP-EQ,10099,Ok,25-07-2023 09:15:00,1690256700,5156.00,5200.45,5156.00,5166.70,5179.86,24082,0,24082,0
GRASIM INDUSTRIES LTD,GRASIM,GRASIM-EQ,1232,Ok,25-07-2023 09:15:00,1690256700,1116.30,1119.00,1106.80,1111.60,1111.46,379103,0,379103,0
GUJARAT GAS LIMITED,GUJGASLTD,GUJGASLTD-EQ,10599,Ok,25-07-2023 09:15:00,1690256700,468.00,468.65,466.00,467.35,467.26,51455,0,51455,0
