ord_number,ordtime,exchange,sym,tsym,token,instrument,lotsize,qty,avgprice,margin,totalprice,netprice,trantype,status
7588756,2023-08-02 10:15:00,NFO,IBULHSGFIN,IBULHSGFIN31AUG23C150,128846,OPTSTK,5100,10200,8.5,86700.0,86700.0,-86700.0,B,N
7063291,2023-08-02 10:15:00,NFO,OBEROIRLTY,OBEROIRLTY31AUG23C1150,137816,OPTSTK,700,2100,44.1,92610.0,92610.0,-92610.0,B,N
7737122,2023-08-02 10:15:00,NFO,ESCORTS,ESCORTS31AUG23C2660,113754,OPTSTK,275,825,92.75,76518.75,76518.75,-76518.75,B,N
6044124,2023-08-02 10:15:00,NFO,PVRINOX,PVRINOX31AUG23C1600,140497,OPTSTK,407,1628,58.45,95156.6,95156.6,-95156.6,B,N
8800078,2023-08-02 10:15:00,NFO,INDIACEM,INDIACEM31AUG23C220,130332,OPTSTK,2900,5800,12.55,72790.0,72790.0,-72790.0,B,N
8699060,2023-08-02 10:15:00,NFO,NATIONALUM,NATIONALUM31AUG23P94,136622,OPTSTK,7500,30000,3.2,96000.0,96000.0,-96000.0,B,N
9012246,2023-08-02 10:15:00,NFO,TATASTEEL,TATASTEEL31AUG23P120.4,144912,OPTSTK,5500,27500,3.1,85250.0,85250.0,-85250.0,B,N
1192466,2023-08-02 10:15:00,NFO,HINDPETRO,HINDPETRO31AUG23P280,128476,OPTSTK,2700,10800,8.7,93959.99999999999,93959.99999999999,-93959.99999999999,B,N
7715177,2023-08-02 10:15:00,NFO,CIPLA,CIPLA31AUG23P1160,106398,OPTSTK,650,3900,23.85,93015.0,93015.0,-93015.0,B,N
9529965,2023-08-02 10:15:00,NFO,CUMMINSIND,CUMMINSIND31AUG23P1900,111205,OPTSTK,600,1200,63.05,75660.0,75660.0,-75660.0,B,N
1631341,2023-08-02 10:18:00,NFO,OBEROIRLTY,OBEROIRLTY31AUG23C1150,137816,OPTSTK,700,2100,37.95,92610.0,79695.0,79695.0,S,N
7201587,2023-08-02 10:21:00,NFO,PVRINOX,PVRINOX31AUG23C1600,140497,OPTSTK,407,1628,51.85,95156.6,84411.8,84411.8,S,N
8342416,2023-08-02 10:33:00,NFO,IBULHSGFIN,IBULHSGFIN31AUG23C150,128846,OPTSTK,5100,10200,7.2,86700.0,73440.0,73440.0,S,N
2203167,2023-08-02 10:37:00,NFO,INDIACEM,INDIACEM31AUG23C220,130332,OPTSTK,2900,5800,11.2,72790.0,64959.99999999999,64959.99999999999,S,N
6996798,2023-08-02 10:39:00,NFO,ESCORTS,ESCORTS31AUG23C2660,113754,OPTSTK,275,825,89.1,76518.75,73507.5,73507.5,S,N
1194753,2023-08-02 11:15:00,NFO,IBULHSGFIN,IBULHSGFIN31AUG23C147.5,128844,OPTSTK,5100,10200,8.0,81600.0,81600.0,-81600.0,B,N
1843940,2023-08-02 11:15:00,NFO,OBEROIRLTY,OBEROIRLTY31AUG23C1110,137808,OPTSTK,700,2100,42.0,88200.0,88200.0,-88200.0,B,N
5411045,2023-08-02 11:15:00,NFO,ESCORTS,ESCORTS31AUG23C2660,113754,OPTSTK,275,825,95.0,78375.0,78375.0,-78375.0,B,N
8992242,2023-08-02 11:15:00,NFO,PVRINOX,PVRINOX31AUG23C1600,140497,OPTSTK,407,1221,64.0,78144.0,78144.0,-78144.0,B,N
1054552,2023-08-02 11:15:00,NFO,NATIONALUM,NATIONALUM31AUG23P93,136620,OPTSTK,7500,30000,3.05,91500.0,91500.0,-91500.0,B,N
3328609,2023-08-02 11:15:00,NFO,TATASTEEL,TATASTEEL31AUG23P120.4,144912,OPTSTK,5500,27500,3.15,86625.0,86625.0,-86625.0,B,N
3759846,2023-08-02 11:31:00,NFO,OBEROIRLTY,OBEROIRLTY31AUG23C1110,137808,OPTSTK,700,2100,36.9,88200.0,77490.0,77490.0,S,N
6071470,2023-08-02 11:32:00,NFO,ESCORTS,ESCORTS31AUG23C2660,113754,OPTSTK,275,825,93.0,78375.0,76725.0,76725.0,S,N
5180631,2023-08-02 11:56:00,NFO,PVRINOX,PVRINOX31AUG23C1600,140497,OPTSTK,407,1221,60.15,78144.0,73443.15,73443.15,S,N
1082904,2023-08-02 12:15:00,NFO,IBULHSGFIN,IBULHSGFIN31AUG23C147.5,128844,OPTSTK,5100,10200,8.0,81600.0,81600.0,-81600.0,B,N
7764422,2023-08-02 12:15:00,NFO,OBEROIRLTY,OBEROIRLTY31AUG23C1100,137806,OPTSTK,700,2100,45.85,96285.0,96285.0,-96285.0,B,N
6331478,2023-08-02 12:15:00,NFO,ESCORTS,ESCORTS31AUG23C2620,113750,OPTSTK,275,825,91.5,75487.5,75487.5,-75487.5,B,N
2717969,2023-08-02 12:33:00,NFO,ESCORTS,ESCORTS31AUG23C2620,113750,OPTSTK,275,825,86.0,75487.5,70950.0,70950.0,S,N
1595617,2023-08-02 13:15:00,NFO,PVRINOX,PVRINOX31AUG23C1600,140497,OPTSTK,407,1221,68.25,83333.25,83333.25,-83333.25,B,N
1181753,2023-08-02 13:25:00,NFO,OBEROIRLTY,OBEROIRLTY31AUG23C1100,137806,OPTSTK,700,2100,42.05,96285.0,88305.0,88305.0,S,N
2115908,2023-08-02 13:46:00,NFO,PVRINOX,PVRINOX31AUG23C1600,140497,OPTSTK,407,1221,61.55,83333.25,75152.55,75152.55,S,N
8384483,2023-08-02 14:15:00,NFO,NATIONALUM,NATIONALUM31AUG23P92,136618,OPTSTK,7500,30000,3.25,97500.0,97500.0,-97500.0,B,N
9127670,2023-08-02 14:15:00,NFO,TATASTEEL,TATASTEEL31AUG23P118.4,144908,OPTSTK,5500,27500,3.2,88000.0,88000.0,-88000.0,B,N
5161415,2023-08-02 14:17:00,NFO,IBULHSGFIN,IBULHSGFIN31AUG23C147.5,128844,OPTSTK,5100,20400,6.35,163200.0,129540.0,129540.0,S,N
6834499,2023-08-02 15:15:00,NFO,OBEROIRLTY,OBEROIRLTY31AUG23C1110,137808,OPTSTK,700,2100,44.95,94395.0,94395.0,-94395.0,B,N
7761214,2023-08-02 15:15:00,NFO,PVRINOX,PVRINOX31AUG23C1620,140499,OPTSTK,407,1628,58.0,94424.0,94424.0,-94424.0,B,N
9799654,2023-08-02 15:26:00,NFO,OBEROIRLTY,OBEROIRLTY31AUG23C1110,137808,OPTSTK,700,2100,44.8,94395.0,94080.0,94080.0,S,N
7323079,2023-08-02 15:26:00,NFO,PVRINOX,PVRINOX31AUG23C1620,140499,OPTSTK,407,1628,59.0,94424.0,96052.0,96052.0,S,N
4109196,2023-08-02 15:26:00,NFO,NATIONALUM,NATIONALUM31AUG23P94,136622,OPTSTK,7500,30000,4.1,96000.0,122999.99999999999,122999.99999999999,S,N
1764567,2023-08-02 15:26:00,NFO,NATIONALUM,NATIONALUM31AUG23P93,136620,OPTSTK,7500,30000,3.45,91500.0,103500.0,103500.0,S,N
6292969,2023-08-02 15:26:00,NFO,NATIONALUM,NATIONALUM31AUG23P92,136618,OPTSTK,7500,30000,2.85,97500.0,85500.0,85500.0,S,N
4667184,2023-08-02 15:26:00,NFO,TATASTEEL,TATASTEEL31AUG23P120.4,144912,OPTSTK,5500,55000,3.75,171875.0,206250.0,206250.0,S,N
2473522,2023-08-02 15:26:00,NFO,TATASTEEL,TATASTEEL31AUG23P118.4,144908,OPTSTK,5500,27500,2.75,88000.0,75625.0,75625.0,S,N
2135146,2023-08-02 15:26:00,NFO,HINDPETRO,HINDPETRO31AUG23P280,128476,OPTSTK,2700,10800,10.3,93959.99999999999,111240.00000000001,111240.00000000001,S,N
5944724,2023-08-02 15:26:00,NFO,CIPLA,CIPLA31AUG23P1160,106398,OPTSTK,650,3900,22.7,93015.0,88530.0,88530.0,S,N
5954400,2023-08-02 15:26:00,NFO,CUMMINSIND,CUMMINSIND31AUG23P1900,111205,OPTSTK,600,1200,64.3,75660.0,77160.0,77160.0,S,N
