token,company,symbol,tsym,stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
163,APOLLO TYRES LTD,APOLLOTYRE,APOLLOTYRE-EQ,Ok,03-08-2023 09:15:00,1691034300,422.25,426.95,422.25,426.00,425.25,80129,0,81413,0
14418,ASTRAL LIMITED,ASTRAL,ASTRAL-EQ,Ok,03-08-2023 09:15:00,1691034300,1977.00,2005.50,1973.75,1999.00,1994.80,35772,0,37278,0
30108,ADITYA BIRLA FASHION & RT,ABFRL,ABFRL-EQ,Ok,03-08-2023 09:15:00,1691034300,217.85,219.35,216.75,219.10,218.01,104268,0,105840,0
11703,ALKEM LABORATORIES LTD.,ALKEM,ALKEM-EQ,Ok,03-08-2023 09:15:00,1691034300,3946.95,4002.75,3927.10,3999.55,3968.74,8817,0,8834,0
7,AARTI INDUSTRIES LTD,AARTIIND,AARTIIND-EQ,Ok,03-08-2023 09:15:00,1691034300,471.80,473.20,468.35,473.20,471.28,97631,0,100230,0
13,ABB INDIA LIMITED,ABB,ABB-EQ,Ok,03-08-2023 09:15:00,1691034300,4427.35,4430.75,4385.05,4426.20,4412.98,8954,0,9181,0
383,BHARAT ELECTRONICS LTD,BEL,BEL-EQ,Ok,03-08-2023 09:15:00,1691034300,125.65,126.30,124.00,126.25,125.39,1376576,0,1432174,0
21238,AU SMALL FINANCE BANK LTD,AUBANK,AUBANK-EQ,Ok,03-08-2023 09:15:00,1691034300,728.60,728.80,720.40,727.35,725.50,155876,0,157064,0
5900,AXIS BANK LIMITED,AXISBANK,AXISBANK-EQ,Ok,03-08-2023 09:15:00,1691034300,944.35,946.60,938.85,942.35,941.81,820647,0,841037,0
317,BAJAJ FINANCE LIMITED,BAJFINANCE,BAJFINANCE-EQ,Ok,03-08-2023 09:15:00,1691034300,7170.05,7214.95,7155.80,7205.50,7188.83,62740,0,64313,0
335,BALKRISHNA IND. LTD,BALKRISIND,BALKRISIND-EQ,Ok,03-08-2023 09:15:00,1691034300,2451.00,2480.00,2450.15,2472.35,2471.34,8015,0,8110,0
371,BATA INDIA LTD,BATAINDIA,BATAINDIA-EQ,Ok,03-08-2023 09:15:00,1691034300,1740.00,1756.90,1735.15,1750.45,1747.82,26622,0,27172,0
404,BERGER PAINTS (I) LTD,BERGEPAINT,BERGEPAINT-EQ,Ok,03-08-2023 09:15:00,1691034300,722.45,722.45,712.00,715.55,715.37,362360,0,369999,0
212,ASHOK LEYLAND LTD,ASHOKLEY,ASHOKLEY-EQ,Ok,03-08-2023 09:15:00,1691034300,180.50,182.20,180.05,181.40,181.29,604719,0,619801,0
