ordtime,sym,tsym,token,instrument,lotsize,qty,avgprice,totalprice,netprice,trantype
2023-08-04 09:31:00,CIPLA,CIPLA-EQ,694,Eq,1,40,1232.5,49300.0,-49300.0,B
2023-08-04 09:31:00,NAUKRI,NAUKRI-EQ,13751,Eq,1,10,4741.55,47415.5,-47415.5,B
2023-08-04 09:31:00,LICHSGFIN,LICHSGFIN-EQ,1997,Eq,1,120,415.45,49854.0,-49854.0,B
2023-08-04 09:31:00,DABUR,DABUR-EQ,772,Eq,1,85,585.1,49733.5,-49733.5,B
2023-08-04 09:31:00,DIXON,DIXON-EQ,21690,Eq,1,10,4587.3,45873.0,-45873.0,B
2023-08-04 09:31:00,IBULHSGFIN,IBULHSGFIN-EQ,30125,Eq,1,309,161.6,49934.4,49934.4,S
2023-08-04 09:31:00,ABCAPITAL,ABCAPITAL-EQ,21614,Eq,1,261,191.25,49916.25,49916.25,S
2023-08-04 09:31:00,MGL,MGL-EQ,17534,Eq,1,44,1120.4,49297.600000000006,49297.600000000006,S
2023-08-04 09:31:00,METROPOLIS,METROPOLIS-EQ,9581,Eq,1,35,1395.0,48825.0,48825.0,S
2023-08-04 09:31:00,HINDPETRO,HINDPETRO-EQ,1406,Eq,1,184,270.35,49744.4,49744.4,S
2023-08-04 09:40:00,CIPLA,CIPLA-EQ,694,Eq,1,40,1227.0,49080.0,49080.0,S
2023-08-04 09:40:00,NAUKRI,NAUKRI-EQ,13751,Eq,1,10,4742.05,47420.5,47420.5,S
2023-08-04 09:40:00,LICHSGFIN,LICHSGFIN-EQ,1997,Eq,1,120,419.5,50340.0,50340.0,S
2023-08-04 09:40:00,DABUR,DABUR-EQ,772,Eq,1,85,577.1,49053.5,49053.5,S
2023-08-04 09:40:00,DIXON,DIXON-EQ,21690,Eq,1,10,4652.25,46522.5,46522.5,S
2023-08-04 15:26:00,IBULHSGFIN,IBULHSGFIN-EQ,30125,Eq,1,309,166.5,51448.5,-51448.5,B
2023-08-04 15:26:00,ABCAPITAL,ABCAPITAL-EQ,21614,Eq,1,261,188.6,49224.6,-49224.6,B
2023-08-04 15:26:00,MGL,MGL-EQ,17534,Eq,1,44,1055.3,46433.2,-46433.2,B
2023-08-04 15:26:00,METROPOLIS,METROPOLIS-EQ,9581,Eq,1,35,1359.95,47598.25,-47598.25,B
2023-08-04 15:26:00,HINDPETRO,HINDPETRO-EQ,1406,Eq,1,184,266.8,49091.2,-49091.2,B
2023-08-04 12:15:00,CIPLA,CIPLA31AUG23C1210,106407,OPTSTK,650,1300,33.25,43225.0,-43225.0,B
2023-08-04 12:15:00,NAUKRI,NAUKRI31AUG23C4800,136767,OPTSTK,150,150,200.85,30127.5,-30127.5,B
2023-08-04 12:15:00,LICHSGFIN,LICHSGFIN31AUG23C430,133475,OPTSTK,2000,2000,15.5,31000.0,-31000.0,B
2023-08-04 12:15:00,DIXON,DIXON31AUG23C4600,112874,OPTSTK,200,200,183.35,36670.0,-36670.0,B
2023-08-04 12:15:00,IBULHSGFIN,IBULHSGFIN31AUG23P165,38455,OPTSTK,5100,5100,9.0,45900.0,-45900.0,B
2023-08-04 12:15:00,ABCAPITAL,ABCAPITAL31AUG23P187.5,65756,OPTSTK,5400,5400,6.2,33480.0,-33480.0,B
2023-08-04 12:15:00,MGL,MGL31AUG23P1070,135598,OPTSTK,800,800,41.65,33320.0,-33320.0,B
2023-08-04 12:15:00,METROPOLIS,METROPOLIS31AUG23P1360,135362,OPTSTK,400,800,48.05,38440.0,-38440.0,B
2023-08-04 12:15:00,HINDPETRO,HINDPETRO31AUG23P270,128468,OPTSTK,2700,5400,7.6,41040.0,-41040.0,B
2023-08-04 12:16:00,CIPLA,CIPLA31AUG23C1210,106407,OPTSTK,650,1300,33.5,43550.0,43550.0,S
2023-08-04 12:16:00,NAUKRI,NAUKRI31AUG23C4800,136767,OPTSTK,150,150,203.9,30585.0,30585.0,S
2023-08-04 12:16:00,LICHSGFIN,LICHSGFIN31AUG23C430,133475,OPTSTK,2000,2000,16.2,32400.0,32400.0,S
2023-08-04 12:16:00,DIXON,DIXON31AUG23C4600,112874,OPTSTK,200,200,181.6,36320.0,36320.0,S
2023-08-04 13:15:00,LICHSGFIN,LICHSGFIN31AUG23C430,133475,OPTSTK,2000,2000,15.75,31500.0,-31500.0,B
2023-08-04 13:15:00,MGL,MGL31AUG23P1070,135598,OPTSTK,800,800,43.1,34480.0,-34480.0,B
2023-08-04 13:15:00,METROPOLIS,METROPOLIS31AUG23P1360,135362,OPTSTK,400,800,45.0,36000.0,-36000.0,B
2023-08-04 13:15:00,LICHSGFIN,LICHSGFIN31AUG23C430,133475,OPTSTK,2000,2000,15.75,31500.0,31500.0,S
2023-08-04 14:15:00,LICHSGFIN,LICHSGFIN31AUG23C430,133475,OPTSTK,2000,2000,15.35,30700.0,-30700.0,B
2023-08-04 14:15:00,MGL,MGL31AUG23P1060,135596,OPTSTK,800,800,41.0,32800.0,-32800.0,B
2023-08-04 14:15:00,METROPOLIS,METROPOLIS31AUG23P1360,135362,OPTSTK,400,800,50.95,40760.0,-40760.0,B
2023-08-04 14:15:00,LICHSGFIN,LICHSGFIN31AUG23C430,133475,OPTSTK,2000,2000,15.35,30700.0,30700.0,S
2023-08-04 15:26:00,IBULHSGFIN,IBULHSGFIN31AUG23P165,38455,OPTSTK,5100,5100,7.8,39780.0,39780.0,S
2023-08-04 15:26:00,ABCAPITAL,ABCAPITAL31AUG23P187.5,65756,OPTSTK,5400,5400,7.0,37800.0,37800.0,S
2023-08-04 15:26:00,MGL,MGL31AUG23P1070,135598,OPTSTK,800,1600,49.7,79520.0,79520.0,S
2023-08-04 15:26:00,MGL,MGL31AUG23P1060,135596,OPTSTK,800,800,43.25,34600.0,34600.0,S
2023-08-04 15:26:00,METROPOLIS,METROPOLIS31AUG23P1360,135362,OPTSTK,400,2400,52.85,126840.0,126840.0,S
2023-08-04 15:26:00,HINDPETRO,HINDPETRO31AUG23P270,128468,OPTSTK,2700,5400,8.65,46710.0,46710.0,S
