token,company,symbol,tsym,stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,change,chperc
10099,GODREJ CONSUMER PRODUCTS,GODREJCP,GODREJCP-EQ,Ok,08-08-2023 09:15:00,1691466300,1037.0,1043.75,1015.6,1016.0,1030.37,410365,0,413138,0,-21.0,-2.0250723240115716
1901,CUMMINS INDIA LTD,CUMMINSIND,CUMMINSIND-EQ,Ok,08-08-2023 09:15:00,1691466300,1761.0,1761.0,1730.35,1732.4,1741.86,73971,0,74717,0,-28.59999999999991,-1.6240772288472407
15083,ADANI PORT & SEZ LTD,ADANIPORTS,ADANIPORTS-EQ,Ok,08-08-2023 09:15:00,1691466300,791.7,791.85,775.7,778.85,783.36,988745,0,998840,0,-12.850000000000023,-1.6230895541240395
3150,SIEMENS LTD,SIEMENS,SIEMENS-EQ,Ok,08-08-2023 09:15:00,1691466300,3845.0,3845.0,3784.0,3786.2,3801.18,34641,0,34947,0,-58.80000000000018,-1.5292587776332947
341,BALRAMPUR CHINI MILLS LTD,BALRAMCHIN,BALRAMCHIN-EQ,Ok,08-08-2023 09:15:00,1691466300,402.4,405.4,395.4,396.65,398.96,372834,0,378058,0,-5.75,-1.4289264413518887
25,ADANI ENTERPRISES LIMITED,ADANIENT,ADANIENT-EQ,Ok,08-08-2023 09:15:00,1691466300,2560.0,2560.0,2523.0,2525.6,2536.23,312270,0,317172,0,-34.40000000000009,-1.3437500000000036
1174,GUJ NAR VAL FER & CHEM L,GNFC,GNFC-EQ,Ok,08-08-2023 09:15:00,1691466300,556.05,556.05,548.8,548.8,552.23,364592,0,372551,0,-7.25,-1.3038395827713336
7,AARTI INDUSTRIES LTD,AARTIIND,AARTIIND-EQ,Ok,08-08-2023 09:15:00,1691466300,476.0,477.0,468.25,470.5,470.62,164676,0,165516,0,-5.5,-1.1554621848739497
10940,DIVI S LABORATORIES LTD,DIVISLAB,DIVISLAB-EQ,Ok,08-08-2023 09:15:00,1691466300,3926.15,3934.6,3880.05,3883.15,3901.25,74819,0,76963,0,-43.0,-1.0952205086407805
335,BALKRISHNA IND. LTD,BALKRISIND,BALKRISIND-EQ,Ok,08-08-2023 09:15:00,1691466300,2371.0,2373.95,2341.55,2345.85,2353.03,46100,0,47055,0,-25.15000000000009,-1.0607338675664315
