company,symbol,tsym,token,stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,change,chperc
AUROBINDO PHARMA LTD,AUROPHARMA,AUROPHARMA-EQ,275,Ok,27-07-2023 09:15:00,1690429500,1113.95,1163.0,1113.0,1152.0,1166.34,2889569,0,2946774,0,38.049999999999955,3.4157727007495806
GUJ NAR VAL FER & CHEM L,GNFC,GNFC-EQ,1174,Ok,27-07-2023 09:15:00,1690429500,1922.6,1974.0,1892.0,1974.0,1999.29,534959,0,553244,0,51.40000000000009,2.673463018828674
SUN PHARMACEUTICAL IND L,SUNPHARMA,SUNPHARMA-EQ,3351,Ok,27-07-2023 09:15:00,1690429500,779.95,806.35,768.0,796.8,797.6,1256852,0,1262270,0,16.84999999999991,2.160394897108777
HERO MOTOCORP LIMITED,HEROMOTOCO,HEROMOTOCO-EQ,1348,Ok,27-07-2023 09:15:00,1690429500,449.95,458.75,449.95,458.55,455.62,969025,0,981780,0,8.600000000000023,1.9113234803867147
POWER GRID CORP. LTD.,POWERGRID,POWERGRID-EQ,14977,Ok,27-07-2023 09:15:00,1690429500,309.25,315.9,308.85,314.45,315.35,586926,0,589354,0,5.199999999999989,1.6814874696847175
RELIANCE INDUSTRIES LTD,RELIANCE,RELIANCE-EQ,2885,Ok,27-07-2023 09:15:00,1690429500,2437.75,2480.7,2400.85,2477.55,3195.98,338857,0,444951,0,39.80000000000018,1.6326530612244972
JINDAL STEEL & POWER LTD,JINDALSTEL,JINDALSTEL-EQ,6733,Ok,27-07-2023 09:15:00,1690429500,4659.05,4734.45,4648.25,4734.45,4752.73,75823,0,76631,0,75.39999999999964,1.61835567336688
GODREJ CONSUMER PRODUCTS,GODREJCP,GODREJCP-EQ,10099,Ok,27-07-2023 09:15:00,1690429500,5144.2,5265.0,5144.2,5222.0,5389.9,41619,0,43118,0,77.80000000000018,1.5123828778041324
DABUR INDIA LTD,DABUR,DABUR-EQ,772,Ok,27-07-2023 09:15:00,1690429500,995.3,1013.95,995.3,1010.3,1018.58,158060,0,159621,0,15.0,1.5070832914699086
ICICI LOMBARD GIC LIMITED,ICICIGI,ICICIGI-EQ,21770,Ok,27-07-2023 09:15:00,1690429500,574.5,582.9,572.05,582.45,579.0,95976,0,96552,0,7.9500000000000455,1.3838120104438723
