ord_number,ordtime,sym,tsym,token,instrument,lotsize,qty,avgprice,totalprice,netprice,trantype,status
7488833,2023-08-01 09:31:00,HINDCOPPER,HINDCOPPER-EQ,17939,Eq,1,334,149.3,49866.200000000004,-49866.200000000004,B,N
1510314,2023-08-01 09:31:00,UBL,UBL-EQ,16713,Eq,1,31,1594.15,49418.65,-49418.65,B,N
6812925,2023-08-01 09:31:00,EXIDEIND,EXIDEIND-EQ,676,Eq,1,195,256.2,49959.0,-49959.0,B,N
6443891,2023-08-01 09:31:00,ASTRAL,ASTRAL-EQ,14418,Eq,1,24,2035.5,48852.0,-48852.0,B,N
4613094,2023-08-01 09:31:00,NATIONALUM,NATIONALUM-EQ,6364,Eq,1,513,97.35,49940.549999999996,-49940.549999999996,B,N
1106982,2023-08-01 09:31:00,POWERGRID,POWERGRID-EQ,14977,Eq,1,195,256.3,49978.5,49978.5,S,N
9511352,2023-08-01 09:31:00,IBULHSGFIN,IBULHSGFIN-EQ,30125,Eq,1,351,142.45,49999.95,49999.95,S,N
9693336,2023-08-01 09:31:00,APOLLOHOSP,APOLLOHOSP-EQ,157,Eq,1,9,5107.5,45967.5,45967.5,S,N
2533850,2023-08-01 09:31:00,GODREJPROP,GODREJPROP-EQ,17875,Eq,1,29,1720.35,49890.149999999994,49890.149999999994,S,N
7136600,2023-08-01 09:31:00,UPL,UPL-EQ,11287,Eq,1,81,613.95,49729.950000000004,49729.950000000004,S,N
6925427,2023-08-01 09:40:00,HINDCOPPER,HINDCOPPER-EQ,17939,Eq,1,334,149.3,49866.200000000004,49866.200000000004,S,N
5674444,2023-08-01 09:40:00,EXIDEIND,EXIDEIND-EQ,676,Eq,1,195,255.8,49881.0,49881.0,S,N
5243398,2023-08-01 09:40:00,ASTRAL,ASTRAL-EQ,14418,Eq,1,24,2033.6,48806.399999999994,48806.399999999994,S,N
9922079,2023-08-01 09:45:00,UBL,UBL-EQ,16713,Eq,1,31,1589.4,49271.4,49271.4,S,N
5902691,2023-08-01 09:45:00,NATIONALUM,NATIONALUM-EQ,6364,Eq,1,513,96.75,49632.75,49632.75,S,N
