token,company,symbol,tsym,stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,change,chperc
1406,HINDUSTAN PETROLEUM CORP,HINDPETRO,HINDPETRO-EQ,Ok,03-08-2023 09:15:00,1691034300,277.0,277.7,269.6,271.9,272.49,1324739,0,1381073,0,-5.100000000000023,-1.841155234657048
20242,OBEROI REALTY LIMITED,OBEROIRLTY,OBEROIRLTY-EQ,Ok,03-08-2023 09:15:00,1691034300,1118.0,1120.25,1091.0,1099.25,1098.22,90220,0,90461,0,-18.75,-1.6771019677996422
11287,UPL LIMITED,UPL,UPL-EQ,Ok,03-08-2023 09:15:00,1691034300,611.15,611.95,601.2,601.8,605.28,1087636,0,1101598,0,-9.350000000000023,-1.5299026425591138
772,DABUR INDIA LTD,DABUR,DABUR-EQ,Ok,03-08-2023 09:15:00,1691034300,556.5,556.5,546.0,549.8,549.79,657272,0,677416,0,-6.7000000000000455,-1.2039532794249856
685,CHOLAMANDALAM IN & FIN CO,CHOLAFIN,CHOLAFIN-EQ,Ok,03-08-2023 09:15:00,1691034300,1099.9,1106.2,1085.1,1087.0,1093.85,204853,0,206686,0,-12.900000000000091,-1.172833893990371
11195,INTERGLOBE AVIATION LTD,INDIGO,INDIGO-EQ,Ok,03-08-2023 09:15:00,1691034300,2549.3,2554.9,2462.0,2519.7,2501.28,901749,0,963885,0,-29.600000000000364,-1.1611030478955149
11532,ULTRATECH CEMENT LIMITED,ULTRACEMCO,ULTRACEMCO-EQ,Ok,03-08-2023 09:15:00,1691034300,8285.0,8285.0,8083.0,8188.95,8149.64,48469,0,48686,0,-96.05000000000018,-1.159324079662042
3063,VEDANTA LIMITED,VEDL,VEDL-EQ,Ok,03-08-2023 09:15:00,1691034300,260.2,261.0,256.45,257.65,258.56,171584361,0,171958975,0,-2.5500000000000114,-0.9800153727901658
404,BERGER PAINTS (I) LTD,BERGEPAINT,BERGEPAINT-EQ,Ok,03-08-2023 09:15:00,1691034300,722.45,722.45,712.0,715.55,715.37,362360,0,369999,0,-6.900000000000091,-0.9550833967748757
16713,UNITED BREWERIES LTD,UBL,UBL-EQ,Ok,03-08-2023 09:15:00,1691034300,1557.1,1558.65,1544.55,1546.65,1551.41,33294,0,33478,0,-10.449999999999818,-0.6711193886070143
