company,symbol,tsym,token,stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
APOLLO TYRES LTD,APOLLOTYRE,APOLLOTYRE-EQ,163,Ok,28-07-2023 09:15:00,1690515900,460.50,462.40,459.10,460.35,460.80,74580,0,75255,0
ASTRAL LIMITED,ASTRAL,ASTRAL-EQ,14418,Ok,28-07-2023 09:15:00,1690515900,1915.00,1918.90,1908.30,1916.75,1913.76,19396,0,19536,0
ADITYA BIRLA FASHION & RT,ABFRL,ABFRL-EQ,30108,Ok,28-07-2023 09:15:00,1690515900,217.70,219.85,217.10,217.50,218.66,363442,0,366999,0
ALKEM LABORATORIES LTD.,ALKEM,ALKEM-EQ,11703,Ok,28-07-2023 09:15:00,1690515900,129.35,131.65,129.35,130.25,130.63,9816755,0,10260940,0
AARTI INDUSTRIES LTD,AARTIIND,AARTIIND-EQ,7,Ok,28-07-2023 09:15:00,1690515900,420.30,420.80,417.40,420.45,419.32,96466,0,97314,0
ABB INDIA LIMITED,ABB,ABB-EQ,13,Ok,28-07-2023 09:15:00,1690515900,7311.00,7335.00,7253.00,7253.90,7296.18,143724,0,146376,0
BHARAT ELECTRONICS LTD,BEL,BEL-EQ,383,Ok,28-07-2023 09:15:00,1690515900,4005.15,4029.90,3999.85,4021.10,4018.43,10889,0,11141,0
AU SMALL FINANCE BANK LTD,AUBANK,AUBANK-EQ,21238,Ok,28-07-2023 09:15:00,1690515900,969.20,969.20,942.30,945.55,949.66,1427496,0,1448716,0
AXIS BANK LIMITED,AXISBANK,AXISBANK-EQ,5900,Ok,28-07-2023 09:15:00,1690515900,731.80,731.80,726.30,728.60,728.07,91935,0,92334,0
BAJAJ FINANCE LIMITED,BAJFINANCE,BAJFINANCE-EQ,317,Ok,28-07-2023 09:15:00,1690515900,4425.00,4461.80,4412.30,4454.60,4441.06,26895,0,27351,0
BALKRISHNA IND. LTD,BALKRISIND,BALKRISIND-EQ,335,Ok,28-07-2023 09:15:00,1690515900,2474.50,2477.05,2448.90,2464.15,2458.44,10250,0,10361,0
BATA INDIA LTD,BATAINDIA,BATAINDIA-EQ,371,Ok,28-07-2023 09:15:00,1690515900,1705.00,1715.00,1702.20,1704.10,1707.44,13524,0,13890,0
BERGER PAINTS (I) LTD,BERGEPAINT,BERGEPAINT-EQ,404,Ok,28-07-2023 09:15:00,1690515900,23750.05,23800.00,23622.00,23713.10,23717.14,1173,0,1194,0
ASHOK LEYLAND LTD,ASHOKLEY,ASHOKLEY-EQ,212,Ok,28-07-2023 09:15:00,1690515900,191.85,194.25,191.55,193.00,193.34,562636,0,568844,0
ABBOTT INDIA LIMITED,ABBOTINDIA,ABBOTINDIA-EQ,17903,Ok,28-07-2023 09:15:00,1690515900,749.55,749.90,743.80,744.80,745.92,189423,0,192255,0
ADITYA BIRLA CAPITAL LTD.,ABCAPITAL,ABCAPITAL-EQ,21614,Ok,28-07-2023 09:15:00,1690515900,181.95,181.95,180.55,180.70,181.08,661723,0,676603,0
COFORGE LIMITED,COFORGE,COFORGE-EQ,11543,Ok,28-07-2023 09:15:00,1690515900,672.20,677.00,668.30,672.20,672.22,85850,0,86313,0
CUMMINS INDIA LTD,CUMMINSIND,CUMMINSIND-EQ,1901,Ok,28-07-2023 09:15:00,1690515900,1925.00,1932.55,1909.10,1931.00,1924.34,34679,0,34989,0
ASIAN PAINTS LIMITED,ASIANPAINT,ASIANPAINT-EQ,236,Ok,28-07-2023 09:15:00,1690515900,4851.00,4863.90,4829.65,4850.70,4847.82,19720,0,19816,0
ADANI ENTERPRISES LIMITED,ADANIENT,ADANIENT-EQ,25,Ok,28-07-2023 09:15:00,1690515900,3768.90,3768.90,3744.45,3752.20,3758.71,52226,0,53902,0
ADANI PORT & SEZ LTD,ADANIPORTS,ADANIPORTS-EQ,15083,Ok,28-07-2023 09:15:00,1690515900,1818.00,1821.45,1810.00,1819.95,1816.66,34732,0,35160,0
BAJAJ AUTO LIMITED,BAJAJ-AUTO,BAJAJ-AUTO-EQ,16669,Ok,28-07-2023 09:15:00,1690515900,1042.90,1042.90,1031.10,1032.15,1035.38,85239,0,96472,0
DIVI S LABORATORIES LTD,DIVISLAB,DIVISLAB-EQ,10940,Ok,28-07-2023 09:15:00,1690515900,4690.70,4715.75,4669.25,4675.80,4682.56,12955,0,13229,0
AMBUJA CEMENTS LTD,AMBUJACEM,AMBUJACEM-EQ,1270,Ok,28-07-2023 09:15:00,1690515900,3346.40,3348.95,3329.65,3343.85,3339.39,22262,0,22904,0
DIXON TECHNO (INDIA) LTD,DIXON,DIXON-EQ,21690,Ok,28-07-2023 09:15:00,1690515900,3376.00,3386.10,3366.90,3383.50,3378.06,33195,0,34285,0
APOLLO HOSPITALS ENTER. L,APOLLOHOSP,APOLLOHOSP-EQ,157,Ok,28-07-2023 09:15:00,1690515900,470.85,475.00,470.10,472.45,473.28,85618,0,86668,0
EICHER MOTORS LTD,EICHERMOT,EICHERMOT-EQ,910,Ok,28-07-2023 09:15:00,1690515900,2438.00,2452.70,2431.10,2437.15,2441.98,209624,0,211927,0
GODREJ CONSUMER PRODUCTS,GODREJCP,GODREJCP-EQ,10099,Ok,28-07-2023 09:15:00,1690515900,4064.95,4075.85,4017.50,4032.45,4036.27,25261,0,25466,0
GRASIM INDUSTRIES LTD,GRASIM,GRASIM-EQ,1232,Ok,28-07-2023 09:15:00,1690515900,454.45,455.25,448.35,449.50,452.25,564329,0,589731,0
GUJARAT GAS LIMITED,GUJGASLTD,GUJGASLTD-EQ,10599,Ok,28-07-2023 09:15:00,1690515900,5194.00,5245.00,5180.05,5212.55,5228.05,39901,0,41234,0
ATUL LTD,ATUL,ATUL-EQ,263,Ok,28-07-2023 09:15:00,1690515900,6549.95,6563.95,6508.00,6520.00,6525.96,3551,0,3687,0
HCL TECHNOLOGIES LTD,HCLTECH,HCLTECH-EQ,7229,Ok,28-07-2023 09:15:00,1690515900,395.25,397.20,391.35,392.10,394.25,114892,0,115536,0
HDFC LIFE INS CO LTD,HDFCLIFE,HDFCLIFE-EQ,467,Ok,28-07-2023 09:15:00,1690515900,114.25,114.60,113.60,114.20,114.06,1022689,0,1039204,0
BALRAMPUR CHINI MILLS LTD,BALRAMCHIN,BALRAMCHIN-EQ,341,Ok,28-07-2023 09:15:00,1690515900,662.75,664.25,658.50,658.80,661.16,171000,0,173065,0
BANDHAN BANK LIMITED,BANDHANBNK,BANDHANBNK-EQ,2263,Ok,28-07-2023 09:15:00,1690515900,18900.00,18949.60,18841.30,18945.45,18910.70,1148,0,1205,0
BHARAT FORGE LTD,BHARATFORG,BHARATFORG-EQ,422,Ok,28-07-2023 09:15:00,1690515900,899.00,899.00,892.00,898.65,895.53,231823,0,236637,0
IDFC LIMITED,IDFC,IDFC-EQ,11957,Ok,28-07-2023 09:15:00,1690515900,4900.00,4959.40,4887.60,4941.85,4927.65,62267,0,62790,0
BHARTI AIRTEL LIMITED,BHARTIARTL,BHARTIARTL-EQ,10604,Ok,28-07-2023 09:15:00,1690515900,103.85,104.00,102.20,102.30,102.98,2867110,0,2988802,0
BHEL,BHEL,BHEL-EQ,438,Ok,28-07-2023 09:15:00,1690515900,379.70,379.70,373.30,375.50,375.21,433956,0,443476,0
BOSCH LIMITED,BOSCHLTD,BOSCHLTD-EQ,2181,Ok,28-07-2023 09:15:00,1690515900,918.75,918.75,901.00,901.20,907.59,1006684,0,1041333,0
BHARAT PETROLEUM CORP  LT,BPCL,BPCL-EQ,526,Ok,28-07-2023 09:15:00,1690515900,1115.50,1118.45,1108.60,1113.95,1111.79,124357,0,128125,0
BRITANNIA INDUSTRIES LTD,BRITANNIA,BRITANNIA-EQ,547,Ok,28-07-2023 09:15:00,1690515900,217.70,218.20,216.55,218.00,217.33,820729,0,825990,0
BIRLASOFT LIMITED,BSOFT,BSOFT-EQ,6994,Ok,28-07-2023 09:15:00,1690515900,405.25,413.00,400.30,412.70,406.17,1044917,0,1064948,0
IDFC FIRST BANK LIMITED,IDFCFIRSTB,IDFCFIRSTB-EQ,11184,Ok,28-07-2023 09:15:00,1690515900,82.95,83.90,82.55,83.20,83.25,4326161,0,4422278,0
CAN FIN HOMES LTD,CANFINHOME,CANFINHOME-EQ,583,Ok,28-07-2023 09:15:00,1690515900,381.65,388.35,378.70,388.30,383.11,1997218,0,2097618,0
THE INDIAN HOTELS CO. LTD,INDHOTEL,INDHOTEL-EQ,1512,Ok,28-07-2023 09:15:00,1690515900,750.00,751.00,736.20,737.20,743.74,329481,0,332653,0
CHOLAMANDALAM IN & FIN CO,CHOLAFIN,CHOLAFIN-EQ,685,Ok,28-07-2023 09:15:00,1690515900,1138.10,1147.00,1134.35,1139.30,1142.01,123444,0,124907,0
COLGATE PALMOLIVE LTD.,COLPAL,COLPAL-EQ,15141,Ok,28-07-2023 09:15:00,1690515900,197.40,204.40,197.40,203.40,202.06,4301549,0,4329748,0
COROMANDEL INTERNTL. LTD,COROMANDEL,COROMANDEL-EQ,739,Ok,28-07-2023 09:15:00,1690515900,2560.00,2578.00,2535.60,2570.75,2562.99,49386,0,49899,0
CROMPT GREA CON ELEC LTD,CROMPTON,CROMPTON-EQ,17094,Ok,28-07-2023 09:15:00,1690515900,1356.45,1363.70,1355.10,1357.40,1358.22,789413,0,803556,0
DABUR INDIA LTD,DABUR,DABUR-EQ,772,Ok,28-07-2023 09:15:00,1690515900,290.00,291.00,289.75,290.65,290.46,39137,0,40049,0
DALMIA BHARAT LIMITED,DALBHARAT,DALBHARAT-EQ,8075,Ok,28-07-2023 09:15:00,1690515900,572.95,574.80,570.00,574.05,572.91,200963,0,202285,0
INTERGLOBE AVIATION LTD,INDIGO,INDIGO-EQ,11195,Ok,28-07-2023 09:15:00,1690515900,507.80,508.80,504.95,508.40,507.46,835044,0,845143,0
DEEPAK NITRITE LTD,DEEPAKNTR,DEEPAKNTR-EQ,19943,Ok,28-07-2023 09:15:00,1690515900,1000.10,1006.50,995.10,995.10,1002.13,71173,0,72521,0
DELTA CORP LIMITED,DELTACORP,DELTACORP-EQ,15044,Ok,28-07-2023 09:15:00,1690515900,1983.95,1984.35,1970.30,1972.85,1977.36,27201,0,27743,0
BANK OF BARODA,BANKBARODA,BANKBARODA-EQ,4668,Ok,28-07-2023 09:15:00,1690515900,2010.05,2062.10,1992.50,2042.40,2034.79,436242,0,438013,0
DLF LIMITED,DLF,DLF-EQ,14732,Ok,28-07-2023 09:15:00,1690515900,1949.75,1953.00,1940.00,1947.35,1947.60,11551,0,11609,0
INFOSYS LIMITED,INFY,INFY-EQ,1594,Ok,28-07-2023 09:15:00,1690515900,198.65,199.35,197.50,198.70,198.32,1515099,0,1546181,0
DR. REDDY S LABORATORIES,DRREDDY,DRREDDY-EQ,881,Ok,28-07-2023 09:15:00,1690515900,2462.20,2509.35,2450.00,2505.30,2491.24,95924,0,96039,0
