ord_number,ordtime,sym,tsym,token,instrument,lotsize,qty,avgprice,totalprice,tranType,status
5046802,2023-07-28 09:31:00,DELTACORP,DELTACORP-EQ,15044,Eq,1,493,202.5,99832.5,B,N
8921280,2023-07-28 09:31:00,RBLBANK,RBLBANK-EQ,18391,Eq,1,418,239.0,99902.0,B,N
5593582,2023-07-28 09:31:00,IEX,IEX-EQ,220,Eq,1,814,122.8,99959.2,B,N
5090406,2023-07-28 09:31:00,SUNTV,SUNTV-EQ,13404,Eq,1,183,545.8,99881.4,B,N
6336390,2023-07-28 09:31:00,BSOFT,BSOFT-EQ,6994,Eq,1,240,416.05,99852.0,B,N
4545606,2023-07-28 09:31:00,MOTHERSON,MOTHERSON-EQ,4204,Eq,1,1023,97.7,99947.1,S,N
8753115,2023-07-28 09:31:00,AXISBANK,AXISBANK-EQ,5900,Eq,1,105,946.85,99419.25,S,N
1007601,2023-07-28 09:31:00,LALPATHLAB,LALPATHLAB-EQ,11654,Eq,1,41,2430.65,99656.65000000001,S,N
9399976,2023-07-28 09:31:00,HINDPETRO,HINDPETRO-EQ,1406,Eq,1,351,284.65,99912.15,S,N
8375543,2023-07-28 09:31:00,MGL,MGL-EQ,17534,Eq,1,91,1090.0,99190.0,S,N
9497343,2023-07-28 09:40:00,DELTACORP,DELTACORP-EQ,15044,Eq,1,493,199.75,98476.75,S,N
2740114,2023-07-28 09:40:00,RBLBANK,RBLBANK-EQ,18391,Eq,1,418,239.4,100069.2,S,N
2603142,2023-07-28 09:40:00,SUNTV,SUNTV-EQ,13404,Eq,1,183,544.95,99725.85,S,N
6664201,2023-07-28 09:45:00,IEX,IEX-EQ,220,Eq,1,814,124.0,100936.0,S,N
4169409,2023-07-28 09:50:00,BSOFT,BSOFT-EQ,6994,Eq,1,240,422.2,101328.0,S,N
4104713,2023-07-28 15:26:00,MOTHERSON,MOTHERSON-EQ,4204,Eq,1,1023,97.55,99793.65,B,N
7740649,2023-07-28 15:26:00,AXISBANK,AXISBANK-EQ,5900,Eq,1,105,949.7,99718.5,B,N
3866106,2023-07-28 15:26:00,LALPATHLAB,LALPATHLAB-EQ,11654,Eq,1,41,2335.9,95771.90000000001,B,N
8040338,2023-07-28 15:26:00,HINDPETRO,HINDPETRO-EQ,1406,Eq,1,351,279.45,98086.95,B,N
7457236,2023-07-28 15:26:00,MGL,MGL-EQ,17534,Eq,1,91,1107.3,100764.3,B,N
1545267,2023-07-28 12:15:00,RBLBANK,RBLBANK31AUG23C237.5,172745,OPTSTK,5000,5000,12.9,64500.0,B,N
4095963,2023-07-28 12:15:00,IEX,IEX31AUG23C123,148604,OPTSTK,3750,15000,6.05,90750.0,B,N
7432544,2023-07-28 12:15:00,BSOFT,BSOFT31AUG23C415,102351,OPTSTK,2000,4000,21.2,84800.0,B,N
6054208,2023-07-28 12:15:00,MOTHERSON,MOTHERSON31AUG23P98,135856,OPTSTK,7100,21300,3.95,84135.0,B,N
9720759,2023-07-28 12:15:00,AXISBANK,AXISBANK31AUG23P950,88571,OPTSTK,625,5000,19.95,99750.0,B,N
6240732,2023-07-28 12:15:00,LALPATHLAB,LALPATHLAB31AUG23P2380,133222,OPTSTK,300,600,118.1,70860.0,B,N
7187529,2023-07-28 12:16:00,RBLBANK,RBLBANK31AUG23C237.5,172745,OPTSTK,5000,5000,12.9,64500.0,S,N
6417227,2023-07-28 12:16:00,IEX,IEX31AUG23C123,148604,OPTSTK,3750,15000,6.05,90750.0,S,N
1929602,2023-07-28 12:16:00,BSOFT,BSOFT31AUG23C415,102351,OPTSTK,2000,4000,21.2,84800.0,S,N
3911736,2023-07-28 13:15:00,LALPATHLAB,LALPATHLAB31AUG23P2380,133222,OPTSTK,300,600,125.95,75570.0,B,N
9960725,2023-07-28 13:15:00,HINDPETRO,HINDPETRO31AUG23P280,128476,OPTSTK,2700,10800,9.0,97200.0,B,N
4837832,2023-07-28 14:15:00,MOTHERSON,MOTHERSON31AUG23P97,135854,OPTSTK,7100,21300,4.1,87329.99999999999,B,N
6569029,2023-07-28 14:15:00,LALPATHLAB,LALPATHLAB31AUG23P2380,133222,OPTSTK,300,600,132.65,79590.0,B,N
2042403,2023-07-28 14:15:00,HINDPETRO,HINDPETRO31AUG23P280,128476,OPTSTK,2700,10800,9.25,99900.0,B,N
1253377,2023-07-28 15:26:00,MOTHERSON,MOTHERSON31AUG23P98,135856,OPTSTK,7100,21300,4.3,91590.0,S,N
2705633,2023-07-28 15:26:00,MOTHERSON,MOTHERSON31AUG23P97,135854,OPTSTK,7100,21300,3.75,79875.0,S,N
9000856,2023-07-28 15:26:00,AXISBANK,AXISBANK31AUG23P950,88571,OPTSTK,625,5000,19.3,96500.0,S,N
8179632,2023-07-28 15:26:00,LALPATHLAB,LALPATHLAB31AUG23P2380,133222,OPTSTK,300,1800,127.0,228600.0,S,N
7459487,2023-07-28 15:26:00,HINDPETRO,HINDPETRO31AUG23P280,128476,OPTSTK,2700,21600,9.65,208440.0,S,N
