company,symbol,tsym,token,stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,change,chperc
PIRAMAL ENTERPRISES LTD,PEL,PEL-EQ,2412,Ok,28-07-2023 09:15:00,1690515900,100.8,100.8,97.35,97.75,98.31,2885438,0,2903171,0,-3.049999999999997,-3.025793650793648
AU SMALL FINANCE BANK LTD,AUBANK,AUBANK-EQ,21238,Ok,28-07-2023 09:15:00,1690515900,969.2,969.2,942.3,945.55,949.66,1427496,0,1448716,0,-23.65000000000009,-2.4401568303755767
DR. LAL PATH LABS LTD.,LALPATHLAB,LALPATHLAB-EQ,11654,Ok,28-07-2023 09:15:00,1690515900,2491.75,2491.8,2369.35,2431.65,2413.0,138251,0,139318,0,-60.09999999999991,-2.4119594662385837
INDIABULLS HSG FIN LTD,IBULHSGFIN,IBULHSGFIN-EQ,30125,Ok,28-07-2023 09:15:00,1690515900,292.0,292.0,284.45,285.3,285.88,1478908,0,1480664,0,-6.699999999999989,-2.2945205479452015
POLYCAB INDIA LIMITED,POLYCAB,POLYCAB-EQ,9590,Ok,28-07-2023 09:15:00,1690515900,1111.7,1122.0,1089.0,1089.1,1106.97,187723,0,194749,0,-22.600000000000136,-2.0329225510479567
METROPOLIS HEALTHCARE LTD,METROPOLIS,METROPOLIS-EQ,9581,Ok,28-07-2023 09:15:00,1690515900,1629.4,1629.4,1586.2,1597.1,1603.01,325945,0,329817,0,-32.30000000000018,-1.9823247821284018
BOSCH LIMITED,BOSCHLTD,BOSCHLTD-EQ,2181,Ok,28-07-2023 09:15:00,1690515900,918.75,918.75,901.0,901.2,907.59,1006684,0,1041333,0,-17.549999999999955,-1.9102040816326482
MUTHOOT FINANCE LIMITED,MUTHOOTFIN,MUTHOOTFIN-EQ,23650,Ok,28-07-2023 09:15:00,1690515900,1415.0,1415.95,1381.5,1388.25,1392.43,59338,0,59638,0,-26.75,-1.8904593639575973
THE INDIAN HOTELS CO. LTD,INDHOTEL,INDHOTEL-EQ,1512,Ok,28-07-2023 09:15:00,1690515900,750.0,751.0,736.2,737.2,743.74,329481,0,332653,0,-12.799999999999955,-1.7066666666666606
SAMVRDHNA MTHRSN INTL LTD,MOTHERSON,MOTHERSON-EQ,4204,Ok,28-07-2023 09:15:00,1690515900,1104.4,1111.8,1083.4,1085.75,1096.66,715796,0,726288,0,-18.65000000000009,-1.688699746468679
