token,company,symbol,tsym,stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,change,chperc
17939,HINDUSTAN COPPER LTD,HINDCOPPER,HINDCOPPER-EQ,Ok,01-08-2023 09:15:00,1690861500,143.4,149.7,142.45,149.0,147.15,14069626,0,14069626,0,5.599999999999994,3.9051603905160346
16713,UNITED BREWERIES LTD,UBL,UBL-EQ,Ok,01-08-2023 09:15:00,1690861500,1549.65,1597.95,1542.55,1597.0,1578.85,192646,0,192646,0,47.34999999999991,3.055528667763683
676,EXIDE INDUSTRIES LTD,EXIDEIND,EXIDEIND-EQ,Ok,01-08-2023 09:15:00,1690861500,250.9,255.95,250.0,255.75,252.77,568531,0,568531,0,4.849999999999994,1.9330410522120343
14418,ASTRAL LIMITED,ASTRAL,ASTRAL-EQ,Ok,01-08-2023 09:15:00,1690861500,1990.85,2027.8,1986.5,2027.45,2004.09,281124,0,281124,0,36.600000000000136,1.8384107290855736
6364,NATIONAL ALUMINIUM CO LTD,NATIONALUM,NATIONALUM-EQ,Ok,01-08-2023 09:15:00,1690861500,95.8,97.4,95.6,97.1,96.74,2053324,0,2053324,0,1.2999999999999972,1.3569937369519804
1512,THE INDIAN HOTELS CO. LTD,INDHOTEL,INDHOTEL-EQ,Ok,01-08-2023 09:15:00,1690861500,394.95,401.9,394.4,400.3,398.89,460241,0,460241,0,5.350000000000023,1.354601848335238
11184,IDFC FIRST BANK LIMITED,IDFCFIRSTB,IDFCFIRSTB-EQ,Ok,01-08-2023 09:15:00,1690861500,87.8,89.15,87.6,88.95,88.45,9323081,0,9323081,0,1.1500000000000057,1.309794988610485
10243,SYNGENE INTERNATIONAL LTD,SYNGENE,SYNGENE-EQ,Ok,01-08-2023 09:15:00,1690861500,794.95,805.3,792.1,805.25,799.47,71929,0,71929,0,10.299999999999955,1.2956789735203413
438,BHEL,BHEL,BHEL-EQ,Ok,01-08-2023 09:15:00,1690861500,104.65,106.2,104.5,106.0,105.46,3504343,0,3504343,0,1.3499999999999943,1.2900143334925889
1633,IPCA LABORATORIES LTD,IPCALAB,IPCALAB-EQ,Ok,01-08-2023 09:15:00,1690861500,878.0,889.75,875.1,888.65,882.71,55692,0,55692,0,10.649999999999977,1.2129840546697013
