ord_number,ordtime,exchange,sym,tsym,token,instrument,lotsize,qty,avgprice,margin,totalprice,netprice,trantype,status
6187037,2023-08-01 12:15:00,NFO,HINDCOPPER,HINDCOPPER31AUG23C152,45990,OPTSTK,5300,10600,7.15,75790.0,75790.0,-75790.0,B,N
3849076,2023-08-01 12:15:00,NFO,UBL,UBL31AUG23C1590,177763,OPTSTK,400,1600,53.35,85360.0,85360.0,-85360.0,B,N
5154819,2023-08-01 12:15:00,NFO,EXIDEIND,EXIDEIND31AUG23C265,113920,OPTSTK,3600,7200,9.6,69120.0,69120.0,-69120.0,B,N
4420465,2023-08-01 12:15:00,NFO,POWERGRID,POWERGRID31AUG23P252.5,140342,OPTSTK,2700,16200,5.85,94770.0,94770.0,-94770.0,B,N
1359384,2023-08-01 12:15:00,NFO,IBULHSGFIN,IBULHSGFIN31AUG23P140,128839,OPTSTK,5100,20400,4.3,87720.0,87720.0,-87720.0,B,N
7371828,2023-08-01 12:15:00,NFO,APOLLOHOSP,APOLLOHOSP31AUG23P5050,76486,OPTSTK,125,500,190.0,95000.0,95000.0,-95000.0,B,N
4059726,2023-08-01 12:15:00,NFO,GODREJPROP,GODREJPROP31AUG23P1700,116907,OPTSTK,475,1425,64.3,91627.5,91627.5,-91627.5,B,N
5870759,2023-08-01 12:16:00,NFO,HINDCOPPER,HINDCOPPER31AUG23C152,45990,OPTSTK,5300,10600,7.1,75790.0,75260.0,75260.0,S,N
2529547,2023-08-01 12:16:00,NFO,UBL,UBL31AUG23C1590,177763,OPTSTK,400,1600,54.1,85360.0,86560.0,86560.0,S,N
4243220,2023-08-01 12:16:00,NFO,EXIDEIND,EXIDEIND31AUG23C265,113920,OPTSTK,3600,7200,9.55,69120.0,68760.0,68760.0,S,N
7256036,2023-08-01 12:39:00,NFO,GODREJPROP,GODREJPROP31AUG23P1700,116907,OPTSTK,475,1425,67.65,91627.5,96401.25000000001,96401.25000000001,S,N
8438629,2023-08-01 12:56:00,NFO,POWERGRID,POWERGRID31AUG23P252.5,140342,OPTSTK,2700,16200,6.65,94770.0,107730.0,107730.0,S,N
1188602,2023-08-01 13:15:00,NFO,EXIDEIND,EXIDEIND31AUG23C262.5,113918,OPTSTK,3600,7200,9.5,68400.0,68400.0,-68400.0,B,N
4707880,2023-08-01 13:15:00,NFO,POWERGRID,POWERGRID31AUG23P250,140340,OPTSTK,2700,16200,5.6,90720.0,90720.0,-90720.0,B,N
1395228,2023-08-01 13:15:00,NFO,IBULHSGFIN,IBULHSGFIN31AUG23P140,128839,OPTSTK,5100,20400,4.3,87720.0,87720.0,-87720.0,B,N
5636462,2023-08-01 13:15:00,NFO,APOLLOHOSP,APOLLOHOSP31AUG23P5050,76486,OPTSTK,125,500,185.75,92875.0,92875.0,-92875.0,B,N
4831355,2023-08-01 13:15:00,NFO,GODREJPROP,GODREJPROP31AUG23P1700,116907,OPTSTK,475,1425,64.9,92482.50000000001,92482.50000000001,-92482.50000000001,B,N
2889657,2023-08-01 13:16:00,NFO,EXIDEIND,EXIDEIND31AUG23C262.5,113918,OPTSTK,3600,7200,9.5,68400.0,68400.0,68400.0,S,N
3644379,2023-08-01 14:15:00,NFO,EXIDEIND,EXIDEIND31AUG23C265,113920,OPTSTK,3600,7200,9.3,66960.0,66960.0,-66960.0,B,N
1706318,2023-08-01 14:16:00,NFO,EXIDEIND,EXIDEIND31AUG23C265,113920,OPTSTK,3600,7200,9.05,66960.0,65160.00000000001,65160.00000000001,S,N
1315793,2023-08-01 15:26:00,NFO,POWERGRID,POWERGRID31AUG23P250,140340,OPTSTK,2700,16200,4.85,90720.0,78570.0,78570.0,S,N
1147523,2023-08-01 15:26:00,NFO,IBULHSGFIN,IBULHSGFIN31AUG23P140,128839,OPTSTK,5100,40800,4.3,175440.0,175440.0,175440.0,S,N
1659359,2023-08-01 15:26:00,NFO,APOLLOHOSP,APOLLOHOSP31AUG23P5050,76486,OPTSTK,125,1000,191.55,187875.0,191550.0,191550.0,S,N
3394847,2023-08-01 15:26:00,NFO,GODREJPROP,GODREJPROP31AUG23P1700,116907,OPTSTK,475,1425,65.65,92482.50000000001,93551.25000000001,93551.25000000001,S,N
