token,company,symbol,tsym,stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
163,APOLLO TYRES LTD,APOLLOTYRE,APOLLOTYRE-EQ,Ok,02-08-2023 09:15:00,1690947900,425.35,428.60,423.05,426.55,426.31,116192,0,116192,0
14418,ASTRAL LIMITED,ASTRAL,ASTRAL-EQ,Ok,02-08-2023 09:15:00,1690947900,2006.95,2009.40,1966.00,1982.70,1979.78,69442,0,69442,0
30108,ADITYA BIRLA FASHION & RT,ABFRL,ABFRL-EQ,Ok,02-08-2023 09:15:00,1690947900,220.50,220.85,219.40,219.45,220.06,124570,0,124570,0
11703,ALKEM LABORATORIES LTD.,ALKEM,ALKEM-EQ,Ok,02-08-2023 09:15:00,1690947900,3971.05,3973.50,3943.00,3954.65,3960.31,4329,0,4329,0
7,AARTI INDUSTRIES LTD,AARTIIND,AARTIIND-EQ,Ok,02-08-2023 09:15:00,1690947900,479.75,480.90,475.90,476.00,478.22,308085,0,308085,0
13,ABB INDIA LIMITED,ABB,ABB-EQ,Ok,02-08-2023 09:15:00,1690947900,4510.00,4550.00,4481.10,4543.90,4534.82,15765,0,15765,0
383,BHARAT ELECTRONICS LTD,BEL,BEL-EQ,Ok,02-08-2023 09:15:00,1690947900,130.40,130.65,129.25,129.70,129.76,1116874,0,1116874,0
21238,AU SMALL FINANCE BANK LTD,AUBANK,AUBANK-EQ,Ok,02-08-2023 09:15:00,1690947900,722.00,722.00,715.30,717.35,717.48,132597,0,132597,0
5900,AXIS BANK LIMITED,AXISBANK,AXISBANK-EQ,Ok,02-08-2023 09:15:00,1690947900,950.85,958.85,950.85,954.80,956.22,626641,0,626641,0
317,BAJAJ FINANCE LIMITED,BAJFINANCE,BAJFINANCE-EQ,Ok,02-08-2023 09:15:00,1690947900,7279.60,7280.00,7220.05,7230.00,7242.77,85819,0,85819,0
335,BALKRISHNA IND. LTD,BALKRISIND,BALKRISIND-EQ,Ok,02-08-2023 09:15:00,1690947900,2525.00,2528.45,2493.90,2500.85,2501.23,24376,0,24376,0
371,BATA INDIA LTD,BATAINDIA,BATAINDIA-EQ,Ok,02-08-2023 09:15:00,1690947900,1753.60,1754.95,1744.45,1753.55,1750.00,23382,0,23382,0
404,BERGER PAINTS (I) LTD,BERGEPAINT,BERGEPAINT-EQ,Ok,02-08-2023 09:15:00,1690947900,705.65,707.45,698.00,700.55,702.98,372450,0,372450,0
212,ASHOK LEYLAND LTD,ASHOKLEY,ASHOKLEY-EQ,Ok,02-08-2023 09:15:00,1690947900,185.55,186.00,184.50,185.05,185.46,2303553,0,2303553,0
17903,ABBOTT INDIA LIMITED,ABBOTINDIA,ABBOTINDIA-EQ,Ok,02-08-2023 09:15:00,1690947900,24036.40,24036.40,23865.20,23870.05,23930.03,609,0,609,0
21614,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL,ABCAPITAL-EQ,Ok,02-08-2023 09:15:00,1690947900,195.35,195.35,193.20,194.05,194.11,353164,0,353164,0
11543,COFORGE LIMITED,COFORGE,COFORGE-EQ,Ok,02-08-2023 09:15:00,1690947900,4845.45,4845.45,4758.70,4783.00,4797.81,20989,0,20989,0
1901,CUMMINS INDIA LTD,CUMMINSIND,CUMMINSIND-EQ,Ok,02-08-2023 09:15:00,1690947900,1926.80,1926.80,1890.25,1895.00,1900.02,93648,0,93648,0
236,ASIAN PAINTS LIMITED,ASIANPAINT,ASIANPAINT-EQ,Ok,02-08-2023 09:15:00,1690947900,3339.95,3354.40,3332.00,3349.10,3345.24,61838,0,61838,0
25,ADANI ENTERPRISES LIMITED,ADANIENT,ADANIENT-EQ,Ok,02-08-2023 09:15:00,1690947900,2480.85,2501.00,2461.15,2493.50,2486.69,246116,0,246116,0
15083,ADANI PORT & SEZ LTD,ADANIPORTS,ADANIPORTS-EQ,Ok,02-08-2023 09:15:00,1690947900,766.20,771.15,758.85,770.60,766.39,470578,0,470578,0
16669,BAJAJ AUTO LIMITED,BAJAJ-AUTO,BAJAJ-AUTO-EQ,Ok,02-08-2023 09:15:00,1690947900,4919.95,4937.80,4910.75,4916.35,4923.94,22471,0,22471,0
10940,DIVI S LABORATORIES LTD,DIVISLAB,DIVISLAB-EQ,Ok,02-08-2023 09:15:00,1690947900,3636.85,3640.00,3591.00,3598.95,3602.91,73528,0,73528,0
1270,AMBUJA CEMENTS LTD,AMBUJACEM,AMBUJACEM-EQ,Ok,02-08-2023 09:15:00,1690947900,459.95,469.20,453.70,464.70,461.63,1927461,0,1927461,0
21690,DIXON TECHNO (INDIA) LTD,DIXON,DIXON-EQ,Ok,02-08-2023 09:15:00,1690947900,4136.65,4136.90,4105.75,4119.70,4121.03,12400,0,12400,0
157,APOLLO HOSPITALS ENTER. L,APOLLOHOSP,APOLLOHOSP-EQ,Ok,02-08-2023 09:15:00,1690947900,5041.65,5043.70,4990.25,5004.00,5011.78,64575,0,64575,0
910,EICHER MOTORS LTD,EICHERMOT,EICHERMOT-EQ,Ok,02-08-2023 09:15:00,1690947900,3429.00,3429.90,3384.45,3387.25,3409.17,213098,0,213098,0
10099,GODREJ CONSUMER PRODUCTS,GODREJCP,GODREJCP-EQ,Ok,02-08-2023 09:15:00,1690947900,1021.65,1024.95,1016.40,1021.20,1021.94,72175,0,72175,0
1232,GRASIM INDUSTRIES LTD,GRASIM,GRASIM-EQ,Ok,02-08-2023 09:15:00,1690947900,1832.75,1834.60,1825.65,1828.55,1830.10,29361,0,29361,0
10599,GUJARAT GAS LIMITED,GUJGASLTD,GUJGASLTD-EQ,Ok,02-08-2023 09:15:00,1690947900,482.50,482.50,474.50,475.70,477.92,155898,0,155898,0
263,ATUL LTD,ATUL,ATUL-EQ,Ok,02-08-2023 09:15:00,1690947900,7180.00,7209.90,7135.05,7207.65,7170.96,20977,0,20977,0
