token,company,symbol,tsym,stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,change,chperc
6364,NATIONAL ALUMINIUM CO LTD,NATIONALUM,NATIONALUM-EQ,Ok,02-08-2023 09:15:00,1690947900,96.05,96.05,94.0,94.3,94.67,1213673,0,1213673,0,-1.75,-1.8219677251431545
3499,TATA STEEL LIMITED,TATASTEEL,TATASTEEL-EQ,Ok,02-08-2023 09:15:00,1690947900,122.75,122.75,120.3,120.6,121.17,5451000,0,5451000,0,-2.1500000000000057,-1.7515274949083548
1406,HINDUSTAN PETROLEUM CORP,HINDPETRO,HINDPETRO-EQ,Ok,02-08-2023 09:15:00,1690947900,285.6,285.6,280.0,280.75,281.38,684569,0,684569,0,-4.850000000000023,-1.6981792717086912
694,CIPLA LTD,CIPLA,CIPLA-EQ,Ok,02-08-2023 09:15:00,1690947900,1184.8,1184.9,1165.1,1165.15,1174.86,188395,0,188395,0,-19.649999999999864,-1.6585077650236213
1901,CUMMINS INDIA LTD,CUMMINSIND,CUMMINSIND-EQ,Ok,02-08-2023 09:15:00,1690947900,1926.8,1926.8,1890.25,1895.0,1900.02,93648,0,93648,0,-31.799999999999955,-1.6504048162756877
4244,HDFC AMC LIMITED,HDFCAMC,HDFCAMC-EQ,Ok,02-08-2023 09:15:00,1690947900,2540.0,2540.0,2490.0,2500.0,2503.07,83812,0,83812,0,-40.0,-1.574803149606299
11872,GRANULES INDIA LIMITED,GRANULES,GRANULES-EQ,Ok,02-08-2023 09:15:00,1690947900,327.05,327.4,322.1,322.3,323.83,225899,0,225899,0,-4.75,-1.452377312337563
10599,GUJARAT GAS LIMITED,GUJGASLTD,GUJGASLTD-EQ,Ok,02-08-2023 09:15:00,1690947900,482.5,482.5,474.5,475.7,477.92,155898,0,155898,0,-6.800000000000011,-1.4093264248704687
2181,BOSCH LIMITED,BOSCHLTD,BOSCHLTD-EQ,Ok,02-08-2023 09:15:00,1690947900,19000.05,19000.05,18741.0,18741.0,18811.48,4499,0,4499,0,-259.0499999999993,-1.3634174646908785
4749,CONTAINER CORP OF IND LTD,CONCOR,CONCOR-EQ,Ok,02-08-2023 09:15:00,1690947900,695.05,696.8,685.05,685.8,688.52,63343,0,63343,0,-9.25,-1.3308395079490685
