,UNDERLYING,SYMBOL,tsym,token,stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,change,chperc
118,TRENT LTD,TRENT,TRENT-EQ,1964,Ok,25-07-2023 09:15:00,1690256700,4401.0,4401.0,4290.35,4297.8,4317.32,61291,0,61291,0,-103.19999999999982,-2.3449216087252855
177,PVR INOX LIMITED,PVRINOX,PVRINOX-EQ,13147,Ok,25-07-2023 09:15:00,1690256700,466.85,468.4,456.9,458.3,462.51,8974257,0,8974257,0,-8.550000000000011,-1.8314233693905988
120,BIOCON LIMITED.,BIOCON,BIOCON-EQ,11373,Ok,25-07-2023 09:15:00,1690256700,251.65,251.65,247.3,248.0,248.47,442458,0,442458,0,-3.6500000000000057,-1.4504271806079894
13,ASHOK LEYLAND LTD,ASHOKLEY,ASHOKLEY-EQ,212,Ok,25-07-2023 09:15:00,1690256700,185.0,185.15,181.95,182.45,183.26,2561280,0,2561280,0,-2.5500000000000114,-1.3783783783783845
44,CAN FIN HOMES LTD,CANFINHOME,CANFINHOME-EQ,583,Ok,25-07-2023 09:15:00,1690256700,904.9,904.9,891.75,892.5,898.93,372406,0,372406,0,-12.399999999999977,-1.3703171621173584
119,TVS MOTOR COMPANY  LTD,TVSMOTOR,TVSMOTOR-EQ,8479,Ok,25-07-2023 09:15:00,1690256700,1163.95,1164.7,1145.0,1149.0,1154.71,282143,0,282143,0,-14.950000000000045,-1.2844194338244808
157,ULTRATECH CEMENT LIMITED,ULTRACEMCO,ULTRACEMCO-EQ,11532,Ok,25-07-2023 09:15:00,1690256700,634.0,634.9,625.25,626.5,629.77,356183,0,356183,0,-7.5,-1.1829652996845426
172,CANARA BANK,CANBK,CANBK-EQ,10794,Ok,25-07-2023 09:15:00,1690256700,341.85,342.5,336.3,337.9,339.53,1834574,0,1834574,0,-3.9500000000000455,-1.1554775486324542
93,PI INDUSTRIES LTD,PIIND,PIIND-EQ,24184,Ok,25-07-2023 09:15:00,1690256700,4800.0,4808.35,4737.2,4747.35,4759.89,39212,0,39212,0,-52.649999999999636,-1.0968749999999925
174,MAHANAGAR GAS LTD.,MGL,MGL-EQ,17534,Ok,25-07-2023 09:15:00,1690256700,1660.1,1669.85,1639.7,1641.9,1656.96,53580,0,53580,0,-18.199999999999818,-1.096319498825361
