,Exchange,Token,LotSize,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,Unnamed: 10
6714,NFO,173086,250,RELIANCE,RELIANCE27JUL23P3560,27-JUL-2023,OPTSTK,PE,3560.0,0.05,
6715,NFO,173085,250,RELIANCE,RELIANCE27JUL23C3560,27-JUL-2023,OPTSTK,CE,3560.0,0.05,
6716,NFO,173084,250,RELIANCE,RELIANCE27JUL23P3540,27-JUL-2023,OPTSTK,PE,3540.0,0.05,
6717,NFO,173083,250,RELIANCE,RELIANCE27JUL23C3540,27-JUL-2023,OPTSTK,CE,3540.0,0.05,
6718,NFO,173082,250,RELIANCE,RELIANCE27JUL23P3520,27-JUL-2023,OPTSTK,PE,3520.0,0.05,
6719,NFO,173081,250,RELIANCE,RELIANCE27JUL23C3520,27-JUL-2023,OPTSTK,CE,3520.0,0.05,
6720,NFO,173080,250,RELIANCE,RELIANCE27JUL23P3500,27-JUL-2023,OPTSTK,PE,3500.0,0.05,
6721,NFO,173079,250,RELIANCE,RELIANCE27JUL23C3500,27-JUL-2023,OPTSTK,CE,3500.0,0.05,
26062,NFO,146557,250,RELIANCE,RELIANCE27JUL23P3280,27-JUL-2023,OPTSTK,PE,3280.0,0.05,
26063,NFO,146556,250,RELIANCE,RELIANCE27JUL23C3280,27-JUL-2023,OPTSTK,CE,3280.0,0.05,
26064,NFO,146555,250,RELIANCE,RELIANCE27JUL23P3260,27-JUL-2023,OPTSTK,PE,3260.0,0.05,
26065,NFO,146554,250,RELIANCE,RELIANCE27JUL23C3260,27-JUL-2023,OPTSTK,CE,3260.0,0.05,
26066,NFO,146553,250,RELIANCE,RELIANCE27JUL23P3240,27-JUL-2023,OPTSTK,PE,3240.0,0.05,
26067,NFO,146552,250,RELIANCE,RELIANCE27JUL23C3240,27-JUL-2023,OPTSTK,CE,3240.0,0.05,
26068,NFO,146551,250,RELIANCE,RELIANCE27JUL23P3220,27-JUL-2023,OPTSTK,PE,3220.0,0.05,
26069,NFO,146550,250,RELIANCE,RELIANCE27JUL23C3220,27-JUL-2023,OPTSTK,CE,3220.0,0.05,
26070,NFO,146549,250,RELIANCE,RELIANCE27JUL23P3200,27-JUL-2023,OPTSTK,PE,3200.0,0.05,
26071,NFO,146548,250,RELIANCE,RELIANCE27JUL23C3200,27-JUL-2023,OPTSTK,CE,3200.0,0.05,
26072,NFO,146547,250,RELIANCE,RELIANCE27JUL23P3180,27-JUL-2023,OPTSTK,PE,3180.0,0.05,
26125,NFO,146494,250,RELIANCE,RELIANCE27JUL23C3180,27-JUL-2023,OPTSTK,CE,3180.0,0.05,
26126,NFO,146493,250,RELIANCE,RELIANCE27JUL23P3160,27-JUL-2023,OPTSTK,PE,3160.0,0.05,
26127,NFO,146492,250,RELIANCE,RELIANCE27JUL23C3160,27-JUL-2023,OPTSTK,CE,3160.0,0.05,
26128,NFO,146491,250,RELIANCE,RELIANCE27JUL23P3140,27-JUL-2023,OPTSTK,PE,3140.0,0.05,
26129,NFO,146490,250,RELIANCE,RELIANCE27JUL23C3140,27-JUL-2023,OPTSTK,CE,3140.0,0.05,
26130,NFO,146489,250,RELIANCE,RELIANCE27JUL23P3120,27-JUL-2023,OPTSTK,PE,3120.0,0.05,
26133,NFO,146462,250,RELIANCE,RELIANCE27JUL23C3120,27-JUL-2023,OPTSTK,CE,3120.0,0.05,
26134,NFO,146461,250,RELIANCE,RELIANCE27JUL23P3100,27-JUL-2023,OPTSTK,PE,3100.0,0.05,
26135,NFO,146460,250,RELIANCE,RELIANCE27JUL23C3100,27-JUL-2023,OPTSTK,CE,3100.0,0.05,
26136,NFO,146459,250,RELIANCE,RELIANCE27JUL23P3080,27-JUL-2023,OPTSTK,PE,3080.0,0.05,
26137,NFO,146458,250,RELIANCE,RELIANCE27JUL23C3080,27-JUL-2023,OPTSTK,CE,3080.0,0.05,
26138,NFO,146457,250,RELIANCE,RELIANCE27JUL23P3060,27-JUL-2023,OPTSTK,PE,3060.0,0.05,
26139,NFO,146456,250,RELIANCE,RELIANCE27JUL23C3060,27-JUL-2023,OPTSTK,CE,3060.0,0.05,
26140,NFO,146455,250,RELIANCE,RELIANCE27JUL23P3040,27-JUL-2023,OPTSTK,PE,3040.0,0.05,
26141,NFO,146454,250,RELIANCE,RELIANCE27JUL23C3040,27-JUL-2023,OPTSTK,CE,3040.0,0.05,
26142,NFO,146453,250,RELIANCE,RELIANCE27JUL23P3020,27-JUL-2023,OPTSTK,PE,3020.0,0.05,
26143,NFO,146452,250,RELIANCE,RELIANCE27JUL23C3020,27-JUL-2023,OPTSTK,CE,3020.0,0.05,
26144,NFO,146451,250,RELIANCE,RELIANCE27JUL23P3000,27-JUL-2023,OPTSTK,PE,3000.0,0.05,
26145,NFO,146450,250,RELIANCE,RELIANCE27JUL23C3000,27-JUL-2023,OPTSTK,CE,3000.0,0.05,
26146,NFO,146449,250,RELIANCE,RELIANCE27JUL23P2980,27-JUL-2023,OPTSTK,PE,2980.0,0.05,
26147,NFO,146448,250,RELIANCE,RELIANCE27JUL23C2980,27-JUL-2023,OPTSTK,CE,2980.0,0.05,
26148,NFO,146447,250,RELIANCE,RELIANCE27JUL23P2960,27-JUL-2023,OPTSTK,PE,2960.0,0.05,
26149,NFO,146446,250,RELIANCE,RELIANCE27JUL23C2960,27-JUL-2023,OPTSTK,CE,2960.0,0.05,
26150,NFO,146445,250,RELIANCE,RELIANCE27JUL23P2940,27-JUL-2023,OPTSTK,PE,2940.0,0.05,
26151,NFO,146444,250,RELIANCE,RELIANCE27JUL23C2940,27-JUL-2023,OPTSTK,CE,2940.0,0.05,
26152,NFO,146443,250,RELIANCE,RELIANCE27JUL23P2920,27-JUL-2023,OPTSTK,PE,2920.0,0.05,
26635,NFO,145886,250,RELIANCE,RELIANCE27JUL23C2920,27-JUL-2023,OPTSTK,CE,2920.0,0.05,
26636,NFO,145885,250,RELIANCE,RELIANCE27JUL23P2900,27-JUL-2023,OPTSTK,PE,2900.0,0.05,
26637,NFO,145884,250,RELIANCE,RELIANCE27JUL23C2900,27-JUL-2023,OPTSTK,CE,2900.0,0.05,
26638,NFO,145883,250,RELIANCE,RELIANCE27JUL23P2880,27-JUL-2023,OPTSTK,PE,2880.0,0.05,
27416,NFO,145044,250,RELIANCE,RELIANCE27JUL23C2880,27-JUL-2023,OPTSTK,CE,2880.0,0.05,
27417,NFO,145043,250,RELIANCE,RELIANCE27JUL23P2860,27-JUL-2023,OPTSTK,PE,2860.0,0.05,
27586,NFO,144874,250,RELIANCE,RELIANCE27JUL23C2860,27-JUL-2023,OPTSTK,CE,2860.0,0.05,
27587,NFO,144873,250,RELIANCE,RELIANCE27JUL23P2840,27-JUL-2023,OPTSTK,PE,2840.0,0.05,
27799,NFO,144661,250,RELIANCE,RELIANCE27JUL23C2840,27-JUL-2023,OPTSTK,CE,2840.0,0.05,
